province,observations,first_year,last_year,pre_0811_n,source
Anhui,19,2000,2023,2,国家统计局
Beijing,19,2000,2023,2,国家统计局
Chongqing,24,2000,2023,4,国家统计局
Fujian,22,2000,2023,2,根据新闻整理
Gansu,24,2000,2023,4,国家统计局
Guangxi,19,2000,2023,2,国家统计局
Guizhou,23,2000,2023,3,根据新闻整理
Hebei,19,2000,2023,2,国家统计局
Heilongjiang,19,2000,2023,2,国家统计局
Henan,22,2000,2023,2,国家统计局
Hubei,19,2000,2023,2,国家统计局
Hunan,19,2000,2023,2,国家统计局
Jiangsu,19,2000,2023,2,国家统计局
Jiangxi,19,2000,2023,2,国家统计局
Jilin,24,2000,2023,4,国家统计局
Liaoning,19,2000,2023,2,国家统计局
Neimenggu,24,2000,2023,4,国家统计局
Ningxia,19,2000,2023,2,国家统计局
Qinghai,19,2000,2023,2,国家统计局
Shaanxi,24,2000,2023,4,国家统计局
Shandong,24,2000,2023,4,国家统计局
Shanxi,24,2000,2023,4,国家统计局
Sichuan,19,2000,2023,2,国家统计局
Xinjiang,19,2000,2023,2,国家统计局
Yunnan,22,2000,2023,2,国家统计局
Zhejiang,22,2000,2023,2,根据新闻整理
