province,year,raw_coal_output_10k_ton,wind_code,wind_name,wind_original_unit,wind_source,wind_update_date,annualization_rule,national_raw_coal_output_10k_ton,national_wind_code,national_wind_name,national_wind_original_unit,national_wind_source,national_wind_update_date,raw_coal_output_share_national,source_quality_flag
Anhui,2000,4678.31,S0075442,安徽:产量:原煤:累计值,吨,国家统计局,20260622,December YTD value,88009.94,S0026991,中国:产量:原煤:累计值,万吨,国家统计局,20260715,0.05315660935571596,NBS
Anhui,2001,5347.49,S0075442,安徽:产量:原煤:累计值,吨,国家统计局,20260622,December YTD value,96417.91,S0026991,中国:产量:原煤:累计值,万吨,国家统计局,20260715,0.0554615838488928,NBS
Anhui,2002,6137.84,S0075442,安徽:产量:原煤:累计值,吨,国家统计局,20260622,December YTD value,111293.48,S0026991,中国:产量:原煤:累计值,万吨,国家统计局,20260715,0.05515004113448515,NBS
Anhui,2003,6726.41,S0075442,安徽:产量:原煤:累计值,吨,国家统计局,20260622,December YTD value,132669.58,S0026991,中国:产量:原煤:累计值,万吨,国家统计局,20260715,0.05070046954245277,NBS
Anhui,2004,7868.1,S0075442,安徽:产量:原煤:累计值,吨,国家统计局,20260622,December YTD value,160610.86,S0026991,中国:产量:原煤:累计值,万吨,国家统计局,20260715,0.04898859267673432,NBS
Anhui,2005,8434.46,S0075442,安徽:产量:原煤:累计值,吨,国家统计局,20260622,December YTD value,182424.49,S0026991,中国:产量:原煤:累计值,万吨,国家统计局,20260715,0.04623534921215896,NBS
Anhui,2006,8152.1,S0075442,安徽:产量:原煤:累计值,吨,国家统计局,20260622,December YTD value,206598.67,S0026991,中国:产量:原煤:累计值,万吨,国家统计局,20260715,0.03945862768622857,NBS
Anhui,2007,9112.4,S0075442,安徽:产量:原煤:累计值,吨,国家统计局,20260622,December YTD value,229467.58,S0026991,中国:产量:原煤:累计值,万吨,国家统计局,20260715,0.039711056350531085,NBS
Anhui,2008,11913.22,S0075442,安徽:产量:原煤:累计值,吨,国家统计局,20260622,December YTD value,262183.23,S0026991,中国:产量:原煤:累计值,万吨,国家统计局,20260715,0.04543852785702579,NBS
Anhui,2009,12848.548638,S0075442,安徽:产量:原煤:累计值,吨,国家统计局,20260622,December YTD value,296477.25,S0026991,中国:产量:原煤:累计值,万吨,国家统计局,20260715,0.04333738469983785,NBS
Anhui,2015,13404.1662,S0075442,安徽:产量:原煤:累计值,吨,国家统计局,20260622,December YTD value,368484.65,S0026991,中国:产量:原煤:累计值,万吨,国家统计局,20260715,0.03637645747251615,NBS
Anhui,2016,12235.6,S0075442,安徽:产量:原煤:累计值,吨,国家统计局,20260622,December YTD value,336398.6,S0026991,中国:产量:原煤:累计值,万吨,国家统计局,20260715,0.03637232735213524,NBS
Anhui,2017,11724.4,S0075442,安徽:产量:原煤:累计值,吨,国家统计局,20260622,December YTD value,344545.6,S0026991,中国:产量:原煤:累计值,万吨,国家统计局,20260715,0.03402858721748297,NBS
Anhui,2018,11529.1,S0075442,安徽:产量:原煤:累计值,吨,国家统计局,20260622,December YTD value,354590.8,S0026991,中国:产量:原煤:累计值,万吨,国家统计局,20260715,0.03251381592528627,NBS
Anhui,2019,10989.5,S0075442,安徽:产量:原煤:累计值,吨,国家统计局,20260622,December YTD value,374552.5,S0026991,中国:产量:原煤:累计值,万吨,国家统计局,20260715,0.029340346146401373,NBS
