province,pre_raw_coal_output_0809_10k_ton,pre_raw_coal_output_share_0809,pre_raw_coal_output_0809_n,pre_raw_coal_output_0811_10k_ton,pre_raw_coal_output_share_0811,pre_raw_coal_output_0811_n,pre_raw_coal_source_quality
Anhui,12380.884319,0.04438795627843182,2,12380.884319,0.04438795627843182,2,NBS
Beijing,603.1066675,0.002158868986152195,2,603.1066675,0.002158868986152195,2,NBS
Chongqing,3764.84,0.013413056844203533,2,4057.17,0.013158665470717756,4,NBS
Fujian,2295.45,0.008211125122345554,2,2295.45,0.008211125122345554,2,secondary_compilation
Gansu,3855.675,0.013851103319011059,2,4239.8,0.013778146404043255,4,NBS
Guangxi,480.17924999999997,0.0017168180260116084,2,480.17924999999997,0.0017168180260116084,2,NBS
Guizhou,12744.599999999999,0.04558943220195022,2,13696.723333333333,0.04516660063463348,3,secondary_compilation
Hebei,8204.58115,0.029419463136517804,2,8204.58115,0.029419463136517804,2,NBS
Heilongjiang,8467.0461815,0.030364476393696403,2,8467.0461815,0.030364476393696403,2,NBS
Henan,21953.199999999997,0.07865464071166584,2,21953.199999999997,0.07865464071166584,2,NBS
Hubei,892.772739,0.003171662270399947,2,892.772739,0.003171662270399947,2,NBS
Hunan,5846.167847,0.02084809853290063,2,5846.167847,0.02084809853290063,2,NBS
Jiangsu,2412.76595,0.008673735121380963,2,2412.76595,0.008673735121380963,2,NBS
Jiangxi,2787.41319,0.00997363465861171,2,2787.41319,0.00997363465861171,2,NBS
Jilin,4094.735,0.014646905049841346,2,4193.6625,0.013688682190685742,4,NBS
Liaoning,6519.855355,0.023406305946563937,2,6519.855355,0.023406305946563937,2,NBS
Neimenggu,53450.2297285,0.1906174510704972,2,71045.11486425,0.2261108103322136,4,NBS
Ningxia,4872.121151,0.017367520939740304,2,4872.121151,0.017367520939740304,2,NBS
Qinghai,1233.2720365,0.004420698996624079,2,1233.2720365,0.004420698996624079,2,NBS
Shaanxi,25964.11,0.0924983855850228,2,32027.0025,0.10258426751456774,4,NBS
Shandong,14518.605,0.05220416853149386,2,14865.3025,0.04864702836965307,4,NBS
Shanxi,60150.53,0.21632864492683868,2,70406.3025,0.22737733848140446,4,NBS
Sichuan,9511.849118,0.03398051925414472,2,9511.849118,0.03398051925414472,2,NBS
Xinjiang,7244.003302499999,0.025942889965563536,2,7244.003302499999,0.025942889965563536,2,NBS
Yunnan,5014.6849999999995,0.01789766078087488,2,5014.6849999999995,0.01789766078087488,2,NBS
Zhejiang,13.1,4.7053226659003346e-05,2,13.1,4.7053226659003346e-05,2,secondary_compilation
