series_type,province,province_cn,code,name,unit,source,frequency,update_date
coal_mining_assets,Anhui,安徽,M5114665,安徽:资产总计:规模以上工业企业:煤炭开采和洗选业,万元,安徽省统计局,年,20260126
coal_mining_assets,Chongqing,重庆,M5115045,重庆:资产总计:规模以上工业企业:煤炭开采和洗选业,万元,重庆市统计局,年,20260202
coal_mining_assets,Fujian,福建,M5114703,福建:资产总计:规模以上工业企业:煤炭开采和洗选业,万元,福建省统计局,年,20260701
coal_mining_assets,Gansu,甘肃,M5115273,甘肃:资产总计:规模以上工业企业:煤炭开采和洗选业,万元,甘肃省统计局,年,20241120
coal_mining_assets,Guangxi,广西,M5114969,广西:资产总计:规模以上工业企业:煤炭开采和洗选业,万元,广西统计局,年,20251020
coal_mining_assets,Guizhou,贵州,M5115121,贵州:资产总计:规模以上工业企业:煤炭开采和洗选业,万元,贵州省统计局,年,20260309
coal_mining_assets,Hebei,河北,M5114363,河北:资产总计:规模以上工业企业:煤炭开采和洗选业,万元,河北省统计局,年,20260615
coal_mining_assets,Heilongjiang,黑龙江,M5452474,黑龙江:资产总计:规模以上工业企业:采矿业:煤炭开采和洗选业,万元,黑龙江省统计局,年,20260105
coal_mining_assets,Henan,河南,M5114817,河南:资产总计:规模以上工业企业:煤炭开采和洗选业,万元,河南省统计局,年,20250120
coal_mining_assets,Hubei,湖北,M5114855,湖北:资产总计:规模以上工业企业:煤炭开采和洗选业,万元,国家统计局,年,20260126
coal_mining_assets,Hunan,湖南,M5114893,湖南:资产总计:规模以上工业企业:煤炭开采和洗选业,万元,湖南省统计局,年,20260202
coal_mining_assets,Jiangsu,江苏,M5114589,江苏:资产总计:规模以上工业企业:煤炭开采和洗选业,万元,国家统计局,年,20250122
coal_mining_assets,Jiangxi,江西,M5114741,江西:资产总计:规模以上工业企业:煤炭开采和洗选业,万元,国家统计局,年,20260209
coal_mining_assets,Jilin,吉林,M5114516,吉林:资产总计:规模以上工业企业:煤炭开采和洗选业,万元,国家统计局,年,20250310
coal_mining_assets,Liaoning,辽宁,M5114478,辽宁:资产总计:规模以上工业企业:煤炭开采和洗选业,万元,辽宁省统计局,年,20250806
coal_mining_assets,Neimenggu,内蒙古,M5114440,内蒙古:资产总计:规模以上工业企业:煤炭开采和洗选业,万元,内蒙古统计局,年,20250307
coal_mining_assets,Ningxia,宁夏,M5115349,宁夏:资产总计:规模以上工业企业:煤炭开采和洗选业,万元,宁夏统计局,年,20260126
coal_mining_assets,Qinghai,青海,M5115311,青海:资产总计:规模以上工业企业:煤炭开采和洗选业,万元,国家统计局,年,20251223
coal_mining_assets,Shaanxi,陕西,M5115235,陕西:资产总计:规模以上工业企业:煤炭开采和洗选业,万元,陕西省统计局,年,20260309
coal_mining_assets,Shandong,山东,M5114779,山东:资产总计:规模以上工业企业:煤炭开采和洗选业,万元,山东省统计局,年,20260105
coal_mining_assets,Shanxi,山西,M5114402,山西:资产总计:规模以上工业企业:煤炭开采和洗选业,万元,国家统计局,年,20251216
coal_mining_assets,Sichuan,四川,M5115083,四川:资产总计:规模以上工业企业:煤炭开采和洗选业,万元,四川省统计局,年,20240304
coal_mining_assets,Tianjin,天津,M5114325,天津:资产总计:规模以上工业企业:煤炭开采和洗选业,万元,天津市统计局,年,20230215
coal_mining_assets,Xinjiang,新疆,M5115387,新疆:资产总计:规模以上工业企业:煤炭开采和洗选业,万元,国家统计局,年,20231220
coal_mining_assets,Yunnan,云南,M5115159,云南:资产总计:规模以上工业企业:煤炭开采和洗选业,万元,云南省统计局,年,20250806
coal_mining_assets,Zhejiang,浙江,M5114627,浙江:资产总计:规模以上工业企业:煤炭开采和洗选业,万元,国家统计局,年,20201109
industrial_assets,Anhui,安徽,M5132312,安徽:资产总计:规模以上工业企业,万元,国家统计局,年,20250612
industrial_assets,Beijing,北京,M6262884,北京:资产总计:规模以上工业企业,万元,北京市统计局,年,20260105
industrial_assets,Chongqing,重庆,M6244243,重庆:资产总计:规模以上工业企业,万元,重庆市统计局,年,20260205
industrial_assets,Fujian,福建,M5132317,福建:资产总计:规模以上工业企业,万元,国家统计局,年,20251215
industrial_assets,Gansu,甘肃,M5132411,甘肃:资产总计:规模以上工业企业,万元,国家统计局,年,20250612
industrial_assets,Guangdong,广东,M5132345,广东:资产总计:规模以上工业企业,万元,国家统计局,年,20250612
industrial_assets,Guangxi,广西,M5132350,广西:资产总计:规模以上工业企业,万元,广西统计局,年,20250612
industrial_assets,Guizhou,贵州,M5132374,贵州:资产总计:规模以上工业企业,万元,国家统计局,年,20250612
industrial_assets,Hainan,海南,M5132356,海南:资产总计:规模以上工业企业,万元,海南省统计局,年,20250612
industrial_assets,Hebei,河北,M5114362,河北:资产总计:规模以上工业企业,万元,国家统计局,年,20250612
industrial_assets,Henan,河南,M5132332,河南:资产总计:规模以上工业企业,万元,河南省统计局,年,20250612
industrial_assets,Hubei,湖北,M5132421,湖北:资产总计:规模以上工业企业,万元,国家统计局,年,20251104
industrial_assets,Hunan,湖南,M5132339,湖南:资产总计:规模以上工业企业,万元,湖南省统计局,年,20250612
industrial_assets,Jiangsu,江苏,M5132302,江苏:资产总计:规模以上工业企业,万元,江苏省统计局,年,20250612
industrial_assets,Jiangxi,江西,M5132322,江西:资产总计:规模以上工业企业,万元,国家统计局,年,20250612
industrial_assets,Jilin,吉林,M6065851,吉林:资产总计:规模以上工业企业,万元,吉林省统计局,年,20250414
industrial_assets,Liaoning,辽宁,M5132289,辽宁:资产总计:规模以上工业企业,万元,辽宁省统计局,年,20250612
industrial_assets,Neimenggu,内蒙古,M5132285,内蒙古:资产总计:规模以上工业企业,万元,内蒙古统计局,年,20250612
industrial_assets,Ningxia,宁夏,M5132405,宁夏:资产总计:规模以上工业企业,万元,国家统计局,年,20260126
industrial_assets,Qinghai,青海,M5132399,青海:资产总计:规模以上工业企业,万元,国家统计局,年,20251223
industrial_assets,Shaanxi,陕西,M5132388,陕西:资产总计:规模以上工业企业,万元,国家统计局,年,20250612
industrial_assets,Shandong,山东,M5132328,山东:资产总计:规模以上工业企业,万元,山东省统计局,年,20250612
industrial_assets,Shanghai,上海,M5132299,上海:资产总计:规模以上工业企业,万元,国家统计局,年,20250612
industrial_assets,Shanxi,山西,M6014033,山西:资产总计:规模以上工业企业,亿元,山西省统计局,年,20260227
industrial_assets,Sichuan,四川,M5993296,四川:资产总计:规模以上工业企业,亿元,四川省统计局,年,20260604
industrial_assets,Tianjin,天津,M5114324,天津:资产总计:规模以上工业企业,万元,天津市统计局,年,20260105
industrial_assets,Xinjiang,新疆,M6145090,新疆:资产合计:规模以上工业企业,万元,新疆统计局,年,20220402
industrial_assets,Xizang,西藏,M5132382,西藏:资产总计:规模以上工业企业,万元,国家统计局,年,20260127
industrial_assets,Yunnan,云南,M5132376,云南:资产总计:规模以上工业企业,万元,国家统计局,年,20250612
industrial_assets,Zhejiang,浙江,M5132306,浙江:资产总计:规模以上工业企业,万元,国家统计局,年,20260106
mining_employment,Anhui,安徽,M5128035,安徽:就业人员数:城镇非私营单位:采矿业,万人,国家统计局,年,20251106
mining_employment,Beijing,北京,M5127760,北京:就业人员数:城镇非私营单位:采矿业,万人,国家统计局,年,20251106
mining_employment,Chongqing,重庆,M5128285,重庆:就业人员数:城镇非私营单位:采矿业,万人,国家统计局,年,20251106
mining_employment,Fujian,福建,M5128060,福建:就业人员数:城镇非私营单位:采矿业,万人,国家统计局,年,20251106
mining_employment,Gansu,甘肃,M5128435,甘肃:就业人员数:城镇非私营单位:采矿业,万人,国家统计局,年,20251106
mining_employment,Guangdong,广东,M5128210,广东:就业人员数:城镇非私营单位:采矿业,万人,国家统计局,年,20251106
mining_employment,Guangxi,广西,M5128235,广西:就业人员数:城镇非私营单位:采矿业,万人,国家统计局,年,20251106
mining_employment,Guizhou,贵州,M5128335,贵州:就业人员数:城镇非私营单位:采矿业,万人,国家统计局,年,20251106
mining_employment,Hainan,海南,M5128260,海南:就业人员数:城镇非私营单位:采矿业,万人,国家统计局,年,20251106
mining_employment,Hebei,河北,M5127810,河北:就业人员数:城镇非私营单位:采矿业,万人,国家统计局,年,20251106
mining_employment,Heilongjiang,黑龙江,M5127935,黑龙江:就业人员数:城镇非私营单位:采矿业,万人,国家统计局,年,20251106
mining_employment,Henan,河南,M5128135,河南:就业人员数:城镇非私营单位:采矿业,万人,国家统计局,年,20251106
mining_employment,Hubei,湖北,M5128160,湖北:就业人员数:城镇非私营单位:采矿业,万人,国家统计局,年,20251106
mining_employment,Hunan,湖南,M5128185,湖南:就业人员数:城镇非私营单位:采矿业,万人,国家统计局,年,20251106
mining_employment,Jiangsu,江苏,M5127985,江苏:就业人员数:城镇非私营单位:采矿业,万人,国家统计局,年,20251106
mining_employment,Jiangxi,江西,M5128085,江西:就业人员数:城镇非私营单位:采矿业,万人,国家统计局,年,20251106
mining_employment,Jilin,吉林,M5127910,吉林:就业人员数:城镇非私营单位:采矿业,万人,国家统计局,年,20251106
mining_employment,Liaoning,辽宁,M5127885,辽宁:就业人员数:城镇非私营单位:采矿业,万人,国家统计局,年,20251106
mining_employment,Neimenggu,内蒙古,M5127860,内蒙古:就业人员数:城镇非私营单位:采矿业,万人,国家统计局,年,20251106
mining_employment,Ningxia,宁夏,M5128485,宁夏:就业人员数:城镇非私营单位:采矿业,万人,国家统计局,年,20251106
mining_employment,Qinghai,青海,M5128460,青海:就业人员数:城镇非私营单位:采矿业,万人,国家统计局,年,20251106
mining_employment,Shaanxi,陕西,M5128410,陕西:就业人员数:城镇非私营单位:采矿业,万人,国家统计局,年,20251106
mining_employment,Shandong,山东,M5128110,山东:就业人员数:城镇非私营单位:采矿业,万人,国家统计局,年,20251106
mining_employment,Shanghai,上海,M5127960,上海:就业人员数:城镇非私营单位:采矿业,万人,国家统计局,年,20251106
mining_employment,Shanxi,山西,M5127835,山西:就业人员数:城镇非私营单位:采矿业,万人,国家统计局,年,20251106
