province,province_cn,year,series_type,variable,value,unit,value_normalized,normalized_unit,code,name,source
Anhui,安徽,2000,industrial_assets,industrial_assets_10k_cny,29778511.0,万元,29778511.0,万元,M5132312,安徽:资产总计:规模以上工业企业,国家统计局
Anhui,安徽,2000,public_budget_revenue,public_budget_revenue_10k_cny,1787187.0,万元,1787187.0,万元,M0025330,安徽:一般公共预算收入:合计,安徽省财政厅
Anhui,安徽,2000,resource_tax_revenue,resource_tax_revenue_10k_cny,18343.0,万元,18343.0,万元,M0025336,安徽:一般公共预算收入:税收收入:资源税,安徽省财政厅
Anhui,安徽,2001,industrial_assets,industrial_assets_10k_cny,30086125.0,万元,30086125.0,万元,M5132312,安徽:资产总计:规模以上工业企业,国家统计局
Anhui,安徽,2001,public_budget_revenue,public_budget_revenue_10k_cny,1921813.0,万元,1921813.0,万元,M0025330,安徽:一般公共预算收入:合计,安徽省财政厅
Anhui,安徽,2001,resource_tax_revenue,resource_tax_revenue_10k_cny,19327.0,万元,19327.0,万元,M0025336,安徽:一般公共预算收入:税收收入:资源税,安徽省财政厅
Anhui,安徽,2002,industrial_assets,industrial_assets_10k_cny,32721162.0,万元,32721162.0,万元,M5132312,安徽:资产总计:规模以上工业企业,国家统计局
Anhui,安徽,2002,public_budget_revenue,public_budget_revenue_10k_cny,2002154.0,万元,2002154.0,万元,M0025330,安徽:一般公共预算收入:合计,安徽省财政厅
Anhui,安徽,2002,resource_tax_revenue,resource_tax_revenue_10k_cny,21824.0,万元,21824.0,万元,M0025336,安徽:一般公共预算收入:税收收入:资源税,安徽省财政厅
Anhui,安徽,2003,industrial_assets,industrial_assets_10k_cny,37194717.0,万元,37194717.0,万元,M5132312,安徽:资产总计:规模以上工业企业,国家统计局
Anhui,安徽,2003,mining_employment,mining_employment_10k_person,29.56,万人,29.56,万人,M5128035,安徽:就业人员数:城镇非私营单位:采矿业,国家统计局
Anhui,安徽,2003,public_budget_revenue,public_budget_revenue_10k_cny,2207487.0,万元,2207487.0,万元,M0025330,安徽:一般公共预算收入:合计,安徽省财政厅
Anhui,安徽,2003,resource_tax_revenue,resource_tax_revenue_10k_cny,26472.0,万元,26472.0,万元,M0025336,安徽:一般公共预算收入:税收收入:资源税,安徽省财政厅
Anhui,安徽,2003,state_owned_industrial_assets,state_owned_industrial_assets_10k_cny,2572.42,亿元,25724200.0,万元,M5490148,安徽:资产总计:国有及国有控股工业企业,国家统计局
Anhui,安徽,2003,urban_nonprivate_employment,urban_nonprivate_employment_10k_person,354.57,万人,354.57,万人,X4601217,安徽:就业人员数:城镇非私营单位,国家统计局
Anhui,安徽,2004,industrial_assets,industrial_assets_10k_cny,43681149.0,万元,43681149.0,万元,M5132312,安徽:资产总计:规模以上工业企业,国家统计局
Anhui,安徽,2004,mining_employment,mining_employment_10k_person,30.42,万人,30.42,万人,M5128035,安徽:就业人员数:城镇非私营单位:采矿业,国家统计局
Anhui,安徽,2004,public_budget_revenue,public_budget_revenue_10k_cny,2746284.0,万元,2746284.0,万元,M0025330,安徽:一般公共预算收入:合计,安徽省财政厅
Anhui,安徽,2004,resource_tax_revenue,resource_tax_revenue_10k_cny,34280.0,万元,34280.0,万元,M0025336,安徽:一般公共预算收入:税收收入:资源税,安徽省财政厅
Anhui,安徽,2004,urban_nonprivate_employment,urban_nonprivate_employment_10k_person,341.44,万人,341.44,万人,X4601217,安徽:就业人员数:城镇非私营单位,国家统计局
Anhui,安徽,2005,coal_mining_assets,coal_mining_assets_10k_cny,5699071.0,万元,5699071.0,万元,M5114665,安徽:资产总计:规模以上工业企业:煤炭开采和洗选业,安徽省统计局
Anhui,安徽,2005,industrial_assets,industrial_assets_10k_cny,50670994.0,万元,50670994.0,万元,M5132312,安徽:资产总计:规模以上工业企业,国家统计局
Anhui,安徽,2005,mining_employment,mining_employment_10k_person,28.47,万人,28.47,万人,M5128035,安徽:就业人员数:城镇非私营单位:采矿业,国家统计局
Anhui,安徽,2005,public_budget_revenue,public_budget_revenue_10k_cny,3340170.0,万元,3340170.0,万元,M0025330,安徽:一般公共预算收入:合计,安徽省财政厅
Anhui,安徽,2005,resource_tax_revenue,resource_tax_revenue_10k_cny,45691.0,万元,45691.0,万元,M0025336,安徽:一般公共预算收入:税收收入:资源税,安徽省财政厅
Anhui,安徽,2005,state_owned_industrial_assets,state_owned_industrial_assets_10k_cny,3282.52,亿元,32825200.0,万元,M5490148,安徽:资产总计:国有及国有控股工业企业,国家统计局
Anhui,安徽,2005,urban_nonprivate_employment,urban_nonprivate_employment_10k_person,335.33,万人,335.33,万人,X4601217,安徽:就业人员数:城镇非私营单位,国家统计局
Anhui,安徽,2006,coal_mining_assets,coal_mining_assets_10k_cny,7937075.0,万元,7937075.0,万元,M5114665,安徽:资产总计:规模以上工业企业:煤炭开采和洗选业,安徽省统计局
Anhui,安徽,2006,industrial_assets,industrial_assets_10k_cny,62346788.0,万元,62346788.0,万元,M5132312,安徽:资产总计:规模以上工业企业,国家统计局
Anhui,安徽,2006,mining_employment,mining_employment_10k_person,29.86,万人,29.86,万人,M5128035,安徽:就业人员数:城镇非私营单位:采矿业,国家统计局
Anhui,安徽,2006,public_budget_revenue,public_budget_revenue_10k_cny,4280265.0,万元,4280265.0,万元,M0025330,安徽:一般公共预算收入:合计,安徽省财政厅
Anhui,安徽,2006,resource_tax_revenue,resource_tax_revenue_10k_cny,60493.0,万元,60493.0,万元,M0025336,安徽:一般公共预算收入:税收收入:资源税,安徽省财政厅
Anhui,安徽,2006,state_owned_industrial_assets,state_owned_industrial_assets_10k_cny,3902.47,亿元,39024700.0,万元,M5490148,安徽:资产总计:国有及国有控股工业企业,国家统计局
Anhui,安徽,2006,urban_nonprivate_employment,urban_nonprivate_employment_10k_person,338.28,万人,338.28,万人,X4601217,安徽:就业人员数:城镇非私营单位,国家统计局
Anhui,安徽,2007,coal_mining_assets,coal_mining_assets_10k_cny,10418969.0,万元,10418969.0,万元,M5114665,安徽:资产总计:规模以上工业企业:煤炭开采和洗选业,安徽省统计局
Anhui,安徽,2007,industrial_assets,industrial_assets_10k_cny,78731603.0,万元,78731603.0,万元,M5132312,安徽:资产总计:规模以上工业企业,国家统计局
