province,province_cn,year,mining_employment_10k_person,urban_nonprivate_employment_10k_person,coal_mining_assets_10k_cny,industrial_assets_10k_cny,state_owned_industrial_assets_10k_cny,resource_tax_revenue_10k_cny,mining_tax_revenue_10k_cny,raw_coal_output_10k_ton,public_budget_revenue_10k_cny,mining_employment_share,coal_mining_asset_share,resource_tax_share,state_owned_industrial_asset_share
Anhui,安徽,2000,,,,29778511.0,,18343.0,,,1787187.0,,,0.01026361539111464,
Anhui,安徽,2001,,,,30086125.0,,19327.0,,,1921813.0,,,0.010056649632404402,
Anhui,安徽,2002,,,,32721162.0,,21824.0,,,2002154.0,,,0.010900260419528168,
Anhui,安徽,2003,29.56,354.57,,37194717.0,25724200.0,26472.0,,,2207487.0,0.08336858730293031,,0.011991916600188359,0.6916089723172245
Anhui,安徽,2004,30.42,341.44,,43681149.0,,34280.0,,,2746284.0,0.08909325210871603,,0.012482321566159946,
Anhui,安徽,2005,28.47,335.33,5699071.0,50670994.0,32825200.0,45691.0,,,3340170.0,0.08490144037217069,0.1124720584719534,0.013679243870820946,0.6478104613459922
Anhui,安徽,2006,29.86,338.28,7937075.0,62346788.0,39024700.0,60493.0,,,4280265.0,0.08827007212959678,0.12730527513301887,0.014133003447216469,0.6259295988110887
Anhui,安徽,2007,28.83,343.21,10418969.0,78731603.0,47855900.0,74296.0,,,5436973.0,0.084001048920486,0.13233528345663176,0.013664956585217547,0.607835966454284
Anhui,安徽,2008,29.25,343.72,12950200.0,101221800.0,59988100.00000001,98453.0,,,7246197.0,0.0850983358547655,0.12793884321361604,0.013586851144124291,0.5926401229774615
Anhui,安徽,2009,30.3,359.86,15165700.0,121717200.0,68097200.0,115561.0,,,8639175.0,0.08419941088200968,0.12459783826772222,0.013376393000489052,0.5594706417827554
Anhui,安徽,2010,32.11,372.94,22588000.0,159302800.0,85326800.0,126488.0,1420000.0,,11493952.0,0.08609964069287285,0.14179286239789884,0.011004744060180519,0.5356264924408108
Anhui,安徽,2011,34.03,411.55,24403000.0,191487100.0,97986400.0,145200.0,1870000.0,,14635600.0,0.08268740128781436,0.12743939408973243,0.00992101451255842,0.5117127994522869
Anhui,安徽,2012,34.61,436.83,27473700.0,227976500.0,112908600.0,179243.0,1760000.0,,17927192.0,0.07922990637089944,0.12051110531129305,0.00999838680815155,0.49526420486322054
Anhui,安徽,2013,33.1,519.67,29195500.0,259061700.0,121464800.0,197366.0,1500000.0,,20750750.0,0.06369426751592358,0.11269709107907498,0.009511270676963484,0.46886436706004786
Anhui,安徽,2014,31.33,521.74,31178700.0,288315200.0,129338600.0,208198.0,1200000.0,,22184418.0,0.060049066584889024,0.10814102066072132,0.009384875456277465,0.4486013918100745
Anhui,安徽,2015,27.04,513.79,32365500.0,313599500.0,136588400.0,205961.0,987000.0,,22276086.0,0.05262850580976664,0.1032064783266555,0.00924583429961619,0.43555043933424636
Anhui,安徽,2016,23.06,517.05,32057700.0,335633700.0,141369400.0,178188.0,828600.0,,26727920.0,0.04459916835895948,0.09551394868870439,0.006666736506245155,0.4212014466962048
Anhui,安徽,2017,20.26,516.21,28541000.0,350397400.0,146324600.0,214518.0,1329199.9999999998,,28124495.0,0.039247593033842815,0.08145322996118122,0.007627443621654362,0.4175961351311397
Anhui,安徽,2018,19.03,592.33,29273700.0,366736300.0,152354000.0,224737.0,1370700.0,,30486705.0,0.03212736143703679,0.07982220467403962,0.007371639539268018,0.4154320147746487
Anhui,安徽,2019,14.28,581.05,22852900.0,383464600.0,150122500.0,282117.0,1340700.0,,31825381.0,0.02457619826176749,0.05959585317653833,0.008864528597473822,0.3914898533006697
Anhui,安徽,2020,13.59,565.62,22727100.0,438466300.0,163637100.0,307227.0,1263300.0,,3216000.0,0.024026731728015276,0.05183317395202322,0.09553078358208955,0.37320336819500155
Anhui,安徽,2021,13.01,563.17,24808900.0,500522600.0,186793000.0,334608.0,1570600.0,,34982000.0,0.023101372587318217,0.049565993623464755,0.00956514779029215,0.37319593560810244
Anhui,安徽,2022,11.9,576.84,26039400.0,564578000.0,200003700.0,488540.0,2390600.0,,35891411.0,0.020629637334442827,0.04612188218456972,0.013611613095957693,0.3542534423941422
Anhui,安徽,2023,12.8,591.3,27188400.0,629360400.0,216837599.99999997,456772.0,2123700.0,,39392000.0,0.02164721799424996,0.043200048811460015,0.01159555239642567,0.3445364531991526
Beijing,北京,2000,,,,,,2213.0,,,3449968.0,,,0.0006414552250919429,
Beijing,北京,2001,,,,,,2431.0,,,4541676.0,,,0.0005352649550518355,
Beijing,北京,2002,,,,,,2876.0,,,5339900.0,,,0.0005385868649225641,
Beijing,北京,2003,2.46,491.23,,,33881200.0,2848.0,,,5925388.0,0.005007837469209942,,0.0004806436304255519,
Beijing,北京,2004,2.16,502.83,,,38012600.0,2466.0,,,7444874.0,0.004295686414891713,,0.0003312346186114097,
Beijing,北京,2005,2.22,505.59,,,101059700.0,2855.0,,,9192098.0,0.004390909630332879,,0.0003105928592145123,
Beijing,北京,2006,2.1,513.77,,142444009.1,106131900.0,3052.0,,,11171514.0,0.004087432119430874,,0.00027319484180926594,0.7450780181670694
Beijing,北京,2007,2.04,544.38,,162155043.4,121520700.0,3146.0,,,14926380.0,0.0037473823432161357,,0.0002107677816054529,0.7494105483986445
Beijing,北京,2008,4.55,570.26,,168024206.0,122185100.0,3624.0,,,18373238.0,0.007978816680110827,,0.0001972434036940032,0.7271874863077764
Beijing,北京,2009,5.03,619.35,,195407033.0,142683700.0,4171.0,,,20268089.0,0.008121417615241785,,0.0002057914784171315,0.7301871268881095
Beijing,北京,2010,4.54,646.63,,227505774.0,166410700.0,3700.0,280000.0,,23539300.0,0.007021016655583564,,0.00015718394344776607,0.7314570398551731
Beijing,北京,2011,6.72,685.9,,253217462.0,193702599.99999997,3400.0,340000.0,,30062800.0,0.009797346551975507,,0.00011309658448314861,0.7649654114296429
