province,province_cn,pre_mining_employment_share_0811,pre_mining_employment_share_0811_n,pre_coal_mining_asset_share_0811,pre_coal_mining_asset_share_0811_n,pre_resource_tax_share_0811,pre_resource_tax_share_0811_n,pre_state_owned_industrial_asset_share_0811,pre_state_owned_industrial_asset_share_0811_n,pre_raw_coal_output_10k_ton_0811,pre_raw_coal_output_10k_ton_0811_n
Anhui,安徽,0.0845211971793656,4,0.13044223449224238,4,0.01197225067933807,4,0.5498625141633287,4,,
Beijing,北京,0.008229649375727921,4,,,0.00016832885251051233,4,0.7384492661201755,4,,
Chongqing,重庆,0.035644612469314316,4,0.034103749689345444,4,,,0.5433016877362072,4,,
Fujian,福建,0.010575313880649485,4,0.005773194495757323,4,0.005963312124222437,4,0.24653875483222057,4,,
Gansu,甘肃,0.046418016545641524,4,0.047076638757311266,4,0.022050822219056358,4,0.7998367623952007,4,,
Guangdong,广东,0.0030456866985536847,4,,,0.002076869541984905,4,0.24598764531527084,4,,
Guangxi,广西,0.015160934556124373,4,0.004525861916618579,1,0.008663897997858005,4,0.5090138137576485,3,,
Guizhou,贵州,0.05321451545839708,4,0.1380509586238697,4,0.01794652196878935,4,0.7262912816455588,4,,
Hainan,海南,0.011470552592289738,4,,,0.005960742603027719,4,0.35968026591414987,3,,
Hebei,河北,0.053593291684854515,4,0.052665213830111135,4,0.02132498438735515,4,0.4830200388477698,4,,
Heilongjiang,黑龙江,0.09224451463947124,4,,,0.023062383312665864,4,,,,
Henan,河南,0.07223563941172392,4,0.11735939781774388,4,0.019933459221659573,4,0.4534419620340793,4,,
Hubei,湖北,0.020243320566845285,4,0.0019034670374768626,4,0.007733177408322533,4,0.6061416023409296,4,,
Hunan,湖南,0.029611991298137033,4,0.020240183751949564,2,0.0048390045524488055,4,0.4752953768457133,2,,
Jiangsu,江苏,0.017613238677360598,4,0.007082318251301525,4,0.00236227705807403,4,0.1711174329528765,4,,
Jiangxi,江西,0.030101196430330497,4,0.01731638303296723,4,0.017803012320219427,4,0.466867344375526,4,3236.84,1
Jilin,吉林,0.06188273154015221,4,0.02336176969631157,3,0.0085389375814308,4,0.5534336033474841,3,,
Liaoning,辽宁,0.06506655481052584,4,0.02598804302379243,4,0.022572809089929233,4,0.529533015862524,4,,
Neimenggu,内蒙古,0.07395810822275337,4,0.22612936245407783,4,0.035639984442693826,4,0.5663039407014226,4,,
Ningxia,宁夏,0.09477599823936572,4,0.22908481464757902,4,0.012669677393422027,4,0.6248344362240673,4,6072.535,4
Qinghai,青海,0.03922752711871118,4,0.055027934231427725,4,0.07947406423544537,4,0.7334270857131876,4,1912.095,2
Shaanxi,陕西,0.0689558505432896,4,0.12414428094313908,4,0.027304989381496045,4,0.7839739555522292,4,,
Shandong,山东,0.06924930994153977,4,0.062086244552623966,4,0.013212516685075525,4,0.3239612605490028,4,,
Shanghai,上海,0.00019380442138956528,4,,,,,0.4730656841339145,4,,
Shanxi,山西,0.19913519412980624,4,0.4317518958674377,4,0.04930601942799871,4,0.6257730528388068,4,70834.63249999999,4
Sichuan,四川,0.037847156154267154,4,0.026796593624961656,4,0.00894404261724616,4,0.5214914866532391,4,9494.4025,4
Tianjin,天津,0.040835428126217745,4,0.02703877466708172,4,,,0.5286828062520654,4,,
Xinjiang,新疆,0.06946345658428248,4,0.05737143630187802,1,0.054211361923231435,4,0.6997363273762804,1,,
Xizang,西藏,0.007259422242143166,4,,,0.018123216974357082,4,0.7389885531259811,3,,
Yunnan,云南,0.046035928845430424,4,0.037290647604329756,3,0.014013275253510381,4,0.6810651747122332,4,9547.136666666667,3
Zhejiang,浙江,0.0019301701805090085,4,0.00025051691347585464,4,0.0029349995759045747,4,0.14806414069541332,4,,
