province,year,topic,topic_label,value,leadership_event
Neimenggu,2000,green_finance_per_10k_chars,Green finance words per 10k chars,0.04397866,
Neimenggu,2000,coal_clean_per_10k_chars,Coal clean-up words per 10k chars,0.57172260,
Neimenggu,2000,renewable_per_10k_chars,Renewable words per 10k chars,0.13193598,
Neimenggu,2001,green_finance_per_10k_chars,Green finance words per 10k chars,0.03274791,
Neimenggu,2001,coal_clean_per_10k_chars,Coal clean-up words per 10k chars,3.27479099,
Neimenggu,2001,renewable_per_10k_chars,Renewable words per 10k chars,0.06549582,
Neimenggu,2002,green_finance_per_10k_chars,Green finance words per 10k chars,0.32467269,
Neimenggu,2002,coal_clean_per_10k_chars,Coal clean-up words per 10k chars,0.64934538,
Neimenggu,2002,renewable_per_10k_chars,Renewable words per 10k chars,0.00000000,
Neimenggu,2003,green_finance_per_10k_chars,Green finance words per 10k chars,0.00000000,
Neimenggu,2003,coal_clean_per_10k_chars,Coal clean-up words per 10k chars,0.00000000,
Neimenggu,2003,renewable_per_10k_chars,Renewable words per 10k chars,0.00000000,
Neimenggu,2004,green_finance_per_10k_chars,Green finance words per 10k chars,0.00000000,
Neimenggu,2004,coal_clean_per_10k_chars,Coal clean-up words per 10k chars,0.00000000,
Neimenggu,2004,renewable_per_10k_chars,Renewable words per 10k chars,0.00000000,
Neimenggu,2005,green_finance_per_10k_chars,Green finance words per 10k chars,0.24608721,
Neimenggu,2005,coal_clean_per_10k_chars,Coal clean-up words per 10k chars,13.68244906,
Neimenggu,2005,renewable_per_10k_chars,Renewable words per 10k chars,0.09843489,
Neimenggu,2006,green_finance_per_10k_chars,Green finance words per 10k chars,0.09420986,
Neimenggu,2006,coal_clean_per_10k_chars,Coal clean-up words per 10k chars,2.44945641,
Neimenggu,2006,renewable_per_10k_chars,Renewable words per 10k chars,1.62512012,
Neimenggu,2007,green_finance_per_10k_chars,Green finance words per 10k chars,0.03637475,
Neimenggu,2007,coal_clean_per_10k_chars,Coal clean-up words per 10k chars,6.32920601,
Neimenggu,2007,renewable_per_10k_chars,Renewable words per 10k chars,1.63686362,
