	(1)	(2)	(3)
VARIABLES	pm_total	industrial_solid_waste	industrial_wastewater
			
did_coal	-10.1339	-47.2683**	-40,594.6149
	(28.0627)	(20.0521)	(24,203.0698)
Constant	-871.1633*	-357.1013***	-367559.8559*
	(450.1011)	(115.9390)	(190,186.1532)
			
Observations	154	510	510
R-squared	0.8225	0.7837	0.9108
Design	Continuous DID: pollution appendix	Continuous DID: pollution appendix	Continuous DID: pollution appendix
Policy breakpoint	2012	2012	2012
Province FE	YES	YES	YES
Year FE	YES	YES	YES
Cluster	province_id	province_id	province_id
Robust standard errors in parentheses			
*** p<0.01, ** p<0.05, * p<0.1			
