	(1)	(2)	(3)	(4)
VARIABLES	nontherm_gen_sh	wind_gen_sh	windsolar_gen_sh	wind_cap_sh
				
did_coal_late	-0.2231*	0.0024	-0.0919	0.0273
	(0.1164)	(0.0240)	(0.0724)	(0.0675)
post2016_lowcarbon	0.1072	0.0309	0.0908*	0.0246
	(0.0695)	(0.0182)	(0.0461)	(0.0329)
ddd_lowcarbon_late	-0.1757	-0.0927**	-0.2363**	-0.1077
	(0.1514)	(0.0402)	(0.1093)	(0.0821)
Constant	0.5644	1.6061***	2.3346***	1.2467**
	(0.8459)	(0.3526)	(0.5412)	(0.6035)
				
Observations	507	330	330	288
R-squared	0.9514	0.8916	0.8921	0.9311
Design	Continuous DID plus low-carbon endowment	Continuous DID plus low-carbon endowment	Continuous DID plus low-carbon endowment	Continuous DID plus low-carbon endowment
Endowment proxy	Low-carbon-endowment-post2016	Low-carbon-endowment-post2016	Low-carbon-endowment-post2016	Low-carbon-endowment-post2016
Province FE	YES	YES	YES	YES
Year FE	YES	YES	YES	YES
Cluster	province_id	province_id	province_id	province_id
Robust standard errors in parentheses				
*** p<0.01, ** p<0.05, * p<0.1				
