	(1)	(2)	(3)	(4)	(5)	(6)
VARIABLES	gtfp_level	gml_index	industrial_so2	coalshare5	therm_gen_sh	windsolar_gen_sh
						
exp_m4	1.0015	0.1196	14.8583	0.0377	-0.1583***	
	(0.6133)	(0.1048)	(15.9965)	(0.0765)	(0.0420)	
exp_m3	0.4639	0.0377	-7.9408	0.0403	-0.0650	
	(0.4657)	(0.1374)	(15.8963)	(0.0507)	(0.0481)	
exp_m2	0.1743	0.0118	-19.0209	0.0151	-0.0435	
	(0.2250)	(0.1464)	(11.2844)	(0.0242)	(0.0347)	
exp_0	-0.2801	-0.0459	-15.5398***	-0.0371	-0.1226***	
	(0.2045)	(0.1127)	(3.8785)	(0.0399)	(0.0406)	
exp_1	-0.1226	0.0286	-23.2798***	-0.1379**	-0.0024	0.0486
	(0.3772)	(0.1716)	(6.7557)	(0.0570)	(0.0404)	(0.0726)
exp_2	-0.2581	-0.1352	-32.7401***	-0.1467**	-0.0659	0.0258
	(0.4270)	(0.1259)	(10.5210)	(0.0677)	(0.0740)	(0.0596)
exp_3	0.1765	0.0442	-45.8361**	-0.1700**	-0.0720	0.0256
	(0.5803)	(0.1192)	(17.0570)	(0.0738)	(0.0909)	(0.0542)
exp_4	-1.0738	-0.1453	-126.1353***	-0.3685***	0.1092	
	(0.9464)	(0.1652)	(31.1798)	(0.0865)	(0.1212)	
Constant	-10.2916**	1.1727	-423.5504	0.6009	0.1135	1.9997***
	(4.4670)	(0.8076)	(250.3233)	(0.6018)	(0.7405)	(0.4430)
						
Observations	510	510	510	480	507	330
R-squared	0.7668	0.2741	0.9012	0.9302	0.9501	0.8814
Policy breakpoint	2012	2012	2012	2012	2012	2012
Base period	2011	2011	2011	2011	2011	2011
Province FE	YES	YES	YES	YES	YES	YES
Year FE	YES	YES	YES	YES	YES	YES
Cluster	province_id	province_id	province_id	province_id	province_id	province_id
Pre-trend p-value	.256991969921935	.5525829183530828	.0525148002135369	.8401022329125105	.0016391042821374	.
Robust standard errors in parentheses						
*** p<0.01, ** p<0.05, * p<0.1						
