province,year,ln_co2,industrial_so2,gtfp_level,gml_index,coalshare5,therm_cap_sh,therm_gen_sh,nontherm_gen_sh,nox_total,wind_gen_sh,windsolar_gen_sh,wind_cap_sh,solar_cap_sh,windsolar_cap_sh,solar_gen_sh,policy_count,docs_with_content,content_coverage,content_chars,green_finance_per_10k_chars,green_finance_doc_share,coal_clean_per_10k_chars,coal_clean_doc_share,pollution_control_per_10k_chars,pollution_control_doc_share,renewable_per_10k_chars,renewable_doc_share
Neimenggu,2000,18.757933,50.631001,1,1,.74079484,.9490903,.9837696,.016230412,,,,,,,,78,78,1,227383,.043978661,.01282051,.57172263,.07692308,.30785063,.03846154,.13193598,.03846154
Neimenggu,2001,18.776114,48.511002,1.089951,1.089951,.7268979,.93556017,.98161077,.018389225,,,,,,,,84,84,1,305363,.032747909,.01190476,3.274791,.05952381,.065495819,.023809521,.065495819,.023809521
Neimenggu,2002,18.867542,55.900002,1.1948211,1.0962155,.70817035,.93599367,.98533553,.014664466,,,,,,,,84,84,1,246402,.3246727,.023809521,.6493454,.047619049,0,0,0,0
Neimenggu,2003,19.081661,113.782,1.1674874,.97712314,.69337779,,.98607445,.013925555,,,,,,,,2,2,1,1346,0,0,0,0,0,0,0,0
Neimenggu,2004,19.248774,103.4,1.1686502,1.000996,.69630802,.95253891,.98625743,.013742589,,,,,,,,15,13,.86666667,24949,0,0,0,0,0,0,0,0
Neimenggu,2005,19.43576,129.60001,1.1687056,1.0000474,.63407528,,.9978137,.0021862786,,,,,,,,178,178,1,406360,.24608721,.01685393,13.682449,.16292135,.02460872,.0056179799,.098434888,.01685393
Neimenggu,2006,19.609859,138.39999,1.2954237,1.1084261,.55648643,.95436084,.98824811,.01175188,,,,,,,,139,139,1,424584,.094209857,.028776979,2.4494565,.10071942,.02355247,.0071942401,1.6251202,.043165471
Neimenggu,2007,19.773153,128.325,1.4150048,1.0923104,.47255132,.95405596,.93055719,.069442794,,,,,,,,98,98,1,274916,.036374751,.01020408,6.329206,.14285713,2.7644808,.13265306,1.6368636,.06122449
Neimenggu,2008,19.799942,125.858,1.3986317,.98842889,.5077191,.93614411,.92137736,.078622617,,,,,,,,93,93,1,289262,.31113663,.07526882,6.8104348,.25806451,3.0422246,.086021513,2.4199514,.16129032
Neimenggu,2009,19.828911,120.402,1.4281453,1.0211018,.53439182,.86933047,.92468536,.075314656,,,,,,,,89,89,1,254576,.35352901,.056179781,4.7922821,.13483146,.94274402,.067415729,2.7103891,.044943821
Neimenggu,2010,19.957176,119.3,1.4077102,.98569119,.51444763,.83622289,.88301718,.11698281,,,,,,,,64,64,1,293955,.37420693,.078125,4.0142198,.25,.51028222,.109375,2.2792604,.140625
Neimenggu,2011,20.057434,125.018,1.5561538,1.1054504,.53066498,.7933653,.88770652,.1122935,142.19,,,,,,,70,70,1,277657,.1800783,.04285714,2.6651587,.17142858,4.3218794,.11428571,1.6207047,.1
Neimenggu,2012,20.075104,124.148,1.6273612,1.0457586,.51321989,.76772958,.88056237,.11943763,141.89,,,,,,,52,52,1,222968,.44849485,.11538462,1.569732,.23076923,.49334434,.11538462,1.1212372,.096153848
Neimenggu,2013,20.128138,123.641,1.7126132,1.0523866,.50322843,.75262225,.86541843,.1345816,137.75999,.10279939,.10279939,,,,,96,96,1,440393,.56767476,.11458333,3.9283094,.23958333,1.5894893,.13541667,.9991076,.15625
Neimenggu,2014,20.112558,116.713,1.713184,1.0003333,.49580345,.72360617,.81421691,.18578312,125.83,.087525062,.087525062,,,,,201,201,1,818537,.72079819,.12437811,9.35816,.17412935,2.5166852,.07462687,2.1257439,.07462687
Neimenggu,2015,20.100243,106.102,1.7723533,1.0345377,.5164758,.69856691,.83211344,.16788657,113.9,.090969913,.090969913,,,,,262,262,1,1263702,.46688223,.13358779,1.2898611,.11068702,.85463184,.083969466,1.5826516,.072519079
Neimenggu,2016,20.117987,51.643002,1.9546467,1.1028539,.51427114,.68890899,.83872473,.16127527,64.529999,.0011747412,.0032761102,.23150747,,.23150747,.002101369,301,301,1,1380972,.84722936,.16943522,1.2092931,.12956811,1.4844617,.12956811,2.8892694,.13621262
Neimenggu,2017,20.174416,32.223999,2.3722742,1.2136588,.46480805,.69085068,.8291865,.1708135,70.160004,.12349196,.14756174,.22577372,,.22577372,.024069794,258,258,1,1315814,2.0063627,.17054264,1.6719688,.14728682,1.8315659,.12403101,1.1931778,.12015504
Neimenggu,2018,20.220638,30.943001,2.7557292,1.1616403,.46952045,.66984129,.83418667,.16581334,,.12719008,.15323322,.23345543,,.23345543,.026043136,155,155,1,622038,.59481895,.070967741,2.0899045,.096774191,1.6397712,.10322581,2.7651043,.18064515
Neimenggu,2019,20.270132,30.313,2.6890061,.97578746,.47098234,.67442578,.8291356,.17086442,58.970001,.12116469,.15079163,.22581394,,.22581394,.029626934,104,104,1,386175,.20715997,.04807692,.72505987,.096153848,1.3724347,.067307688,.72505987,.10576923
Neimenggu,2020,20.29599,22.392,2.6126122,.97159034,.4536593,.64034426,.82292205,.17707795,47.560001,.12498537,.15701601,.25862423,,.25862423,.032030631,126,126,1,513491,.21421991,.06349206,6.1734285,.22222222,.97372693,.12698413,.38949075,.05555556
Neimenggu,2021,20.406458,15.704,5.6026645,2.1444683,.40947139,.6349842,.79466593,.20533405,43.349998,.15804265,.19266723,.25802284,.0066184541,.26464131,.03462458,160,160,1,561608,.49856839,.068750001,.48076239,.075000003,1.0861669,.1125,8.724947,.15000001
Neimenggu,2022,20.444912,14.764,7.9370522,1.4166567,.40227973,.61500174,.78879505,.21120496,39.529999,.16272184,.19967337,.26747862,.0070968498,.27457547,.036951538,158,158,1,808855,.70469987,.16455697,2.4849942,.14556962,1.6937523,.069620252,9.4207239,.21518987
Neimenggu,2023,20.54649,12.446,7.9170699,.99748236,,.552746,.77785647,.22214352,52.18,.17754,.21561763,.32540312,.0084085064,.33381164,.038077615,107,107,1,450983,.17739028,.056074768,9.1799469,.1682243,4.1243238,.093457937,20.26684,.1682243
Shanxi,2000,18.926756,90.267998,1,1,.71559328,.92330861,.97897828,.021021748,,,,,,,,,,,,,,,,,,,
Shanxi,2001,18.971228,90.205002,1.0209185,1.0209185,.69768357,.94399726,.97298437,.027015612,,,,,,,,,,,,,,,,,,,
Shanxi,2002,19.109465,90.702003,1.1129826,1.0901779,.6993798,.9474116,.97763687,.022363154,,,,,,,,4,4,1,17209,0,0,0,0,0,0,0,0
Shanxi,2003,19.243135,103.334,1.4134814,1.269994,.69618964,,.96954435,.030455643,,,,,,,,60,60,1,214885,0,0,15.496661,.23333333,.27921912,.050000001,.13960956,.033333331
Shanxi,2004,19.373095,109.3,1.5298449,1.0823241,.67433214,.95740378,.95466131,.045338698,,,,,,,,93,93,1,334992,.38806897,.02150538,13.791374,.26881719,.50747484,.096774191,.11940584,.03225806
Shanxi,2005,19.562592,120,1.6731935,1.0937014,.65012407,,.95491511,.045084871,,,,,,,,96,96,1,315731,.22170772,.03125,37.278568,.41666666,1.2035562,.11458333,.19003519,.041666672
Shanxi,2006,19.640989,117.7,1.6877395,1.0086936,.62519956,.97122145,.94606155,.05393843,,,,,,,,112,112,1,807037,.16108307,.071428567,14.931162,.4107143,3.6553466,.1875,.8797614,.125
Shanxi,2007,19.728579,111.847,1.9659998,1.1648716,.61935472,.97511029,.97213292,.027867083,,,,,,,,138,138,1,841480,.083186768,.043478262,27.974522,.42753622,1.6756191,.15217391,.86751914,.086956523
Shanxi,2008,19.759459,105.836,2.2810524,1.1602505,.608684,.97807992,.98576748,.014232514,,,,,,,,116,116,1,524975,.4381161,.077586211,22.191532,.40517241,4.8764229,.1637931,1.523882,.12068966
Shanxi,2009,19.85251,100.959,1.9750235,.86583871,.59789383,.957681,.98260278,.017397225,,,,,,,,168,168,1,739546,.50030696,.095238097,21.932375,.38095239,2.1499677,.16666667,1.1493537,.089285709
Shanxi,2010,19.921774,114.7,2.3839729,1.2070606,.56591195,.95055318,.96870875,.031291265,,,,,,,,101,101,1,456858,.24077503,.10891089,12.170083,.39603961,4.005621,.16831683,.89743423,.099009901
Shanxi,2011,20.021381,129.43201,2.8754869,1.2061744,.56675696,.93262482,.96409798,.035902038,128.60001,,,,,,,99,99,1,444232,.15757532,.060606059,12.020746,.35353535,1.0354949,.15151516,2.0034575,.11111111
Shanxi,2012,20.066444,119.463,2.7057266,.94096291,.55989718,.91860676,.94128042,.058719575,124.4,,,,,,,117,117,1,634848,.50405765,.15384614,8.6477394,.29914531,3.654418,.11965812,1.1656333,.11965812
Shanxi,2013,20.099255,114.084,2.4779968,.91583419,.57032841,.90254897,.95599681,.044003177,115.78,.015788833,.015788833,,,,,152,152,1,793461,.088221103,.032894742,11.2923,.35526317,2.3441606,.21710525,3.2263715,.20394737
