	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)
VARIABLES	energy5_int	coalterm_int	industrial_so2	nox_total	industrial_solid_waste	coalshare5	coal_share_pctg	ln_co2	therm_cap_sh	therm_gen_sh	wind_gen_sh	windsolar_gen_sh	wind_cap_sh
													
coalexp_post	-0.2996**	-0.4641***	-85.1875***	-54.3413***	-58.4704**	-0.3321***	-0.2589**	-0.2813	0.0941	0.1188			
	(0.1454)	(0.1036)	(18.5202)	(18.3650)	(21.8400)	(0.1062)	(0.1030)	(0.2344)	(0.1283)	(0.0899)			
post_resdep	0.0180	0.0327	14.3355	14.6222*	14.4326	0.0646	0.0644	0.2805	-0.0120	0.0078			
	(0.0574)	(0.0476)	(8.7521)	(8.1859)	(10.5466)	(0.0582)	(0.0580)	(0.1836)	(0.0670)	(0.0473)			
ddd_resdep	-0.0690	-0.0738	-28.6690*	-38.8085**	-25.2272	-0.0676	-0.0822	-0.4174	-0.0349	-0.0312			
	(0.1024)	(0.0839)	(16.0622)	(17.0024)	(20.5591)	(0.1038)	(0.1024)	(0.3043)	(0.1285)	(0.0818)			
coalexp_post16											0.0192	-0.0955	0.0394
											(0.0222)	(0.0622)	(0.0585)
post16_resdep											0.0189	0.0862**	0.0406
											(0.0121)	(0.0388)	(0.0337)
ddd_resdep16											-0.0344	-0.1437*	-0.0679
											(0.0241)	(0.0706)	(0.0607)
Constant	1.9046	1.0861	-418.5385*	-632.3034***	-381.6640***	0.4098	0.7385	16.9336***	-0.6580	0.1069	1.3307***	1.5988***	0.6151
	(1.6700)	(1.3570)	(235.9628)	(200.4774)	(130.4198)	(0.6484)	(0.5464)	(1.0600)	(0.8140)	(0.7289)	(0.2712)	(0.3840)	(0.4871)
													
Observations	464	464	493	324	493	464	464	493	493	490	319	319	278
R-squared	0.9592	0.9233	0.8818	0.9227	0.7817	0.9203	0.9380	0.9919	0.9344	0.9464	0.8875	0.8912	0.9274
Province FE	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES
Year FE	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES
Cluster	province_id	province_id	province_id	province_id	province_id	province_id	province_id	province_id	province_id	province_id	province_id	province_id	province_id
Policy breakpoint											2016	2016	2016
Robust standard errors in parentheses													
*** p<0.01, ** p<0.05, * p<0.1													
