outcome,breakpoint,b_coal,se_coal,p_coal,b_postres,se_postres,p_postres,b_ddd,se_ddd,p_ddd,N,r2
energy5_int,2012,-.2996275276042473,.14536475,.048678786,.017966308,.057359535,.75643283,-.068990223,.10244059,.50617254,464,.95924568
coalterm_int,2012,-.4641287344279273,.10356546,.00011426854,.032701977,.04759232,.49765483,-.073786177,.083863541,.38643724,464,.92328316
industrial_so2,2012,-85.18745962483193,18.520178,.000082798528,14.33546,8.7521086,.11262435,-28.668962,16.062193,.085121267,493,.88179934
nox_total,2012,-54.34127828855493,18.365019,.0065006036,14.622185,8.1858597,.085723266,-38.808517,17.00235,.030879678,324,.92269164
industrial_solid_waste,2012,-58.47041333980345,21.839977,.012273395,14.432589,10.546623,.18205035,-25.22716,20.559057,.23001845,493,.78170806
coalshare5,2012,-.3320824562919344,.10618322,.0040884884,.064643681,.058219843,.27629822,-.067645356,.10381188,.51996279,464,.92034072
coal_share_pctg,2012,-.2588800539715763,.10295093,.017938819,.064395435,.057971895,.2761007,-.082183123,.10240167,.42899093,464,.93798918
ln_co2,2012,-.2813392798705802,.23440519,.24010812,.28046051,.18362139,.1378841,-.41739026,.3042618,.18101433,493,.99194801
therm_cap_sh,2012,.0941240130343768,.12825632,.46912637,-.011961519,.067007206,.8596071,-.034900907,.12846626,.78786606,493,.93444914
therm_gen_sh,2012,.1188243420510413,.089906849,.19698612,.0078192716,.047305379,.86990064,-.031242639,.081823654,.7054708,490,.94642776
wind_gen_sh,2016,.0191732226369501,.022221956,.39557475,.018933371,.012107248,.12909654,-.034373194,.024115773,.1651118,319,.88748825
windsolar_gen_sh,2016,-.095513754200672,.062175404,.13571407,.086205922,.03883167,.034689464,-.1436583,.070644975,.05157534,319,.89124799
wind_cap_sh,2016,.0394106718135014,.058463052,.50576746,.040578268,.033672791,.2382606,-.067917667,.060682334,.27255067,278,.92740536
