	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)
VARIABLES	energy5_int_emp	industrial_so2_emp	nox_total_emp	industrial_solid_waste_emp	coalshare5_emp	ln_co2_emp	therm_cap_sh_emp	windsolar_gen_sh_emp	energy5_int_asset	industrial_so2_asset	nox_total_asset	industrial_solid_waste_asset	coalshare5_asset	ln_co2_asset	therm_cap_sh_asset	windsolar_gen_sh_asset	energy5_int_tax	industrial_so2_tax	nox_total_tax	industrial_solid_waste_tax	coalshare5_tax	ln_co2_tax	therm_cap_sh_tax	windsolar_gen_sh_tax	energy5_int_soe	industrial_so2_soe	nox_total_soe	industrial_solid_waste_soe	coalshare5_soe	ln_co2_soe	therm_cap_sh_soe	windsolar_gen_sh_soe	energy5_int_fisc	industrial_so2_fisc	nox_total_fisc	industrial_solid_waste_fisc	coalshare5_fisc	ln_co2_fisc	therm_cap_sh_fisc	windsolar_gen_sh_fisc
																																								
coalexp_post	-0.3072*	-82.7868***	-42.1745*	-69.2208***	-0.4047***	-0.4408*	0.1850		-0.3559*	-97.4772***	-31.3639	-89.3893***	-0.4229***	-0.5636***	0.2196*		-0.3394**	-73.0176***	-60.4692***	-47.3114*	-0.2860***	-0.0292	0.0682		-0.2908**	-74.1323***	-49.9702***	-46.6611**	-0.2325***	-0.1260	0.0481		-0.2918**	-74.6022***	-50.1568***	-48.6249**	-0.2539***	-0.1186	0.0486	
	(0.1512)	(24.5948)	(21.9019)	(19.4394)	(0.1135)	(0.2303)	(0.1410)		(0.1842)	(28.9025)	(27.1635)	(25.4074)	(0.0942)	(0.1883)	(0.1157)		(0.1434)	(17.0392)	(15.0675)	(25.3616)	(0.0883)	(0.1517)	(0.0779)		(0.1065)	(18.4705)	(15.9382)	(19.0809)	(0.0563)	(0.1107)	(0.0802)		(0.1182)	(15.2781)	(15.2571)	(18.8624)	(0.0745)	(0.1301)	(0.0881)	
post_resdep_emp_z	0.0515	11.0093	8.0535	22.0176***	0.1068**	0.2623	-0.0677																																	
	(0.0492)	(10.7213)	(8.1076)	(6.0631)	(0.0487)	(0.1556)	(0.0555)																																	
ddd_resdep_emp_z	-0.1192	-20.0085	-24.5393	-38.6730***	-0.1474*	-0.3908	0.0621																																	
	(0.0881)	(17.5757)	(14.8537)	(10.4745)	(0.0838)	(0.2555)	(0.1010)																																	
coalexp_post16								-0.0453								-0.1179								-0.0497								-0.0406								-0.0491
								(0.0673)								(0.0830)								(0.0361)								(0.0630)								(0.0630)
post16_resdep_emp_z								0.0059																																
								(0.0199)																																
ddd_resdep16_emp_z								-0.0049																																
								(0.0366)																																
post_resdep_asset_z									0.0165	7.0501	-22.3609	13.9163	0.2079***	0.3926***	-0.3082***																									
									(0.1267)	(23.4937)	(26.2633)	(13.2632)	(0.0418)	(0.1316)	(0.0559)																									
ddd_resdep_asset_z									-0.0611	-16.4795	25.8335	-23.9213	-0.3218***	-0.6432**	0.5018***																									
									(0.2373)	(40.9469)	(46.6690)	(24.5927)	(0.0766)	(0.2355)	(0.1069)																									
post16_resdep_asset_z																0.0200																								
																(0.0325)																								
ddd_resdep16_asset_z																-0.0263																								
																(0.0550)																								
post_resdep_tax_z																	0.0016	13.3000*	18.8073***	-1.0760	-0.0336	0.0393	0.0611**																	
																	(0.0304)	(7.2619)	(6.4250)	(9.1996)	(0.0261)	(0.0986)	(0.0292)																	
ddd_resdep_tax_z																	-0.0227	-32.7718	-51.8933**	6.7600	0.1106	0.0747	-0.1665*																	
																	(0.0733)	(20.5842)	(20.0057)	(27.4751)	(0.0674)	(0.2110)	(0.0888)																	
post16_resdep_tax_z																								0.0742***																
																								(0.0145)																
ddd_resdep16_tax_z																								-0.1405***																
																								(0.0391)																
post_resdep_soe_z																									0.1002**	3.0104	6.9925	-1.0400	-0.0641**	0.0209	0.0446									
																									(0.0458)	(7.8886)	(6.4973)	(7.7353)	(0.0253)	(0.0876)	(0.0283)									
