outcome,dimension,breakpoint,b_coal,se_coal,p_coal,b_postres,se_postres,p_postres,b_ddd,se_ddd,p_ddd,N,r2
energy5_int,emp,2012,-.3072294257836963,.15116657,.05136193,.051506165,.049166258,.30347979,-.11916403,.088107407,.18667258,480,.95992678
industrial_so2,emp,2012,-82.78682740468273,24.594803,.0021635084,11.009318,10.721319,.31297463,-20.008543,17.575735,.26426336,510,.88192177
nox_total,emp,2012,-42.17449216109009,21.901913,.064745389,8.0535173,8.1076307,.32937056,-24.53927,14.853676,.11010505,336,.92340875
industrial_solid_waste,emp,2012,-69.22083123964592,19.43936,.0012985771,22.017574,6.0630889,.0010772495,-38.672997,10.474521,.00091658335,510,.78962827
coalshare5,emp,2012,-.404700704899483,.11348908,.0012811018,.10675574,.048718192,.03661282,-.14741322,.083757848,.088954829,480,.92870307
ln_co2,emp,2012,-.4408098503575813,.23028214,.065506615,.26230678,.15561901,.10261105,-.39083096,.25552645,.13697334,510,.99171025
therm_cap_sh,emp,2012,.1850319303384851,.14097539,.19964069,-.067693077,.055521071,.2325805,.062137105,.10104395,.54338259,510,.93970382
windsolar_gen_sh,emp,2016,-.0453217250114142,.067255817,.50572962,.0059406087,.01985017,.76686656,-.0049380874,.036621254,.89366823,330,.88153845
energy5_int,asset,2012,-.3559177344021426,.18423243,.065261602,.016532831,.12670754,.89727402,-.061123364,.23731102,.79893708,400,.959939
industrial_so2,asset,2012,-97.47720018970733,28.902491,.0025215389,7.0501394,23.493685,.76669496,-16.479498,40.946945,.69090796,425,.88465005
nox_total,asset,2012,-31.36392345621568,27.163498,.26062825,-22.360914,26.263287,.40371254,25.833494,46.669018,.58547133,276,.91664726
industrial_solid_waste,asset,2012,-89.38930069774771,25.407446,.0017610759,13.916292,13.263244,.30452034,-23.921322,24.592699,.34040463,425,.77268016
coalshare5,asset,2012,-.422908826265375,.094157182,.00015133921,.20788391,.04183599,.000044964443,-.32183319,.076581322,.0003154953,400,.92448604
ln_co2,asset,2012,-.5636476367261285,.18831326,.0063077011,.39259061,.13156833,.0064470693,-.64317054,.23550121,.011645015,425,.98849696
therm_cap_sh,asset,2012,.2195798868650022,.11567659,.069757022,-.308211,.055912483,.000011428665,.50180608,.1068952,.000090328038,425,.95989317
windsolar_gen_sh,asset,2016,-.1178717288901643,.083005637,.16845527,.020003447,.032478847,.54376358,-.026278272,.054957107,.63686335,275,.88552642
energy5_int,tax,2012,-.3393632533287122,.14338847,.025675176,.0016367687,.03042086,.95750248,-.022701649,.073272474,.75916362,432,.95876169
industrial_so2,tax,2012,-73.01758023406248,17.039242,.00022146372,13.300023,7.2619166,.078511752,-32.771774,20.584219,.12345271,459,.88234961
nox_total,tax,2012,-60.46924017623453,15.067548,.00050960697,18.807274,6.4250016,.0073726503,-51.893261,20.005737,.015921693,300,.92147684
industrial_solid_waste,tax,2012,-47.31142817380329,25.361633,.07343787,-1.076043,9.1995726,.90778536,6.760005,27.475126,.80758256,459,.77307409
coalshare5,tax,2012,-.2860085419634992,.088268727,.003260426,-.033606678,.026127767,.20969456,.11063717,.067437708,.11292803,432,.91492397
ln_co2,tax,2012,-.0291513356988267,.15167534,.84908223,.039307449,.098576799,.69333386,.074651763,.21102497,.7263729,459,.99127942
therm_cap_sh,tax,2012,.0682293775323514,.077852532,.38884231,.061093293,.029248605,.046664063,-.16654585,.088848859,.072141334,459,.93686473
windsolar_gen_sh,tax,2016,-.0497394963298667,.036116764,.18019685,.074213669,.014495268,.000024499781,-.14053944,.039137684,.0013455064,297,.90697891
energy5_int,soe,2012,-.2908247674154033,.10654049,.010835005,.10024014,.045771811,.037016794,-.34369248,.13869168,.019505287,464,.96371019
industrial_so2,soe,2012,-74.1323330321237,18.470476,.00040520116,3.0103855,7.8885903,.70562947,7.0997381,23.380219,.76362872,493,.88603419
nox_total,soe,2012,-49.97022862202295,15.938178,.0042278166,6.9924688,6.4973049,.29171845,-5.6710563,19.685429,.77556652,324,.92295063
industrial_solid_waste,soe,2012,-46.66109359170564,19.08087,.021013344,-1.0400038,7.7353244,.89400965,11.549853,23.269239,.6235168,493,.78534704
coalshare5,soe,2012,-.2324868302999371,.056316972,.00029771222,-.064135566,.025337426,.017262932,.23271671,.069851086,.0024352162,464,.93900168
ln_co2,soe,2012,-.1259898249121237,.11067259,.26459998,.02086811,.087558903,.81335902,.056428485,.17971607,.75585848,493,.99081683
therm_cap_sh,soe,2012,.0480504983780076,.080161266,.55371076,.04457622,.028333563,.12689035,-.090839542,.082416065,.27975604,493,.93885642
windsolar_gen_sh,soe,2016,-.0405798945896742,.063047826,.52504826,.020674638,.029249609,.48551047,-.045754604,.063262932,.47552821,319,.87826735
energy5_int,fisc,2012,-.2917880295815697,.11823869,.019736981,.041167405,.037164383,.2770898,-.11404061,.075053073,.13947372,480,.96010029
industrial_so2,fisc,2012,-74.6022285334555,15.278114,.000035118668,18.562298,5.7154632,.0029366044,-39.027683,13.455766,.0070386585,510,.88490778
nox_total,fisc,2012,-50.15684497273512,15.257104,.0028084519,17.07889,5.7482796,.0061663399,-42.098923,14.525343,.007361155,336,.92413223
industrial_solid_waste,fisc,2012,-48.62493930404931,18.862391,.015288091,10.384246,7.0606976,.15213734,-14.719758,18.217005,.4256562,510,.78779316
coalshare5,fisc,2012,-.253928952444913,.074545249,.0019478784,.010072692,.039736051,.80167806,.040571637,.080539078,.61824191,480,.92836374
ln_co2,fisc,2012,-.1186363488314069,.13008198,.36928189,.15253539,.11764521,.20500147,-.19974597,.19453879,.31301889,510,.99169546
therm_cap_sh,fisc,2012,.0485596012794164,.088141739,.58590394,.036097407,.028508587,.21552058,-.10049244,.067114592,.14511454,510,.9378047
windsolar_gen_sh,fisc,2016,-.0491333050726877,.063038483,.44204837,.039682861,.032267373,.22865096,-.075224049,.065307729,.25879458,330,.88510716
