	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)
VARIABLES	energy5_int	coalterm_int	industrial_so2	nox_total	industrial_solid_waste	coalshare5	coal_share_pctg	ln_co2	therm_cap_sh	therm_gen_sh	wind_gen_sh	windsolar_gen_sh	wind_cap_sh
													
gfr_did2017	-0.0274	-0.0411	11.7524	7.6025	12.1260**	0.0107	-0.0129	0.1667***	0.0104	0.0418*	0.0081	0.0048	-0.0165
	(0.0634)	(0.0584)	(7.4984)	(7.3016)	(4.5817)	(0.0317)	(0.0276)	(0.0513)	(0.0295)	(0.0205)	(0.0059)	(0.0118)	(0.0147)
post2017_resdep	-0.0416***	-0.0279*	-10.1483**	-11.5114***	-6.9080	0.0171	0.0134	0.0446	-0.0259*	-0.0175	0.0130***	0.0241**	0.0112*
	(0.0127)	(0.0155)	(4.6846)	(3.5779)	(4.8658)	(0.0182)	(0.0130)	(0.0295)	(0.0145)	(0.0147)	(0.0041)	(0.0117)	(0.0062)
gfr_ddd_resdep	-0.0083	-0.0327	-2.6189	-9.9069	6.6180	-0.0415	-0.0219	0.2290***	0.0646*	0.0434**	0.0085	-0.0253	-0.0143
	(0.0631)	(0.0635)	(9.6960)	(7.8631)	(5.5139)	(0.0387)	(0.0324)	(0.0690)	(0.0353)	(0.0173)	(0.0074)	(0.0191)	(0.0158)
Constant	2.0516	1.1334	-235.7929	-579.1185***	-207.2066	0.6182	0.7750	18.6081***	-0.3980	0.4872	1.4982***	1.7828***	0.8625*
	(1.6789)	(1.4923)	(208.4335)	(150.1082)	(123.6183)	(0.8909)	(0.6955)	(0.8403)	(0.8622)	(0.8099)	(0.2896)	(0.4147)	(0.4967)
													
Observations	464	464	493	336	493	464	464	510	510	507	329	329	288
R-squared	0.9585	0.9052	0.8809	0.9358	0.7819	0.9086	0.9307	0.9950	0.9376	0.9556	0.8918	0.8935	0.9297
Pilot coding	First-batch five provinces	First-batch five provinces	First-batch five provinces	First-batch five provinces	First-batch five provinces	First-batch five provinces	First-batch five provinces	First-batch five provinces	First-batch five provinces	First-batch five provinces	First-batch five provinces	First-batch five provinces	First-batch five provinces
Province FE	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES
Year FE	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES
Cluster	province_id	province_id	province_id	province_id	province_id	province_id	province_id	province_id	province_id	province_id	province_id	province_id	province_id
Robust standard errors in parentheses													
*** p<0.01, ** p<0.05, * p<0.1													
