outcome,b_pilot,se_pilot,p_pilot,b_postres,se_postres,p_postres,b_ddd,se_ddd,p_ddd,N,r2
energy5_int,-.0273892795756155,.06336695,.66888285,-.041593648,.012734735,.0028786019,-.0082849655,.063054211,.89640296,464,.95846915
coalterm_int,-.0411439209941007,.058405161,.48696667,-.027857475,.015523819,.083538264,-.032711338,.063470528,.61033404,464,.90517271
industrial_so2,11.75237175350139,7.4983807,.12827285,-10.148335,4.6845622,.038950719,-2.6189122,9.6959867,.78906208,493,.88088733
nox_total,7.60254870112383,7.3016286,.30701104,-11.511373,3.5778587,.0033502148,-9.9069347,7.8631001,.21847734,336,.93584955
industrial_solid_waste,12.12596704109077,4.5816545,.013191762,-6.9079776,4.8658175,.16673493,6.6180315,5.5139461,.24010475,493,.78187478
coalshare5,.0106610373081744,.031701103,.73915303,.017119436,.018240498,.35599315,-.04154326,.038656794,.29169694,464,.90856051
coal_share_pctg,-.0128641146724891,.027589202,.64462703,.013351867,.012957289,.3116172,-.021897672,.032437518,.50516671,464,.9307099
ln_co2,.1666821407138515,.051346648,.0029480858,.044601984,.029544801,.1419552,.22899145,.06900008,.002445773,510,.99498051
therm_cap_sh,.0103564164540887,.029529765,.72833997,-.025861396,.014471369,.084383331,.064591743,.035325501,.077781796,510,.93758947
therm_gen_sh,.0417721969405624,.020533981,.051157687,-.017507099,.014650794,.24178444,.043379236,.017324505,.018159907,507,.95557958
wind_gen_sh,.0081488160099719,.0058802017,.17637174,.012966298,.0040911338,.0035880886,.0084598279,.0073691914,.26035091,329,.89177716
windsolar_gen_sh,.004844580182665,.01183362,.68526071,.024061605,.011721847,.049220845,-.025275694,.019061981,.19519815,329,.89348829
wind_cap_sh,-.0165091186503611,.014748066,.27215189,.011244466,.0062013865,.08016105,-.014343946,.015823927,.37215665,288,.92969942
