variable_1,variable_2,correlation,province_count
resource_dependence_index,mining_fiscal_dependence_z,0.8829491579825354,30
resource_dependence_index,state_owned_asset_lockin_z,0.42759441774410417,29
resource_dependence_index,early_power_export_z,0.39645133403851684,29
resource_dependence_index,wind_curtailment_rate_2020_2023,0.5224007830903741,30
resource_dependence_index,solar_curtailment_rate_2020_2023,0.11947402056950605,30
resource_dependence_index,wind_utilization_hours_2018_2023,-0.14781900741670098,30
mining_fiscal_dependence_z,state_owned_asset_lockin_z,0.4461557695017869,30
mining_fiscal_dependence_z,early_power_export_z,0.32292771302614187,30
mining_fiscal_dependence_z,wind_curtailment_rate_2020_2023,0.5628804018919027,31
mining_fiscal_dependence_z,solar_curtailment_rate_2020_2023,0.1338124705175203,31
mining_fiscal_dependence_z,wind_utilization_hours_2018_2023,-0.12386639412528708,31
state_owned_asset_lockin_z,early_power_export_z,0.4069366502243023,29
state_owned_asset_lockin_z,wind_curtailment_rate_2020_2023,0.40350333666790655,30
state_owned_asset_lockin_z,solar_curtailment_rate_2020_2023,0.4034950495388492,30
state_owned_asset_lockin_z,wind_utilization_hours_2018_2023,-0.22556961068508063,30
early_power_export_z,wind_curtailment_rate_2020_2023,0.12935567204221235,30
early_power_export_z,solar_curtailment_rate_2020_2023,-0.05918549889135907,30
early_power_export_z,wind_utilization_hours_2018_2023,0.21079472438690364,30
wind_curtailment_rate_2020_2023,solar_curtailment_rate_2020_2023,0.2342446445007537,31
wind_curtailment_rate_2020_2023,wind_utilization_hours_2018_2023,-0.21732005144666722,31
solar_curtailment_rate_2020_2023,wind_utilization_hours_2018_2023,-0.04722674918885567,31
