outcome,dimension,breakpoint,b_coal,se_coal,p_coal,b_lock,se_lock,p_lock,b_ddd,se_ddd,p_ddd,N,r2
energy5_int,raw,2012,-.3128644916712561,.12353518,.016992101,.039398301,.043218449,.36949092,-.10473738,.098006792,.29403153,480,.95945048
coalterm_int,raw,2012,-.4251247288012019,.084052622,.000021598757,.0036461868,.038748823,.92567843,.011837321,.089064963,.89518517,480,.92433876
industrial_so2,raw,2012,-81.14236305932228,22.798391,.0013045343,17.228386,13.411304,.20909333,-35.204739,30.432148,.25678352,510,.88238692
nox_total,raw,2012,-39.18382312377307,20.466866,.066208705,-10.439649,16.206766,.52491069,-3.7304544,30.998779,.90510333,336,.92455328
industrial_solid_waste,raw,2012,-46.79675167882345,19.909403,.025762305,1.8736248,15.240312,.90300369,4.0924067,36.344326,.91112274,510,.7873807
coalshare5,raw,2012,-.2218470095360566,.076753177,.0072148861,-.032693304,.048879251,.50887555,.14183462,.10951992,.20551609,480,.93003082
coal_share_pctg,raw,2012,-.1906733207620563,.065840378,.0071161902,.019975385,.053120993,.70962739,.021475473,.11843842,.85737634,480,.94511521
ln_co2,raw,2012,-.1968683168293669,.11359018,.093692578,.23037529,.11081581,.046578493,-.38211942,.22431563,.099171653,510,.99198192
therm_cap_sh,raw,2012,.0448802374573662,.087329835,.61120439,-.018191691,.059344899,.76138234,-.052279867,.13800293,.7075724,510,.9431439
therm_gen_sh,raw,2012,.0891877185997681,.088745542,.3232176,-.013354825,.070529647,.85113716,-.012947038,.16149132,.93665141,507,.94912785
gem_coal_new_capacity_mw,raw,2012,-93.44768757973574,1090.7113,.93231285,490.14764,965.78247,.61563277,-1164.3846,2069.9043,.5780775,510,.52133155
wind_gen_sh,raw,2016,.0122823278521962,.022945646,.59653807,.023641178,.018241419,.20518997,-.059603076,.04286826,.17499369,330,.88738966
windsolar_gen_sh,raw,2016,-.0323157064918082,.055711839,.56636018,-.0014648087,.039962161,.97101134,-.0043327603,.085142955,.95976359,330,.88163769
wind_cap_sh,raw,2016,.073463155190743,.039501473,.073091529,-.047379371,.043733444,.28757113,.088418044,.097560823,.37225324,288,.92955947
energy5_int,log,2012,-.2900973345800537,.10929026,.012764633,.030097203,.031320661,.34452778,-.087677613,.093334876,.35529086,480,.95946139
coalterm_int,log,2012,-.4383615025446299,.075503007,2.7164206e-06,.019233689,.022399379,.39756426,-.035761766,.070197366,.61429465,480,.92419261
industrial_so2,log,2012,-71.90034290193208,20.313141,.0013735287,-4.5495973,5.1905465,.38795274,12.25017,18.62826,.51597363,510,.88145512
nox_total,log,2012,-30.61390153631987,15.796951,.063150868,2.7195334,4.7371802,.57066393,-35.065228,12.61524,.0097900974,336,.92498028
industrial_solid_waste,log,2012,-55.91859594512466,21.711536,.015372598,-2.7458751,5.5570102,.62493789,23.544462,20.698357,.26463905,510,.78958803
coalshare5,log,2012,-.2930067859569949,.083723404,.0015256491,-.003240156,.021543043,.88148731,.084500067,.073204979,.25780356,480,.92614198
coal_share_pctg,log,2012,-.2405141942603691,.071798541,.0022563101,.019171618,.020942016,.36749914,.030496674,.067590125,.65520138,480,.94290155
ln_co2,log,2012,-.2162117056375418,.14634769,.15035154,.0096404459,.034854535,.78405613,.18172933,.13075915,.1751667,510,.99157876
therm_cap_sh,log,2012,.1337041029517138,.087231658,.13617601,.01407778,.024589311,.57138461,-.18783113,.081510894,.028558582,510,.94361752
therm_gen_sh,log,2012,.1174334021448915,.085186712,.17857867,-.0018867587,.028189771,.94709629,-.044188771,.10118841,.66556478,507,.94854206
gem_coal_new_capacity_mw,log,2012,480.2221678581048,943.46582,.61460477,65.981407,319.21445,.83768916,-732.59076,985.22064,.46311262,510,.52220422
wind_gen_sh,log,2016,.0297915606704725,.020575363,.15836412,.012383477,.0080774603,.13609171,-.04797978,.026816523,.084035024,330,.88807911
windsolar_gen_sh,log,2016,-.0132485532899731,.03877065,.73502851,-.0092059579,.030962503,.76833707,-.0093996748,.079589725,.9068014,330,.88464624
wind_cap_sh,log,2016,.0835587338563091,.038545974,.038524952,-.008365022,.022177406,.70878112,-.019112913,.064559974,.76930237,288,.93035674
energy5_int,vintage,2012,-.2935163098692315,.11669222,.017687809,-.0026303541,.032892402,.93681169,.041586954,.10398881,.69214773,480,.95968401
coalterm_int,vintage,2012,-.429276373450081,.076072291,4.2586753e-06,-.0026553196,.021687714,.90339965,.035840478,.059135363,.54917979,480,.92472303
industrial_so2,vintage,2012,-69.08861473882222,22.546259,.0046809395,-7.9155402,8.8105993,.37636548,30.806082,22.110207,.1741183,510,.88467491
nox_total,vintage,2012,-40.45704034464023,17.793766,.031153888,-3.7166245,7.1791925,.60888785,.29940397,17.859083,.9867475,336,.92272329
industrial_solid_waste,vintage,2012,-52.35294801725681,19.899387,.013495084,5.4399147,6.7402329,.42618993,-2.7148492,18.639006,.88520211,510,.78827357
coalshare5,vintage,2012,-.278510718754885,.094458304,.0062505607,.035373352,.033294544,.29680511,-.050264146,.084605739,.55705273,480,.92440438
coal_share_pctg,vintage,2012,-.2330616478884571,.079172783,.0063252728,.05630092,.030026127,.070886672,-.098795883,.072329968,.18246906,480,.94129324
ln_co2,vintage,2012,-.2078968860050409,.12240875,.10014191,.1230887,.064261794,.065346204,-.098134659,.12234544,.42901292,510,.99253899
therm_cap_sh,vintage,2012,.0685710725738449,.094332375,.47310907,-.0068766978,.026701208,.79857868,-.068654768,.068740107,.32617295,510,.9406876
therm_gen_sh,vintage,2012,.0984429305997724,.086500034,.26440728,-.0089490414,.033093009,.78875178,-.000098567798,.080806278,.99903506,507,.94809258
