outcome,dimension,breakpoint,b_coal,se_coal,p_coal,b_dep,se_dep,p_dep,b_ddd,se_ddd,p_ddd,N,r2
energy5_int,dep_log,2012,-.3762342275494179,.17281894,.039126683,.070677288,.06051575,.25385886,-.18190463,.14115699,.20931159,416,.96126199
coalterm_int,dep_log,2012,-.5226268771459852,.12348806,.00027238094,.056175247,.04478376,.22131045,-.12778321,.10596284,.23913603,416,.92223883
industrial_so2,dep_log,2012,-83.40378196331956,25.579824,.0032024214,-1.9918245,9.6048021,.83739465,-1.8290439,20.091982,.92819142,442,.88585192
nox_total,dep_log,2012,-47.69393145451937,25.866295,.078124873,5.7624021,6.8192172,.40680233,-28.617105,15.665647,.080746144,288,.91892749
industrial_solid_waste,dep_log,2012,-85.72071506842499,27.080782,.0040445486,.52173221,7.5114775,.94517767,8.0793676,19.852901,.68749958,442,.77823406
coalshare5,dep_log,2012,-.3580966344157981,.11718664,.005278721,-.01607115,.025726067,.5378263,.086197034,.054811258,.12837954,416,.91103125
coal_share_pctg,dep_log,2012,-.2499192738066612,.11459044,.03880243,.005030042,.027118098,.85434413,.020771889,.057796735,.72231716,416,.92816526
ln_co2,dep_log,2012,-.3280112992761845,.21146618,.13343915,.12344869,.12871508,.34670034,-.15528038,.23024322,.50623417,442,.98874301
therm_cap_sh,dep_log,2012,.0989801835744599,.11865047,.41205958,-.034842957,.038603459,.37536004,-.037018172,.088525079,.67939603,442,.95662653
therm_gen_sh,dep_log,2012,.1632044788111226,.10260282,.12425739,-.004920823,.032794748,.88192987,-.046187911,.081898399,.57780206,440,.9511019
gem_coal_new_capacity_mw,dep_log,2012,-780.0782070343411,1355.5635,.57012135,1467.7551,784.70789,.073173873,-3057.9138,1545.4087,.058965631,442,.52237201
wind_gen_sh,dep_log,2016,.0108381169011688,.032717768,.74320823,.0043421183,.0094304383,.64918292,-.017139191,.022130501,.4459219,286,.89816535
windsolar_gen_sh,dep_log,2016,-.0939045285295118,.098807268,.35101691,.017386204,.02258358,.44859651,-.039660536,.049861532,.43386057,286,.88806552
wind_cap_sh,dep_log,2016,.026520625292142,.076650225,.73224103,.019410415,.018159142,.29532486,-.033833366,.04208874,.42905682,252,.92506176
energy5_int,share,2012,-.4929784264841818,.1923724,.016793918,.16448416,.11953666,.18101969,-.30862463,.21955809,.17213109,416,.9608745
coalterm_int,share,2012,-.644318297716048,.12430651,.000023210601,.18111673,.086256266,.046008043,-.33129275,.1604939,.049521178,416,.92340839
industrial_so2,share,2012,-32.05591881768426,25.019627,.21187003,-55.317585,18.338314,.0058032372,88.713211,32.638107,.011754996,442,.89383209
nox_total,share,2012,-17.84026723680551,22.399988,.43392023,-30.300083,16.090794,.072399274,40.778217,30.17074,.18965364,288,.9199698
industrial_solid_waste,share,2012,-110.5433255435243,29.40509,.00091677008,40.556713,18.195177,.035038147,-70.9021,30.822697,.030052587,442,.78041232
coalshare5,share,2012,-.470172194249226,.12309607,.00078635541,.15200303,.057137441,.01343446,-.24451157,.10484484,.028045496,416,.91169435
coal_share_pctg,share,2012,-.3646637310241183,.11015671,.0028314006,.16627558,.052342962,.0039345147,-.28489807,.097033538,.007036712,416,.93046308
ln_co2,share,2012,-.4219123397325683,.25928974,.11623769,.25536373,.1916163,.19465572,-.4421933,.34849638,.21617807,442,.98806149
therm_cap_sh,share,2012,.1813610865044493,.11965331,.14213297,-.20039849,.05907255,.0023100469,.33407703,.10290665,.0033157226,442,.95206648
therm_gen_sh,share,2012,.1354754461472273,.10948632,.22744516,-.040362064,.062371023,.52344692,.076534301,.11031749,.49422655,440,.9496004
gem_coal_new_capacity_mw,share,2012,-2227.990832951217,2024.5126,.2815952,2722.2798,1781.1011,.13896205,-5029.0537,3300.2637,.14010133,442,.51977849
wind_gen_sh,share,2016,.0383638750653581,.034819853,.28105134,-.032174129,.025542745,.21943994,.054529756,.044820964,.23511329,286,.8985126
windsolar_gen_sh,share,2016,-.004512971596432,.077785313,.95419532,-.091998033,.068353906,.19041169,.16343041,.1207375,.18797611,286,.89025807
wind_cap_sh,share,2016,.0481370991335229,.08175119,.56126225,-.015065037,.06865678,.82810044,.039873108,.12007857,.74261308,252,.9250595
