	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)
VARIABLES	gtfp_level: relative	gml_index: relative	energy5_int: relative	coalterm_int: relative	industrial_so2: relative	coalshare5: relative	ln_co2: relative	therm_cap_sh: relative	therm_gen_sh: relative	windsolar_gen_sh: relative	gtfp_level: relative_no2017	gml_index: relative_no2017	energy5_int: relative_no2017	coalterm_int: relative_no2017	industrial_so2: relative_no2017	coalshare5: relative_no2017	ln_co2: relative_no2017	therm_cap_sh: relative_no2017	therm_gen_sh: relative_no2017	windsolar_gen_sh: relative_no2017	gtfp_level: level	gml_index: level	energy5_int: level	coalterm_int: level	industrial_so2: level	coalshare5: level	ln_co2: level	therm_cap_sh: level	therm_gen_sh: level	windsolar_gen_sh: level
																														
green_credit_proxy_z	1.7129	0.5937	-0.2385	-0.2471	-86.3918	-0.0754	0.2239	-0.0830	-0.0736	0.1992**	1.7861	1.1806	-0.2858	-0.3364	-169.1827	-0.1384	0.2242	-0.1195	-0.0670	0.2170**	0.6642	-0.2238	-0.0661	-0.0046	70.6104	0.0448	0.3430	-1.2223	-0.6885	0.3495
	(2.0508)	(1.1861)	(0.3142)	(0.4140)	(261.9804)	(0.2716)	(0.2058)	(0.2300)	(0.1284)	(0.0919)	(3.0340)	(3.7239)	(0.6011)	(0.9168)	(683.9039)	(0.6522)	(0.2343)	(0.3119)	(0.1507)	(0.0942)	(1.2805)	(0.4587)	(0.1246)	(0.1250)	(75.8958)	(0.0816)	(1.3316)	(6.9170)	(3.8015)	(0.5876)
green_credit_proxy_z_x_resdep	-2.6310	-1.8748	0.2608	0.4699	331.9297	0.3568	0.1994	0.3837	0.1187	0.0090	-2.6411	-3.2370	0.3137	0.6289	512.3964	0.5151	0.2316	0.4486	0.1251	0.0279	3.0929	1.1759	-0.3276	-0.3355	-191.4585	-0.0736	0.1141	1.5964	0.8347	-0.0705
	(4.6450)	(2.7318)	(0.8895)	(1.0754)	(607.5109)	(0.6151)	(0.3959)	(0.2999)	(0.2030)	(0.2545)	(6.8699)	(8.3346)	(1.5410)	(2.2019)	(1,554.7603)	(1.4499)	(0.4264)	(0.3898)	(0.2160)	(0.2784)	(5.5364)	(2.0054)	(0.4953)	(0.5151)	(324.5357)	(0.2019)	(1.8239)	(8.4458)	(4.6731)	(0.7364)
																														
Observations	319	319	319	319	319	319	330	330	330	299	290	290	290	290	290	290	300	300	300	269	319	319	319	319	319	319	330	330	330	299
R-squared	-2.1249	-9.8721	-6.6875	-20.6682	-64.4036	-8.9857	-4.2768	-11.0740	-1.6971	-5.1188	-2.1449	-31.0594	-9.5826	-37.5846	-157.3119	-20.1491	-4.6475	-15.1867	-1.7347	-5.8610	-1.3894	-3.2034	-4.2166	-6.8551	-20.7752	-0.7379	-6.8873	-309.3257	-77.6463	-17.9992
Province FE	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes
Year FE	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes
Cluster	Province	Province	Province	Province	Province	Province	Province	Province	Province	Province	Province	Province	Province	Province	Province	Province	Province	Province	Province	Province	Province	Province	Province	Province	Province	Province	Province	Province	Province	Province
Instrument	relative	relative	relative	relative	relative	relative	relative	relative	relative	relative	relative_no2017	relative_no2017	relative_no2017	relative_no2017	relative_no2017	relative_no2017	relative_no2017	relative_no2017	relative_no2017	relative_no2017	level	level	level	level	level	level	level	level	level	level
KP rk Wald F	weak_f	weak_f	weak_f	weak_f	weak_f	weak_f	weak_f	weak_f	weak_f	weak_f	weak_f	weak_f	weak_f	weak_f	weak_f	weak_f	weak_f	weak_f	weak_f	weak_f	weak_f	weak_f	weak_f	weak_f	weak_f	weak_f	weak_f	weak_f	weak_f	weak_f
Robust standard errors in parentheses																														
*** p<0.01, ** p<0.05, * p<0.1																														
