outcome,specification,b_gc,se_gc,p_gc,b_gc_resdep,se_gc_resdep,p_gc_resdep,kp_rk_wald_f,N
gtfp_level,relative,1.712920939264712,2.0507839,.40357596,-2.6309707,4.6449742,.57111353,.12817943,319
gml_index,relative,.5936752533228417,1.1860846,.6166994,-1.8747629,2.7318182,.49254331,.12817943,319
energy5_int,relative,-.2384935862867246,.31418172,.44779611,.26078418,.88950783,.76938605,.12817943,319
coalterm_int,relative,-.2470527417478335,.41397798,.55065596,.46991137,1.0753598,.66212541,.12817943,319
industrial_so2,relative,-86.39175117690853,261.98038,.7415781,331.92966,607.51093,.58480722,.12817943,319
coalshare5,relative,-.075388865733299,.27158996,.78133219,.35675955,.61510509,.56191617,.12817943,319
ln_co2,relative,.2238661546459506,.20584553,.27679631,.19944876,.3959271,.61443621,1.4341613,330
therm_cap_sh,relative,-.0829772764464647,.22995885,.71822256,.38365439,.29991427,.20082191,1.4341613,330
therm_gen_sh,relative,-.073585542328235,.12838171,.56652433,.1187236,.20297673,.55860662,1.4341613,330
windsolar_gen_sh,relative,.1991820749010224,.091850117,.030116444,.0089951493,.25449738,.97180486,1.2303865,299
gtfp_level,relative_no2017,1.786060703054396,3.0339866,.55607295,-2.6410565,6.8699207,.70065403,.049487256,290
gml_index,relative_no2017,1.180567070884928,3.7238972,.75122494,-3.2369871,8.3345537,.6977337,.049487256,290
energy5_int,relative_no2017,-.2858390236030448,.60111356,.63441932,.31369454,1.5409659,.83868945,.049487256,290
coalterm_int,relative_no2017,-.3364327578803536,.91681588,.71365047,.62885123,2.2018747,.77518594,.049487256,290
industrial_so2,relative_no2017,-169.1827246407561,683.90393,.8046158,512.39636,1554.7603,.74172777,.049487256,290
coalshare5,relative_no2017,-.1383604536524873,.65216106,.83198464,.51514071,1.4499083,.72237092,.049487256,290
ln_co2,relative_no2017,.2241794580517003,.23430392,.33867368,.23163345,.42640305,.58697385,.84340513,300
therm_cap_sh,relative_no2017,-.1194716501558038,.31189513,.70168215,.44856331,.38978183,.24981204,.84340513,300
therm_gen_sh,relative_no2017,-.0669590677417546,.15073667,.65688914,.12513857,.2160185,.56238973,.84340513,300
windsolar_gen_sh,relative_no2017,.2169528170247195,.094154447,.021210145,.027939014,.27838889,.92005879,1.7325313,269
gtfp_level,level,.6641942698878965,1.2805057,.60397214,3.09288,5.5363593,.57640147,.18571556,319
gml_index,level,-.2238365648805904,.45873678,.62559152,1.1759068,2.005415,.5576297,.18571556,319
energy5_int,level,-.0660554245096545,.1246304,.59610462,-.32758316,.49527469,.50834489,.18571556,319
coalterm_int,level,-.0046412023500356,.12501059,.97038418,-.33547124,.5150699,.51484507,.18571556,319
industrial_so2,level,70.61038771386944,75.895775,.35218477,-191.45848,324.53571,.55522698,.18571556,319
coalshare5,level,.0448041479291519,.081553251,.58274114,-.073635191,.20194007,.71538103,.18571556,319
ln_co2,level,.3430238380897582,1.3316022,.79671383,.11413697,1.8239028,.95010221,.017643608,330
therm_cap_sh,level,-1.22225063376821,6.9170113,.85974234,1.5963995,8.4457884,.8500793,.017643608,330
therm_gen_sh,level,-.6885105288008201,3.8015256,.85627788,.83472258,4.6731415,.85823506,.017643608,330
windsolar_gen_sh,level,.3494992281719386,.58760291,.55198514,-.070457995,.73641711,.92377728,.085552216,299
