outcome,model,b_gc,se_gc,p_gc,b_gc_resdep,se_gc_resdep,p_gc_resdep,N,r2
gtfp_level,contemporaneous,.1657572065901432,.10404812,.12236951,.1977208,.06018699,.0027428071,464,.77747262
gtfp_level,contemp_no2017,.1677156096555276,.10175014,.11046686,.20624249,.058604714,.001499583,435,.77735269
gtfp_level,lagged,.2305024629615675,.10812888,.041941375,.24747831,.082918741,.0058355033,493,.77353668
gml_index,contemporaneous,-.0015589244047242,.020756308,.94066435,.031203007,.01491034,.045559458,464,.27400416
gml_index,contemp_no2017,-.0129906615517681,.021249678,.54590988,.034118902,.014349313,.024484947,435,.28539634
gml_index,lagged,.007093602997727,.026887506,.79384661,.020853978,.023118662,.37472966,493,.2728076
energy5_int,contemporaneous,-.0037950597374283,.010017483,.70766157,-.024854802,.005962261,.0002669004,464,.95687234
energy5_int,contemp_no2017,-.0029952893828583,.010357772,.7745719,-.025323056,.0061470908,.00030474635,435,.9562794
energy5_int,lagged,-.0025980737255357,.0091993883,.7797001,-.023304945,.0058349641,.00042700139,464,.95680904
coalterm_int,contemporaneous,-.0105724668135694,.011285048,.3568435,-.019269353,.0069254679,.0095513845,464,.90211773
coalterm_int,contemp_no2017,-.0097163923620572,.011439865,.40289313,-.019641358,.0070686699,.0096375924,435,.90230173
coalterm_int,lagged,-.0137042515706863,.012096901,.26687559,-.018602662,.0067035905,.0097217318,464,.90282053
industrial_so2,contemporaneous,.6456734785877578,3.7593582,.86486858,-3.3766541,2.3216429,.15694776,464,.87503952
industrial_so2,contemp_no2017,.9111443515867551,3.7476521,.80968159,-3.1781118,2.3568907,.18832582,435,.87966508
industrial_so2,lagged,.4313345916864466,3.6394095,.90650362,-4.4917059,2.0138779,.033914734,493,.8713519
nox_total,contemporaneous,.1235686297608353,2.6392014,.96300089,-2.2924845,3.0248628,.45508695,308,.92529964
nox_total,contemp_no2017,.0124470212362257,2.831305,.99652469,-2.3742127,3.0815995,.4477236,280,.9250412
nox_total,lagged,-1.481451169580463,2.3545499,.53451473,-4.1626077,2.4571607,.10175838,336,.92304313
industrial_solid_waste,contemporaneous,-2.844544050782464,2.2985907,.22617301,-2.8847923,2.3008397,.22028241,464,.77517158
industrial_solid_waste,contemp_no2017,-2.749685342951372,2.3625224,.25429597,-2.6635604,2.3552022,.26768014,435,.77976614
industrial_solid_waste,lagged,-2.805764807550335,2.6096499,.29148537,-3.6249504,2.4444644,.1492644,493,.77577657
coalshare5,contemporaneous,-.0153528186871755,.011221446,.18213953,.005503926,.0055816304,.33253941,464,.9077726
coalshare5,contemp_no2017,-.0144266232152656,.011501929,.22011098,.0055307141,.005744365,.34388638,435,.90740979
coalshare5,lagged,-.02244399001968,.010942789,.049726795,.0060387147,.0051733395,.25294369,464,.90960073
coal_share_pctg,contemporaneous,-.0118057609914548,.0096405167,.23093003,.0045115124,.0049551143,.37034336,464,.93055838
coal_share_pctg,contemp_no2017,-.011374231383991,.0097868219,.2549656,.0051307525,.0050455853,.31791741,435,.93043905
coal_share_pctg,lagged,-.0165232834089267,.0093553364,.08826682,.0041901264,.0042461716,.33219129,464,.9314062
ln_co2,contemporaneous,-.0258467570704923,.011959327,.039072752,-.0055294856,.0079381,.49161464,480,.99311984
ln_co2,contemp_no2017,-.0239067517469404,.011671224,.049673859,-.004505781,.0078660948,.57118803,450,.99290919
ln_co2,lagged,-.0230355822732047,.014100512,.11313973,-.0050431904,.0084005091,.55294043,510,.99266893
therm_cap_sh,contemporaneous,.0394671002305135,.007645098,.000016150881,-.015305528,.0052367342,.0066622905,480,.94496423
therm_cap_sh,contemp_no2017,.0392612959513124,.0077126175,.000019722662,-.015569668,.0053975056,.0073183281,450,.94331902
therm_cap_sh,lagged,.0347098479274881,.0084376726,.00029357086,-.013085882,.0052436227,.018513359,510,.94128925
therm_gen_sh,contemporaneous,.0345692328392783,.010995721,.0038282585,-.0093742218,.0071408623,.19955903,477,.96177763
therm_gen_sh,contemp_no2017,.035377190615397,.011005193,.0031969436,-.010010543,.0071524107,.17223865,447,.96151364
therm_gen_sh,lagged,.0306212809949844,.010950049,.0090762069,-.0078654839,.0057887877,.18470281,507,.9577294
windsolar_gen_sh,contemporaneous,.0064878079866984,.0053419173,.23435053,.0081487019,.0068262829,.24225964,299,.87185061
windsolar_gen_sh,contemp_no2017,.0079794371276368,.0057833954,.17822066,.0099977236,.0070654019,.16771005,269,.87471884
windsolar_gen_sh,lagged,.0014305065060839,.0058720354,.80924541,.0053750863,.0045601632,.24809685,329,.88131344
