outcome,indexdef,breakpoint,b_coal,se_coal,p_coal,b_res,se_res,p_res,b_ddd,se_ddd,p_ddd,N,r2
energy5_int,v2share,2012,-.3691450676129238,.18026561,.051223643,.0043355101,.073943131,.95371056,-.029400796,.13179895,.82529128,416,.96033609
coalterm_int,v2share,2012,-.5164230936856088,.13182989,.00061243318,.031729128,.058884464,.59476554,-.06705565,.10422983,.5258587,416,.92087638
industrial_so2,v2share,2012,-83.98111405268251,26.510187,.0040198215,-.81958383,15.234659,.95752424,-3.4850318,26.724287,.89728814,442,.88588732
nox_total,v2share,2012,-51.36282147601371,27.896402,.078528009,3.3992128,12.00895,.77966547,-17.726892,23.055609,.44979104,288,.91851223
industrial_solid_waste,v2share,2012,-79.73127874771761,27.477713,.0076373969,3.2068851,12.034896,.79206622,-4.338975,22.465403,.84840965,442,.77503145
coalshare5,v2share,2012,-.370700315251384,.13315342,.010080578,.077823795,.053514645,.158317,-.10475831,.092393488,.26762277,416,.91163081
coal_share_pctg,v2share,2012,-.2668289913395013,.12907596,.049213979,.09373863,.05124015,.079292327,-.14713849,.087535925,.10523743,416,.93052942
ln_co2,v2share,2012,-.3602080628207101,.28151301,.21245386,.34622857,.21612102,.12171447,-.55628073,.36590955,.14099135,442,.98960084
therm_cap_sh,v2share,2012,.0660967162824996,.14787109,.6587317,-.11862497,.06189014,.066774465,.17053179,.11144395,.1385231,442,.95290184
therm_gen_sh,v2share,2012,.1227095842365909,.10502202,.25366008,-.016201224,.05830171,.78338516,.022467947,.095570073,.81605083,440,.9495917
gem_coal_new_capacity_mw,v2share,2012,-1162.405772898384,1346.3885,.39615202,2908.0217,1248.2549,.028196139,-5205.9746,2231.9868,.028026445,442,.52751929
wind_gen_sh,v2share,2016,-.0036567772177423,.029548824,.90249985,.019090043,.014652108,.20448706,-.035651736,.026730252,.19430734,286,.89827317
windsolar_gen_sh,v2share,2016,-.1387488649898817,.092817545,.14746879,.081840992,.038968753,.045968063,-.14077376,.070006594,.055241685,286,.89418226
wind_cap_sh,v2share,2016,.0074628535043918,.080016322,.92643517,.049248114,.035790961,.18102625,-.079605773,.062654033,.21558194,252,.92663121
energy5_int,v2log,2012,-.3686172481091311,.17388569,.04411855,.020586839,.063866779,.74987507,-.067209236,.1212852,.58440495,416,.9605037
coalterm_int,v2log,2012,-.5123232746454872,.12656093,.00043790144,.032210793,.049346574,.51987773,-.072625265,.093081735,.44257993,416,.92108303
industrial_so2,v2log,2012,-86.88475103542038,25.525415,.0022451666,1.9188675,11.824939,.8723954,-6.676692,21.163239,.75501174,442,.88539428
nox_total,v2log,2012,-53.14356579709011,26.776199,.059228089,5.6387239,8.6228752,.51964468,-22.776628,18.335188,.22666712,288,.91842526
industrial_solid_waste,v2log,2012,-79.8971656087803,27.061424,.0067671416,.90306938,10.128768,.9296661,1.0997162,21.380272,.95938689,442,.77525181
coalshare5,v2log,2012,-.354475183173709,.12507202,.0089601548,.03284286,.041004431,.43070233,-.019362934,.074666969,.79750878,416,.91091079
coal_share_pctg,v2log,2012,-.2496748729730563,.12176855,.050948523,.049964521,.039991893,.22310239,-.067018226,.071105547,.35494739,416,.92939818
ln_co2,v2log,2012,-.31328158661356,.25210544,.22552265,.24121191,.16844565,.16453275,-.35889667,.28373614,.2175729,442,.9895668
therm_cap_sh,v2log,2012,.0553011569560488,.14090452,.69803536,-.08070609,.050444763,.12218582,.087973319,.10191098,.39621347,442,.9538967
therm_gen_sh,v2log,2012,.1311481859656596,.10423806,.21995819,-.016839039,.046396095,.71969974,.010711276,.081045955,.8959133,440,.94986951
gem_coal_new_capacity_mw,v2log,2012,-741.1829864640769,1290.7257,.57093841,2166.8999,953.06323,.031837914,-3987.7551,1735.9742,.030261148,442,.5263778
wind_gen_sh,v2log,2016,-.0003572748659885,.029142017,.99031568,.014405862,.012609335,.26408023,-.028607609,.024429129,.25262192,286,.89821845
windsolar_gen_sh,v2log,2016,-.1250663595280685,.090045601,.17710632,.060045563,.033980489,.089425549,-.103269,.063308895,.11538495,286,.89348686
wind_cap_sh,v2log,2016,.0159740899574863,.076411225,.83609998,.037757877,.027261386,.17827885,-.063095003,.05012919,.21978486,252,.92641395
