specification,instrument,b,se,fstat,pvalue,n,r2
assetW_assetG,iv_assets_assets_growth_loo,-.2755664865123396,.17547566,2.4661477,.12681137,527,.7828989
outletW_assetG,iv_outlets_assets_growth_loo,-.2225735820881896,.22437924,.98397005,.32915446,527,.78248841
assetW_outletG,iv_assets_outlets_growth_loo,.0632212062678605,.17518246,.13023998,.7207123,465,.79835725
outletW_outletG,iv_outlets_outlets_growth_loo,.1071054979044971,.17609359,.36994439,.54761225,465,.79836595
assetW_assetCum,iv_assets_assets_cum2011_loo,.2625854607380657,.32429594,.65562928,.42448339,558,.78163165
outletW_assetCum,iv_outlets_assets_cum2011_loo,.2822222701825516,.30504128,.85598338,.36224812,558,.78236002
assetW_outletCum,iv_assets_outlets_cum2011_loo,.430859890797314,.17336749,6.1764197,.018747132,496,.8076793
outletW_outletCum,iv_outlets_outlets_cum2011_loo,.8635248808974677,.35062021,6.065629,.019743791,496,.80944926
assetW_assetCum_post,iv_aw_acum_post,.267510196148729,.47613919,.31565511,.57840425,558,.78013778
outletW_assetCum_post,iv_ow_acum_post,.3301488100698867,.45289698,.53139889,.47167239,558,.78149343
assetW_outletCum_post,iv_aw_ocum_post,.4785459059270409,.20539507,5.4283414,.026730413,496,.80700904
outletW_outletCum_post,iv_ow_ocum_post,.9197415145316498,.40434179,5.1740947,.030240895,496,.80761105
