event_time,b,se,p,pre_f,pre_p,N
-5,.0019122927168259,.080019765,.98106617,1.9313035,.12631778,395
-4,.0270817566506993,.062210608,.66592634,1.9313035,.12631778,395
-3,.028733347167485,.041209172,.49012122,1.9313035,.12631778,395
-2,-.0198797474876338,.033504233,.55665654,1.9313035,.12631778,395
0,.0037267417928413,.012410521,.76568407,1.9313035,.12631778,395
1,.0266820634023298,.022909168,.25180492,1.9313035,.12631778,395
2,.0142551305030631,.032202184,.6606487,1.9313035,.12631778,395
3,.0002520774864684,.024505632,.99184948,1.9313035,.12631778,395
4,.0437968674516616,.035313811,.22291721,1.9313035,.12631778,395
5,.04895024272155,.049344502,.32781383,1.9313035,.12631778,395
