outcome,b,se,p,ci_low,ci_high,N,r2,year_min,year_max
gtfp_level,-1.049843305447774,.75280219,.17373443,-2.5894966,.48981008,510,.76437896,2007,2023
gml_index,-.1341888388043655,.082996048,.11674709,-.30393481,.035557132,510,.27187616,2007,2023
energy5_int,-.2894549784361844,.11898923,.021391962,-.53281528,-.046094682,480,.95922452,2007,2022
coalterm_int,-.4261854214009543,.077600867,6.4684159e-06,-.58489704,-.26747382,480,.9237228,2007,2022
industrial_so2,-72.58871365071349,19.699562,.00093463267,-112.87885,-32.298584,510,.88117659,2007,2023
nox_total,-43.99146104370375,16.89155,.014783787,-78.650063,-9.3328619,336,.92226017,2011,2023
industrial_solid_waste,-47.2683431982222,20.052076,.025372053,-88.279442,-6.2572436,510,.78369045,2007,2023
coalshare5,-.2495047578598652,.075376555,.0025007611,-.40366712,-.095342383,480,.92243576,2007,2022
coal_share_pctg,-.189982907821861,.065060951,.0067060054,-.32304749,-.056918327,480,.93817002,2007,2022
ln_co2,-.0981760607795801,.10337957,.35012975,-.30961102,.11325891,510,.99039871,2007,2023
therm_cap_sh,.0516792807142947,.094498642,.58864599,-.14159214,.24495071,510,.93677831,2007,2023
therm_gen_sh,.0887805987339871,.075401589,.24859439,-.065432958,.24299416,507,.94784564,2007,2023
