variable,N,mean,sd,p25,median,p75,min,max
coal_exposure,720,.41450688,.14719348,.3165648,.43159834,.54710692,.10162773,.64359909
gtfp_level,720,2.2107449,1.236649,1.3881578,1.8598038,2.6510327,.91953111,9.4223404
gml_index,720,1.0673209,.16726719,1,1.0454137,1.1082313,.58166081,3.6870022
energy5_int,686,.650159,.42782363,.34108815,.55963421,.83050382,.088186793,4.7261972
coalterm_int,686,.28492764,.28730312,.092018038,.20591259,.39076373,.00062580861,3.2213593
industrial_so2,720,45.2034,39.480541,11.3325,34.954498,67.151505,.059,171.5
nox_total,348,53.056728,39.522057,24.825001,44.455002,70.065002,3.49,180.11
industrial_solid_waste,720,40.001621,33.607742,13.261,33.098,56.260002,.15800001,160.5
coalshare5,686,.37924862,.16697474,.24993749,.39510959,.49764955,.0070963982,.7461651
coal_share_pctg,600,.41762435,.16014577,.30462915,.42884666,.52492142,.0056374199,.80231243
ln_co2,744,19.077459,.91508436,18.561283,19.140251,19.777647,16.081091,20.887157
therm_cap_sh,683,.65220332,.24116579,.51674497,.67677706,.86322188,.023809524,1
therm_gen_sh,735,.716254,.25483981,.58664596,.78629458,.93133909,.00065919576,1
nontherm_gen_sh,735,.283746,.25483981,.068660915,.21370544,.41335404,0,.99934083
wind_gen_sh,342,.047458567,.04846422,.009200627,.028382516,.074666537,0,.24287827
windsolar_gen_sh,342,.07509011,.075976476,.014573832,.052091628,.11536725,0,.4466432
wind_cap_sh,307,.10106151,.080744617,.030873887,.075532518,.16984072,.0025316456,.32540312
green_credit_proxy,558,.45985055,.14706901,.36929822,.46424812,.56139666,.093953766,.97222221
resdep_pre,720,-.02385441,.83317041,-.67892778,-.23406193,.37657809,-1.0156927,3.0557747
