outcome,event_term,b,se,p,ci_low,ci_high,pretrend_p,N
energy5_int,exp_m4,.2109131806180528,.091378354,.028320547,.024023456,.39780292,.051703118,480
energy5_int,exp_m3,.1623526655115241,.05625191,.0072901952,.047304589,.27740073,.051703118,480
energy5_int,exp_m2,.0864400572807459,.043222249,.05495533,-.0019593644,.17483948,.051703118,480
energy5_int,exp_0,-.0458411677387615,.034404647,.19310074,-.11620657,.024524238,.051703118,480
energy5_int,exp_1,-.1092637631876293,.068271235,.12034091,-.24889411,.030366585,.051703118,480
energy5_int,exp_2,-.1265249935572949,.08219856,.13458213,-.29463992,.041589931,.051703118,480
energy5_int,exp_3,-.1686175688135308,.10673766,.12501378,-.3869206,.049685456,.051703118,480
energy5_int,exp_4,-.24652401481941,.16365114,.14278094,-.58122814,.088180132,.051703118,480
coalterm_int,exp_m4,.2270485922791733,.082488805,.010094684,.058340039,.39575714,.041490775,480
coalterm_int,exp_m3,.1543482528304459,.052863516,.0067114029,.046230223,.26246628,.041490775,480
coalterm_int,exp_m2,.055949381781982,.019210892,.0068346253,.016658695,.095240071,.041490775,480
coalterm_int,exp_0,-.0689891333882627,.029781029,.027794586,-.12989818,-.0080800923,.041490775,480
coalterm_int,exp_1,-.1943442109890004,.045420878,.00018681124,-.28724033,-.10144809,.041490775,480
coalterm_int,exp_2,-.2241368839913472,.050663676,.00012523563,-.32775572,-.12051804,.041490775,480
coalterm_int,exp_3,-.2749756747625042,.062328167,.00012954812,-.4024511,-.14750026,.041490775,480
coalterm_int,exp_4,-.4721784837070411,.10084437,.000061304665,-.67842835,-.2659286,.041490775,480
coalshare5,exp_m4,.0376875756886009,.076507665,.62600523,-.11878818,.19416332,.84010226,480
coalshare5,exp_m3,.0403006315720215,.050748557,.43357402,-.063491821,.14409308,.84010226,480
coalshare5,exp_m2,.0151235001994269,.024159862,.53622663,-.034288965,.064535961,.84010226,480
coalshare5,exp_0,-.0370723994088304,.039947823,.36105704,-.11877487,.044630073,.84010226,480
coalshare5,exp_1,-.1378919781222339,.057042219,.022148166,-.25455642,-.021227542,.84010226,480
coalshare5,exp_2,-.1467167899678907,.067736588,.038673043,-.28525367,-.008179904,.84010226,480
coalshare5,exp_3,-.1700245894383625,.073758498,.028508818,-.32087767,-.019171521,.84010226,480
coalshare5,exp_4,-.3685187701716659,.086450942,.00019519708,-.54533082,-.19170675,.84010226,480
industrial_so2,exp_m4,14.85832310821179,15.99655,.36063647,-17.858294,47.57494,.052514799,510
industrial_so2,exp_m3,-7.940758941036299,15.89634,.62117237,-40.452427,24.570908,.052514799,510
industrial_so2,exp_m2,-19.02094966881827,11.284401,.10260589,-42.10014,4.0582414,.052514799,510
industrial_so2,exp_0,-15.53979006958595,3.8784802,.00039288207,-23.472174,-7.6074071,.052514799,510
industrial_so2,exp_1,-23.27981081816403,6.7556844,.0017565482,-37.096737,-9.4628849,.052514799,510
industrial_so2,exp_2,-32.7400787757972,10.521044,.0041517741,-54.25803,-11.222127,.052514799,510
industrial_so2,exp_3,-45.83607553180796,17.056997,.011804653,-80.72155,-10.950599,.052514799,510
industrial_so2,exp_4,-126.1353438909099,31.17975,.00035359012,-189.90509,-62.365593,.052514799,510
