outcome,exposure,b,se,p,N,r2
energy5_int, coal_consumption_share,-.0426058852468435,.017514439,.021391962,480,.95922452
energy5_int, thermal_generation_share,.0060066896910767,.014105788,.67337447,480,.95597291
energy5_int, coal_production_share,-.0189279349463245,.012126374,.1311207,416,.95702159
energy5_int, recent_coal_power_vintage,.007967090648154,.014726422,.59263492,480,.95605296
coalterm_int, coal_consumption_share,-.0627317148117042,.011422342,6.4684159e-06,480,.9237228
coalterm_int, thermal_generation_share,.0026081838930126,.01336689,.84665751,480,.90141624
coalterm_int, coal_production_share,-.0204015136221528,.012704983,.12087957,416,.90087384
coalterm_int, recent_coal_power_vintage,.0031958272049249,.011354649,.78035975,480,.90145099
industrial_so2, coal_consumption_share,-10.68458528758778,2.8996472,.00093463267,510,.88117659
industrial_so2, thermal_generation_share,-2.106339102268579,4.5983329,.65031916,510,.87049943
industrial_so2, coal_production_share,-9.561958377413953,2.8671298,.0026639528,442,.88506246
industrial_so2, recent_coal_power_vintage,2.746160868135367,3.7337592,.46794531,510,.87099004
coalshare5, coal_consumption_share,-.0367254732993393,.011094938,.0025007611,480,.92243576
coalshare5, thermal_generation_share,.0068354509368347,.015999887,.67237544,480,.91486514
coalshare5, coal_production_share,.0034880339836176,.011018781,.75421053,416,.89626575
coalshare5, recent_coal_power_vintage,.0107771892025612,.014384054,.45974401,480,.91543633
ln_co2, coal_consumption_share,-.0144508759260609,.015216799,.35012975,510,.99039871
ln_co2, thermal_generation_share,.0361241340003674,.018280599,.057403505,527,.9927609
ln_co2, coal_production_share,.0040970122766907,.0085175103,.63469213,442,.98755598
ln_co2, recent_coal_power_vintage,.078848445263974,.032372754,.021020157,527,.99400562
therm_cap_sh, coal_consumption_share,.0076068531128688,.013909584,.58864599,510,.93677831
therm_cap_sh, thermal_generation_share,-.0346959560377091,.015210312,.029812519,527,.94273949
therm_cap_sh, coal_production_share,-.0160454176485008,.01128428,.16740432,442,.95049393
therm_cap_sh, recent_coal_power_vintage,-.0281024754686135,.0119912,.025917986,527,.94191235
therm_gen_sh, coal_consumption_share,.0130679251821549,.011098622,.24859439,507,.94784564
therm_gen_sh, thermal_generation_share,-.0061764378857868,.01666287,.71348733,524,.95580393
therm_gen_sh, coal_production_share,.0056588837477001,.0086119315,.51712209,440,.9491781
therm_gen_sh, recent_coal_power_vintage,-.0087470086890961,.011850535,.46618217,524,.95592046
