outcome,specification,b,se,p,N,r2
energy5_int,province_linear_trends,-.1225069483450796,.062991418,.061551381,480,.98465395
energy5_int,exclude_five_coal_provinces,-.2622381828848956,.12236467,.042451758,400,.94976884
coalterm_int,province_linear_trends,-.0573985377329439,.043023217,.19254421,480,.97413731
coalterm_int,exclude_five_coal_provinces,-.390293631067048,.0689428,7.8832309e-06,400,.91311151
industrial_so2,province_linear_trends,28.6157852321308,9.5262442,.0054460643,510,.96661538
industrial_so2,exclude_five_coal_provinces,-68.63574139613355,18.184229,.00092974101,425,.89309102
coalshare5,province_linear_trends,.0896917585877244,.068443201,.20032631,480,.96915984
coalshare5,exclude_five_coal_provinces,-.2190560285884603,.077197418,.0090968283,400,.94102484
ln_co2,province_linear_trends,-.0212762939665586,.037532445,.57515937,510,.99833351
ln_co2,exclude_five_coal_provinces,.0043562787852716,.067593701,.94914734,425,.99745446
therm_cap_sh,province_linear_trends,.0808250951615072,.053517517,.14179862,510,.97108406
therm_cap_sh,exclude_five_coal_provinces,.035202247847057,.0999479,.72775781,425,.94134343
therm_gen_sh,province_linear_trends,-.09434377860298,.055193126,.098070122,507,.97571999
therm_gen_sh,exclude_five_coal_provinces,.0650421784679572,.077186204,.40773502,422,.95233965
