outcome,timing,b,se,p,N,r2
energy5_int,contemporaneous,-.007139318041632,.012372366,.56836706,480,.95600611
energy5_int,lagged,-.0054885430381183,.011963051,.64980423,480,.95596844
coalterm_int,contemporaneous,-.012877661467054,.011628564,.27721512,480,.90234351
coalterm_int,lagged,-.0160958359761773,.012400938,.20453241,480,.90291911
industrial_so2,contemporaneous,.0378934383489082,3.6751733,.99184406,480,.87565398
industrial_so2,lagged,-.3797727359846054,3.6935186,.91881245,510,.87010854
coalshare5,contemporaneous,-.0144713499079026,.01120866,.20687111,480,.91585362
coalshare5,lagged,-.0217591909030399,.010854177,.054412525,480,.9174847
ln_co2,contemporaneous,-.024551112967527,.012145587,.05223855,496,.99307501
ln_co2,lagged,-.0220548063268875,.014376748,.13549444,527,.99261993
therm_cap_sh,contemporaneous,.0402772184256865,.0084646288,.000046065787,496,.94716895
therm_cap_sh,lagged,.0351318097938637,.0087993657,.00038975501,527,.94394422
therm_gen_sh,contemporaneous,.0351915189269215,.010953275,.0031328171,493,.96257079
therm_gen_sh,lagged,.03141009895128,.010882656,.0071598035,524,.95881897
windsolar_gen_sh,contemporaneous,.005735101470696,.0047178483,.23361029,309,.871418
windsolar_gen_sh,lagged,.0012072947965534,.005372697,.82372898,340,.88148999
