endowment,outcome,b_coal,se_coal,p_coal,b_endow,se_endow,p_endow,b_ddd,se_ddd,p_ddd,N,r2,year_min,year_max,province_n
wind,nontherm_gen_sh,-.1808247813136868,.10060635,.082701661,.0096197836,.040193852,.8125295,.0024169632,.084092744,.97726756,507,.94982111,2007,2023,30
wind,wind_gen_sh,.0237365125171936,.021701487,.28305665,.018746145,.0075810137,.019512065,-.0492802,.018052682,.010660868,330,.88888401,2013,2023,30
wind,windsolar_gen_sh,-.0307830028806771,.055738982,.58499461,-.0059404913,.02397128,.80602229,-.014127449,.046912447,.76545262,330,.88505054,2013,2023,30
wind,wind_cap_sh,.0571517019962501,.048089791,.24430278,-.0045895758,.015544014,.76989645,-.0059600626,.033234276,.85892195,288,.92791945,2014,2023,30
wind,solar_cap_sh,.17877972980531,.056606449,.0036906141,-.0015901056,.01888966,.93349284,.004939842,.039388683,.90106219,198,.81739676,2014,2023,30
wind,windsolar_cap_sh,.1692129274616353,.068978675,.020412346,.00044415414,.02477373,.98581874,-.003295545,.058575407,.95551926,288,.88006872,2014,2023,30
wind,clean_generation_lq,-1.386363067534711,1.0095125,.18018457,-.70049775,.51444352,.18379043,.5833686,1.0498923,.5827145,330,.54974073,2013,2023,30
wind,clean_generation_kwh_per_cny_gdp,-.0256886669287594,.018698437,.18001835,-.0058137286,.0074761976,.44308421,.0046151634,.015735332,.77138197,330,.8529976,2013,2023,30
wind,clean_capacity_addition_per_gdp,.0062606561697185,.028400565,.82707208,-.0030698951,.012432943,.80671269,.01979967,.027114021,.47110352,243,.52889067,2015,2023,30
solar,nontherm_gen_sh,-.0479560077013394,.10157984,.64038748,.011850794,.073127747,.87238556,.10655413,.15683803,.50227809,507,.95522892,2007,2023,30
solar,wind_gen_sh,.0232136838969099,.025150904,.36363563,.0078159617,.013864785,.57727325,-.017426779,.030041248,.56633085,330,.8860693,2013,2023,30
solar,windsolar_gen_sh,-.0190305018739365,.062953226,.76458406,.075889573,.0383696,.057516679,-.14147177,.084138781,.10342371,330,.89299572,2013,2023,30
solar,wind_cap_sh,-.0071487537455978,.055341162,.89811009,.083718911,.024664605,.0020101664,-.18539332,.071531117,.014797396,288,.93317693,2014,2023,30
solar,solar_cap_sh,.3400182736539819,.12114959,.0088552972,-.13806388,.079631075,.093575694,.30441827,.16741192,.079349332,198,.82462049,2014,2023,30
solar,windsolar_cap_sh,.1002913629514126,.095652215,.30306837,.079525575,.048058104,.10875379,-.1817838,.13595359,.19158384,288,.8830213,2014,2023,30
solar,clean_generation_lq,-2.298588914315538,.91400272,.017705981,2.0017824,.72996527,.010345247,-5.1638188,1.5047345,.0018232069,330,.5621146,2013,2023,30
solar,clean_generation_kwh_per_cny_gdp,-.0149474207480354,.021541404,.49327081,.015290349,.012410945,.22784348,-.017962456,.030004026,.55404204,330,.8616116,2013,2023,30
solar,clean_capacity_addition_per_gdp,-.0957172524656841,.076384902,.22018228,.05928231,.035032395,.10132439,-.18543227,.11284765,.11113995,243,.55658627,2015,2023,30
combined,nontherm_gen_sh,-.1331344673525034,.090996437,.15420216,.096119545,.075913243,.21552692,-.0927957,.15763098,.56062728,507,.95309359,2007,2023,30
combined,wind_gen_sh,.0202435719278578,.025313841,.43038464,.037000943,.020683469,.084080003,-.084553823,.043699764,.062812522,330,.88867736,2013,2023,30
combined,windsolar_gen_sh,-.0381189426338074,.061323319,.53905725,.091286391,.054784823,.10642625,-.1981474,.11447684,.094099194,330,.8873167,2013,2023,30
combined,wind_cap_sh,.0267663637092496,.058849055,.65261763,.089930281,.053776577,.105223,-.19037957,.111609,.098740563,288,.93014437,2014,2023,30
combined,solar_cap_sh,.1936694104713343,.060391441,.0032604297,-.053872045,.03980292,.18636191,.11069817,.080168664,.17788531,198,.81882387,2014,2023,30
combined,windsolar_cap_sh,.1431536341133647,.078951515,.080166414,.099594072,.071848229,.17626069,-.19282791,.15247138,.2160545,288,.88207144,2014,2023,30
combined,clean_generation_lq,-2.004773989320569,1.1679368,.096733987,.77468216,1.1617604,.51015973,-2.9414332,2.3445287,.21964358,330,.54789704,2013,2023,30
combined,clean_generation_kwh_per_cny_gdp,-.0265989059678975,.020477194,.20419367,.013811809,.018427053,.45956951,-.028355233,.037413336,.45463127,330,.84933299,2013,2023,30
combined,clean_capacity_addition_per_gdp,-.0060598469364043,.033515953,.85777843,.038220789,.036959045,.3096185,-.071635187,.071646668,.3256582,243,.52838212,2015,2023,30
