province,coalexp_pre,pre_nontherm_cap,early_wind_cap,early_wind_gen,resdep_pre,wind_resource_cf_0110,solar_resource_cf_0110,natural_wind_solar_endowment
Shanghai,.11088556,.0061406861,.024247393,.0039053748,,.215,.1682,.20187156
Yunnan,.48912847,.66976082,.085251592,.019642413,-.22529757,.1574,.2394,.82345641
Neimenggu,.52180588,.14123431,.23150747,.070617273,1.0548915,.22201368,.20567039,.87375242
Beijing,.18874608,.18306655,.014933123,.0076239635,-1.0044194,.1044,.1865,-.52315837
Jilin,.54710692,.33117908,.17183258,.058195036,-.2428263,.1435,.17839999,-.2932584
Sichuan,.43435901,.68016195,.0086130286,.0011369928,-.42454135,.098499998,.19239999,-.4820596
Tianjin,.23811111,.004125081,.020790245,.0091180643,-.3281872,.0964,.1797,-.707223
Ningxia,.42767593,.083689302,.20609185,.037143555,.80775094,.085500002,.214,-.25216445
Anhui,.59926385,.060830791,.025389949,.0041745021,.37423116,.105,.1734,-.72986478
Shandong,.46601468,.037128232,.07377746,.012680142,.037896726,.1551,.17839999,-.1861179
Shanxi,.58481169,.045265269,.089712366,.017103614,3.0557747,.2149,.197,.66756976
Shaanxi,.42883766,.093137525,.03690571,.0062440033,.51056504,.1177,.1908,-.33064702
Guangdong,.21152607,.25064623,.025628766,.0091504473,-1.0156927,.1742,.192,.21064366
Guangxi,.45079479,.5773285,.016859345,.0021438005,-.69505382,.1629,.1841,-.02172292
Xinjiang,.37978491,.25388163,.20267387,.034907691,.79339039,.1486,.1928,-.012842616
Jiangsu,.33575818,.072667487,.044507407,.0096748946,-.78417981,.1622,.17299999,-.20803212
Jiangxi,.46875831,.25301081,.027863156,.0016350241,-.35515893,.099299997,.1754,-.75010705
Hebei,.55722815,.10664274,.17432646,.051435411,.02732514,.23289999,.1877,.6831423
Henan,.57192022,.073697016,.011666514,.0021523067,.37657809,.071999997,.1732,-1.0379014
Zhejiang,.25081038,.23303685,.012302245,.0024717075,-.92774153,.16069999,.17640001,-.1667992
Hainan,.10162773,.21140158,.041610736,.020669732,-.80065352,.152,.21600001,.39445043
Hubei,.55081111,.64945519,.021040963,.0037572286,-.67892778,.1018,.1682,-.84367192
Hunan,.5869785,.43095005,.037060235,.0071404558,-.59271169,.1024,.16419999,-.90293872
Gansu,.40959942,.3967272,.25825736,.067326277,-.038005769,.1168,.21430001,.041790795
Fujian,.39136496,.36247665,.03729967,.015856268,-.77986461,.25619999,.19310001,.98583847
Xizang,,.72438353,.0044422364,.0025183926,-.51096892,.29120001,.3087,3.1820753
Guizhou,.64359909,.44021529,.065698728,.0083109224,.25043377,.13420001,.18619999,-.25277877
Liaoning,.3165648,.1326244,.14799884,.041208223,.056173544,.1362,.1814,-.31207657
Chongqing,.54254729,.416655,.0097619044,.0036150529,-.35733625,.169,.1514,-.49519199
Qinghai,.272744,.81289965,.023118356,.0043143216,1.0068947,.085199997,.26030001,.49522406
Heilongjiang,.35604173,.1281912,.19106343,.057222512,.69402921,.1797,.1727,-.051258396
