block,outcome,term,b,se,p,N,r2
stable_output,abs_gen_resid,L.thermal_generation_share,-.0373545933943374,.030573323,.23129603,524,.25923005
stable_output,abs_gen_resid,Post2012_x_PreThermal,-.0014917834575576,.0038641025,.70217514,527,.2554698
stable_output,abs_gdp_resid,L.thermal_generation_share,.0056180275753612,.0080165351,.48882511,524,.31225386
stable_output,abs_gdp_resid,Post2012_x_PreThermal,-.0001197423888435,.0010946702,.91362417,527,.31175441
stable_output,abs_sec_resid,L.thermal_generation_share,.0053561224475314,.015307647,.72885948,524,.31741253
stable_output,abs_sec_resid,Post2012_x_PreThermal,-.0004646771732618,.0026751386,.86326641,527,.31565863
thermal_tide,dln_thermcap,NationalThermalWave_x_PreThermal,-.0300436980903546,.032385014,.36096546,527,.14764741
thermal_tide,dln_thermcap,NationalDemandWave_x_PreThermal,-.0099441954205981,.0079828873,.22251993,527,.12550674
thermal_tide,dln_thermgen,NationalThermalWave_x_PreThermal,-.0356434488318496,.047588482,.45969412,527,.14524329
thermal_tide,dln_thermgen,NationalDemandWave_x_PreThermal,.0024238320102609,.011516432,.83472598,527,.12070277
thermal_tide,thermal_cap_generation_gap,NationalThermalWave_x_PreThermal,.0055997507414949,.016044453,.72951609,527,.090726443
thermal_tide,thermal_cap_generation_gap,NationalDemandWave_x_PreThermal,-.012368027430859,.018034665,.49811026,527,.092138968
thermal_tide,F1.dln_thermal_utilization,dln_thermal_capacity,.5310438166987698,.056591757,1.9699768e-10,496,.4397026
advantage_conversion,windsolar_cap_sh,post16_pretherm_z,.0035180059469304,.012571724,.78152472,298,.88136727
advantage_conversion,windsolar_cap_sh,post16_endow,-.0060847214107507,.019832358,.76110917,298,.88136727
advantage_conversion,windsolar_cap_sh,ddd_pretherm_endow,-.0021141913389934,.010513833,.84198803,298,.88136727
advantage_conversion,windsolar_gen_sh,post16_pretherm_z,-.0118773577244489,.010743897,.277731,340,.88630128
advantage_conversion,windsolar_gen_sh,post16_endow,-.0074690163165847,.0082501471,.37250999,340,.88630128
advantage_conversion,windsolar_gen_sh,ddd_pretherm_endow,-.0051819165313969,.0045985538,.26873562,340,.88630128
advantage_conversion,windsolar_cap_gen_gap,post16_pretherm_z,.0172270910714655,.0090735042,.067271478,298,.78271145
advantage_conversion,windsolar_cap_gen_gap,post16_endow,-.0058936658466104,.0160171,.71548599,298,.78271145
advantage_conversion,windsolar_cap_gen_gap,ddd_pretherm_endow,-.0007550473459126,.0074733971,.92019778,298,.78271145
advantage_conversion,clean_capacity_addition_per_gdp,post16_pretherm_z,-.0074831670885348,.0058893361,.21362588,252,.53562778
advantage_conversion,clean_capacity_addition_per_gdp,post16_endow,.0015199104386715,.0077120154,.84509146,252,.53562778
advantage_conversion,clean_capacity_addition_per_gdp,ddd_pretherm_endow,-.00067949906866,.0032456105,.83558291,252,.53562778
advantage_conversion,clean_generation_kwh_per_cny_gdp,post16_pretherm_z,-.0023495050428005,.0037205887,.5325045,340,.83627599
advantage_conversion,clean_generation_kwh_per_cny_gdp,post16_endow,-.0010936540523539,.00266122,.68402296,340,.83627599
advantage_conversion,clean_generation_kwh_per_cny_gdp,ddd_pretherm_endow,.0015485286340111,.0013132787,.24761295,340,.83627599
advantage_conversion,therm_cap_sh,post16_pretherm_z,-.0444552484020257,.0088338079,.000021259959,341,.9777959
advantage_conversion,therm_cap_sh,post16_endow,-.0052236892894666,.014797824,.72655392,341,.9777959
advantage_conversion,therm_cap_sh,ddd_pretherm_endow,.0196929929178215,.0069755693,.0083652586,341,.9777959
advantage_conversion,therm_gen_sh,post16_pretherm_z,-.0220070309061621,.0097930124,.032136247,341,.97425407
advantage_conversion,therm_gen_sh,post16_endow,-.0283028726097106,.018104341,.12846604,341,.97425407
advantage_conversion,therm_gen_sh,ddd_pretherm_endow,.0006375688085778,.0075386586,.93316257,341,.97425407
conversion_robustness,windsolar_cap_sh,thermcap_combined,-.004262793552026,.013688915,.75764668,298,.88148969
conversion_robustness,windsolar_gen_sh,thermcap_combined,-.0099771585033022,.0056756274,.088965937,340,.88651723
conversion_robustness,windsolar_cap_gen_gap,thermcap_combined,.0026990709727826,.0098228222,.7853722,298,.78254712
conversion_robustness,therm_cap_sh,thermcap_combined,.0204793693555596,.0086730216,.024903467,341,.97863835
conversion_robustness,therm_gen_sh,thermcap_combined,.0019110925975003,.0098455045,.84739965,341,.97421753
conversion_robustness,windsolar_cap_sh,thermgen_wind,.0041940067586556,.0073071257,.57027268,298,.88184315
conversion_robustness,windsolar_gen_sh,thermgen_wind,.0024117390593306,.0059660072,.68889886,340,.88779539
conversion_robustness,windsolar_cap_gen_gap,thermgen_wind,.0017436423597152,.0044642678,.69886941,298,.78279036
conversion_robustness,therm_cap_sh,thermgen_wind,.016507525797767,.0057440666,.0073831445,341,.97692341
conversion_robustness,therm_gen_sh,thermgen_wind,.0056717211043951,.0045852265,.22569937,341,.97344524
conversion_robustness,windsolar_cap_sh,thermgen_solar,-.0103356479841693,.0092816781,.27431345,298,.88246566
conversion_robustness,windsolar_gen_sh,thermgen_solar,-.0066343600265804,.006192503,.29255414,340,.88918853
conversion_robustness,windsolar_cap_gen_gap,thermgen_solar,-.0121147546187407,.0085195601,.16534242,298,.78807008
conversion_robustness,therm_cap_sh,thermgen_solar,.0137812574709392,.0079345796,.092671193,341,.97772068
conversion_robustness,therm_gen_sh,thermgen_solar,-.009105349262724,.008625228,.2995491,341,.97558349
fiscal_lockin,windsolar_cap_sh,post16_fiscal,-.005748096579454,.007308234,.43773016,298,.88724917
fiscal_lockin,windsolar_cap_sh,post16_endow,.0141205986859639,.010295133,.18036614,298,.88724917
fiscal_lockin,windsolar_cap_sh,ddd_fiscal_endow,.045438294340392,.010133147,.000099522935,298,.88724917
fiscal_lockin,windsolar_gen_sh,post16_fiscal,.0039511317342916,.0044222213,.3787162,340,.88191825
fiscal_lockin,windsolar_gen_sh,post16_endow,.0005498678369656,.0062262504,.93021369,340,.88191825
fiscal_lockin,windsolar_gen_sh,ddd_fiscal_endow,.0001044729275401,.0094287619,.99123281,340,.88191825
fiscal_lockin,windsolar_cap_gen_gap,post16_fiscal,-.0071398636322368,.0076105609,.35565838,298,.78348261
fiscal_lockin,windsolar_cap_gen_gap,post16_endow,.0029554326569423,.010096558,.77175367,298,.78348261
fiscal_lockin,windsolar_cap_gen_gap,ddd_fiscal_endow,.0328386294535896,.0097611835,.0021132121,298,.78348261
fiscal_lockin,clean_generation_kwh_per_cny_gdp,post16_fiscal,.0047501132567011,.0018216214,.014070716,340,.84154081
fiscal_lockin,clean_generation_kwh_per_cny_gdp,post16_endow,-.0035085043732674,.0025945837,.18640441,340,.84154081
fiscal_lockin,clean_generation_kwh_per_cny_gdp,ddd_fiscal_endow,-.0009591108616819,.0032364174,.76900506,340,.84154081
fiscal_lockin,therm_cap_sh,post16_fiscal,-.0041947174969706,.011691975,.72228062,341,.9716652
fiscal_lockin,therm_cap_sh,post16_endow,-.0107361947387041,.012114885,.38255948,341,.9716652
fiscal_lockin,therm_cap_sh,ddd_fiscal_endow,.0114557198923631,.014611274,.43916771,341,.9716652
fiscal_lockin,therm_gen_sh,post16_fiscal,.0041265497612374,.010304472,.69165391,341,.97366226
fiscal_lockin,therm_gen_sh,post16_endow,-.0182710890522237,.012741303,.16191277,341,.97366226
fiscal_lockin,therm_gen_sh,ddd_fiscal_endow,.0163159656361343,.014377537,.26543543,341,.97366226
soe_lockin,windsolar_cap_sh,post16_soe,-.0145410109670569,.0083159655,.090946004,288,.88086987
soe_lockin,windsolar_cap_sh,post16_endow,-.0098049246492662,.011026944,.38122377,288,.88086987
soe_lockin,windsolar_cap_sh,ddd_soe_endow,.0120093921407623,.010288642,.2526187,288,.88086987
soe_lockin,windsolar_gen_sh,post16_soe,.0032551530523577,.0062374244,.60572118,329,.87965095
soe_lockin,windsolar_gen_sh,post16_endow,-.0041096380467789,.0059698592,.49667272,329,.87965095
soe_lockin,windsolar_gen_sh,ddd_soe_endow,.0122938508661214,.0064913938,.068256758,329,.87965095
soe_lockin,windsolar_cap_gen_gap,post16_soe,-.018691295073424,.0084074615,.034156609,288,.78346348
soe_lockin,windsolar_cap_gen_gap,post16_endow,-.0118563146636806,.011312201,.30324966,288,.78346348
soe_lockin,windsolar_cap_gen_gap,ddd_soe_endow,.0026355135407889,.0084513277,.75738853,288,.78346348
soe_lockin,clean_generation_kwh_per_cny_gdp,post16_soe,.003935743085343,.0022362052,.088951908,329,.84055704
soe_lockin,clean_generation_kwh_per_cny_gdp,post16_endow,-.001478178080192,.0020065764,.46724313,329,.84055704
soe_lockin,clean_generation_kwh_per_cny_gdp,ddd_soe_endow,-.0022956324900088,.0021127772,.28618607,329,.84055704
soe_lockin,therm_cap_sh,post16_soe,.0322287086659229,.01075103,.0055303969,330,.97474909
soe_lockin,therm_cap_sh,post16_endow,-.0043891194769038,.01245695,.7271288,330,.97474909
soe_lockin,therm_cap_sh,ddd_soe_endow,-.0239457741737635,.01194143,.054346513,330,.97474909
soe_lockin,therm_gen_sh,post16_soe,.0261152614362589,.0083420705,.0039599361,330,.97487879
soe_lockin,therm_gen_sh,post16_endow,-.0280541129133773,.014282535,.059152577,330,.97487879
soe_lockin,therm_gen_sh,ddd_soe_endow,.0132959719191647,.011260615,.24729596,330,.97487879
