outcome,horizon_years,sample_start_year,controls,model,threshold_share,threshold_percent,threshold_term_coefficient,clustered_standard_error,normal_approximation_p,sse,observations,provinces,below_observations,above_observations,sse_improvement_over_worst_percent
wind_gen_sh,1,2013,False,jump,0.8354,83.54,0.010139558576377019,0.005910408448512111,0.08624575794274544,0.0942500914858211,309,31,212,97,1.3888250619925433
wind_gen_sh,2,2013,False,jump,0.8959,89.59,-0.014168199207229514,0.005943891323865977,0.017141562706302113,0.11158752198238417,278,31,218,60,2.0537831456435085
wind_gen_sh,3,2013,False,jump,0.8933,89.33,-0.020513366774673338,0.007955487322271367,0.009922514755919756,0.10556257514654915,247,31,190,57,3.8659975491905785
wind_gen_sh,1,2014,False,jump,0.8354,83.54,0.01474516053954366,0.008715325499712781,0.09067157746300736,0.0921525451263817,279,31,197,82,2.37791150540536
wind_gen_sh,2,2014,False,jump,0.8947,89.47,-0.016174153108562163,0.00653898216549314,0.01337979080364375,0.10786846561739735,248,31,198,50,2.374487456647641
wind_gen_sh,3,2014,False,jump,0.8926,89.25999999999999,-0.020163952211436107,0.008866261693548726,0.022951931755905316,0.06291559568721676,217,31,169,48,5.375958751584737
wind_gen_sh,1,2015,False,jump,0.8384,83.84,0.017002185273699,0.009478074939636295,0.07283811539009978,0.09048245346001695,248,31,179,69,2.940525182536489
wind_gen_sh,2,2015,False,jump,0.5248,52.480000000000004,0.023548742158410105,0.010599766700780984,0.026308432630222117,0.06873267123216963,217,31,45,172,3.4720024606679365
wind_gen_sh,3,2015,False,jump,0.9028,90.28,-0.023504340163008813,0.011036052779756065,0.033189962683539,0.05556980124260892,186,31,152,34,5.69402281206268
wind_gen_sh,1,2016,False,jump,0.5756,57.56,0.024974648356305244,0.021347696821756027,0.24204163160835274,0.05168883048689005,217,31,56,161,4.241702592617433
wind_gen_sh,2,2016,False,jump,0.8378,83.78,0.021913864973550332,0.010649285741998622,0.03961145735249741,0.06036362658487607,186,31,133,53,4.927170971568412
wind_gen_sh,3,2016,False,jump,0.8026,80.25999999999999,0.041461951075132335,0.023284753230802615,0.07496996037755183,0.047487675199503795,155,31,92,63,6.560360530386621
wind_gen_sh,1,2013,True,jump,0.8354,83.54,0.013030640691384538,0.006250200680537384,0.03708422884268184,0.0898323479573288,309,31,212,97,2.264430598939765
wind_gen_sh,2,2013,True,jump,0.8923,89.23,-0.014167253154636577,0.006388312624710925,0.026576445113258643,0.1015128630992316,278,31,217,61,2.063987638107241
wind_gen_sh,3,2013,True,jump,0.7758,77.58,0.02383782642590183,0.007238703302976182,0.0009908666486746658,0.09284916732462294,247,31,127,120,4.920598600348726
wind_gen_sh,1,2014,True,jump,0.8354,83.54,0.01569249726500014,0.008933456828157849,0.0789862611886835,0.08810580045304031,279,31,197,82,2.7319185386210862
wind_gen_sh,2,2014,True,jump,0.8947,89.47,-0.017337972474132407,0.0069574214891564385,0.012702202166068537,0.09525230841035265,248,31,198,50,2.857468473301169
wind_gen_sh,3,2014,True,jump,0.8926,89.25999999999999,-0.023471864077406798,0.009021379413659414,0.009273474381735603,0.05752758536018615,217,31,169,48,7.164543100077273
wind_gen_sh,1,2015,True,jump,0.8349,83.49,0.017556619050573704,0.010264044595941359,0.08717397961001165,0.08496094861374899,248,31,177,71,3.225431943871737
wind_gen_sh,2,2015,True,jump,0.9045,90.45,-0.018251679062042704,0.008502075889779647,0.03181461725582703,0.0637862023611975,217,31,180,37,3.4017728452356257
wind_gen_sh,3,2015,True,jump,0.8954,89.53999999999999,-0.024761273029855643,0.009652163411311074,0.01030688332476172,0.05037403926817016,186,31,147,39,6.9408283881700195
wind_gen_sh,1,2016,True,jump,0.5756,57.56,0.024189555866582127,0.019148371689803854,0.2064923070494511,0.046104145824023494,217,31,56,161,4.420453230249249
wind_gen_sh,2,2016,True,jump,0.8378,83.78,0.01946609296140401,0.01124502253045029,0.08343655558796591,0.05416655750927128,186,31,133,53,4.233596478105626
wind_gen_sh,3,2016,True,jump,0.8026,80.25999999999999,0.0412686695105496,0.021026991890279265,0.04968661401578077,0.041150984292078974,155,31,92,63,7.224187727172564
wind_gen_sh,1,2013,False,kink,0.649,64.9,-0.025573043285499548,0.04406591223944312,0.5616879319388193,0.09550456396434545,309,31,112,197,0.07631909096214413
wind_gen_sh,2,2013,False,kink,0.8741,87.41,-0.1627864693973952,0.09756783758641924,0.09522762763773387,0.11263551274630362,278,31,207,71,1.1194049238940942
wind_gen_sh,3,2013,False,kink,0.8199,81.99,-0.2242388737772428,0.11260937883715638,0.04644809334250552,0.1066183067317984,247,31,148,99,2.904947575679425
