block,outcome,term,b,se,p,N,r2
post2012_project_margin,ihs_coal_new,Post2012_x_PreThermal,-.168880027116432,.41790059,.68899447,527,.55337697
post2012_project_margin,ihs_ws_new,Post2012_x_PreThermal,-.6729578897151947,.32993928,.050277442,527,.75294513
post2012_project_margin,coal_new_share,Post2012_x_PreThermal,.0020482512214143,.043641608,.96287733,503,.57531941
post2012_project_margin,coal_net_new_mw,Post2012_x_PreThermal,-154.0010008346143,160.49452,.34495661,527,.47431043
post2012_project_margin,coal_stock_share_gem,Post2012_x_PreThermal,.0505205631200201,.035272282,.16239548,524,.91736042
post2012_project_margin,ihs_coal_retired,Post2012_x_PreThermal,-.3820104542725017,.31057346,.22824971,527,.37358156
project_path_persistence,ihs_coal_new,L.outcome,.160780012245984,.074350975,.038683258,527,.56429327
project_path_persistence,ihs_ws_new,L.outcome,.3160137483014389,.062799677,.0000212784,527,.77041805
project_path_persistence,coal_new_share,L.outcome,.1232491935321317,.071529694,.095174149,491,.57695967
natural_endowment_ddd,ihs_ws_new,post16_pretherm_z,-.1519036288572712,.13410158,.26629147,341,.76013643
natural_endowment_ddd,ihs_ws_new,post16_endow,-.4904348769092121,.17007105,.0072051096,341,.76013643
natural_endowment_ddd,ihs_ws_new,ddd_pretherm_endow,-.3210556469408848,.075493284,.0001898272,341,.76013643
natural_endowment_ddd,coal_new_share,post16_pretherm_z,-.0298617465315765,.035213523,.40314272,333,.41410345
natural_endowment_ddd,coal_new_share,post16_endow,.0851769952446612,.059295841,.1612145,333,.41410345
natural_endowment_ddd,coal_new_share,ddd_pretherm_endow,.028139392317605,.024365945,.25726175,333,.41410345
natural_endowment_ddd,coal_stock_share_gem,post16_pretherm_z,.0261792838663841,.0092155486,.008010502,341,.97110778
natural_endowment_ddd,coal_stock_share_gem,post16_endow,.0238789844946016,.015893852,.143447,341,.97110778
natural_endowment_ddd,coal_stock_share_gem,ddd_pretherm_endow,-.014753666735052,.006060164,.021073787,341,.97110778
