block,outcome,term,b,se,p,N,r2
agenda_change,gwr_gf_chg,party_turnover,.0223408339839118,.032907255,.50240362,372,.058966201
agenda_change,gwr_gf_chg,government_turnover,-.0171330831618685,.04240426,.68904811,372,.058966201
agenda_change,gwr_fs_chg,party_turnover,.2293708342402981,.29846781,.4482013,372,.12627211
agenda_change,gwr_fs_chg,government_turnover,-.0661048432052999,.26422712,.80415207,372,.12627211
agenda_change,gwr_cr_chg,party_turnover,.0307478444294111,.070429973,.66554695,372,.042841591
agenda_change,gwr_cr_chg,government_turnover,.0130994210810547,.044433556,.77017015,372,.042841591
agenda_change,gwr_pc_chg,party_turnover,.2856374949861178,.34522074,.41454071,372,.17134325
agenda_change,gwr_pc_chg,government_turnover,.2669253513200672,.22115277,.23687372,372,.17134325
agenda_change,gwr_re_chg,party_turnover,.0231542604051472,.25464317,.92815399,372,.14654949
agenda_change,gwr_re_chg,government_turnover,.159950945145574,.21644583,.46565706,372,.14654949
agenda_change,gwr_ga_chg,party_turnover,-.1613274287352934,.18350782,.38631785,372,.06714619
agenda_change,gwr_ga_chg,government_turnover,.0161300452009646,.15009248,.91513371,372,.06714619
persistence_moderation,gwr_green_finance_per10k,L.gwr_green_finance_per10k,-.1740794024117095,.12393179,.17039856,372,.29134214
persistence_moderation,gwr_green_finance_per10k,any_top_leader_turnover,-.0101652556261144,.014439484,.48686776,372,.29134214
persistence_moderation,gwr_green_finance_per10k,turnover_lag_green_finance,.160885694305596,.16736414,.34409022,372,.29134214
persistence_moderation,gwr_fossil_security_per10k,L.gwr_fossil_security_per10k,-.0265666480417396,.095931746,.78373092,372,.82525384
persistence_moderation,gwr_fossil_security_per10k,any_top_leader_turnover,-.2048986021781978,.14041793,.15490086,372,.82525384
persistence_moderation,gwr_fossil_security_per10k,turnover_lag_fossil_security,.1418961261230726,.031419199,.00009096205,372,.82525384
persistence_moderation,gwr_coal_retrofit_per10k,L.gwr_coal_retrofit_per10k,.3441683788972348,.096932627,.0012908042,372,.63577539
persistence_moderation,gwr_coal_retrofit_per10k,any_top_leader_turnover,.0201576352479154,.037725925,.59705949,372,.63577539
persistence_moderation,gwr_coal_retrofit_per10k,turnover_lag_coal_retrofit,.2139249123764262,.042135835,.000018742257,372,.63577539
persistence_moderation,gwr_pollution_control_per10k,L.gwr_pollution_control_per10k,.0310979095209404,.078288518,.69401598,372,.58526039
persistence_moderation,gwr_pollution_control_per10k,any_top_leader_turnover,.0255538441289963,.24378671,.91721594,372,.58526039
persistence_moderation,gwr_pollution_control_per10k,turnover_lag_pollution_control,.0812859983251307,.07276807,.27283719,372,.58526039
persistence_moderation,gwr_renewable_per10k,L.gwr_renewable_per10k,.2419459865738752,.084370114,.0074964957,372,.51554167
persistence_moderation,gwr_renewable_per10k,any_top_leader_turnover,.111928761335843,.22457339,.62183237,372,.51554167
persistence_moderation,gwr_renewable_per10k,turnover_lag_renewable,-.0051320546011689,.11083012,.96337354,372,.51554167
persistence_moderation,gwr_grid_absorption_per10k,L.gwr_grid_absorption_per10k,.1395256003226744,.095276132,.15347686,372,.56213939
persistence_moderation,gwr_grid_absorption_per10k,any_top_leader_turnover,-.219183471275097,.15434809,.16589983,372,.56213939
persistence_moderation,gwr_grid_absorption_per10k,turnover_lag_grid_absorption,.0285750504477124,.11905853,.81195617,372,.56213939
