block,outcome,term,b,se,p,N,r2
attention_persistence,gwr_green_finance_per10k,L.attention,.0900212296807402,.087604798,.31236026,527,.38007677
attention_persistence,gwr_fossil_security_per10k,L.attention,.329661329220529,.039876603,3.1522074e-09,527,.78696573
attention_persistence,gwr_coal_retrofit_per10k,L.attention,.3974324638742305,.092193447,.00016149406,527,.55670643
attention_persistence,gwr_pollution_control_per10k,L.attention,.1628646049321121,.037458889,.00014567953,527,.49245068
attention_persistence,gwr_renewable_per10k,L.attention,.3420005979899415,.048297089,7.1222296e-08,527,.59817964
attention_persistence,gwr_grid_absorption_per10k,L.attention,.2531660396388167,.043023791,1.9273102e-06,527,.53224659
post2012_thermal_agenda,gwr_green_finance_per10k,Post2012_x_PreThermal,.0110684720330294,.028655848,.70203358,527,.37536177
post2012_thermal_agenda,gwr_fossil_security_per10k,Post2012_x_PreThermal,-.5507534363191214,.27177241,.051681109,527,.7633239
post2012_thermal_agenda,gwr_coal_retrofit_per10k,Post2012_x_PreThermal,.0545598152372926,.041751802,.20122147,527,.47859889
post2012_thermal_agenda,gwr_pollution_control_per10k,Post2012_x_PreThermal,.5062727918303468,.17338581,.0065857032,527,.48715386
post2012_thermal_agenda,gwr_renewable_per10k,Post2012_x_PreThermal,-.2620052243931733,.22503026,.25347391,527,.54853684
post2012_thermal_agenda,gwr_grid_absorption_per10k,Post2012_x_PreThermal,-.3511003087448815,.14622968,.022753485,527,.50894982
post2012_thermal_agenda,gwr_clean_orientation_z,Post2012_x_PreThermal,-.0358741748544196,.10423417,.73312002,527,.60183471
event_pretrend,gwr_fossil_security_per10k,joint_pretrend_p,.7845503211326261,,.78455031,527,.76657206
event_pretrend,gwr_renewable_per10k,joint_pretrend_p,.1606176383991283,,.16061763,527,.561122
event_pretrend,gwr_grid_absorption_per10k,joint_pretrend_p,.0478535405369117,,.047853541,527,.52593702
attention_outcome_association,re_cons_sh,L.gwr_renewable_per10k,.0002402730736955,.0015948367,.88125485,279,.97495264
attention_outcome_association,re_cons_sh,L.gwr_grid_absorption_per10k,.0047094701955007,.0022758644,.047225788,279,.97495264
attention_outcome_association,re_cons_sh,L.gwr_fossil_security_per10k,-.004156836032196,.0012066412,.0017085525,279,.97495264
attention_outcome_association,nonhydro_re_cons_sh,L.gwr_renewable_per10k,-.0003528786812252,.00082932442,.67350823,279,.93518192
attention_outcome_association,nonhydro_re_cons_sh,L.gwr_grid_absorption_per10k,.0021274042731719,.0014943698,.16487655,279,.93518192
attention_outcome_association,nonhydro_re_cons_sh,L.gwr_fossil_security_per10k,-.0015173034797684,.00073677773,.048228752,279,.93518192
attention_outcome_association,windsolar_gen_sh,L.gwr_renewable_per10k,.0014456069146412,.001786956,.42489782,279,.89910436
attention_outcome_association,windsolar_gen_sh,L.gwr_grid_absorption_per10k,.0008640760257468,.0014002371,.54182923,279,.89910436
attention_outcome_association,windsolar_gen_sh,L.gwr_fossil_security_per10k,-.0031526987029332,.0017022769,.073882729,279,.89910436
