block,outcome,specification,term,b,se,p,N,r2,year_min,year_max
bank_channel,coalshare5,ddd_with_lower_orders,ddd_bank,.0325888213980651,.01258617,.014885524,480,.92883515,2007,2022
bank_channel,coalterm_int,ddd_with_lower_orders,ddd_bank,.0002959323433447,.011090892,.97889578,480,.92636526,2007,2022
bank_channel,energy5_int,ddd_with_lower_orders,ddd_bank,-.0242298718007862,.015664086,.13274583,480,.96149969,2007,2022
bank_channel,industrial_so2,ddd_with_lower_orders,ddd_bank,1.792553255397639,3.1026828,.56789684,510,.88323718,2007,2023
bank_channel,industrial_solid_waste,ddd_with_lower_orders,ddd_bank,5.081907314258051,2.7272038,.072559647,510,.78942144,2007,2023
bank_channel,nox_total,ddd_with_lower_orders,ddd_bank,3.59210876300334,2.9625554,.23582281,336,.92353308,2011,2023
horse_race,coalshare5,baseline,did_coal,-.2495047578598652,.075376555,.0025007611,480,.92243576,2007,2022
horse_race,coalshare5,combined,did_coal,-.3033019248372295,.12980321,.027771596,416,.91175288,2007,2022
horse_race,coalshare5,combined_matched_base,did_coal,-.3135176581291025,.11389396,.010845256,416,.90679753,2007,2022
horse_race,coalshare5,dated_policies,did_coal,-.3001771586112451,.1124054,.013123064,416,.90763772,2007,2022
horse_race,coalshare5,dated_policies_matched_base,did_coal,-.3135176581291025,.11389396,.010845256,416,.90679753,2007,2022
horse_race,coalshare5,environmental,did_coal,-.2574505675279665,.078924276,.0028309473,480,.92953479,2007,2022
horse_race,coalshare5,environmental_matched_base,did_coal,-.2495047578598652,.075376555,.0025007611,480,.92243576,2007,2022
horse_race,coalshare5,finance,did_coal,-.278379314686044,.077158213,.0011465837,480,.9227277,2007,2022
horse_race,coalshare5,finance_matched_base,did_coal,-.2495047578598652,.075376555,.0025007611,480,.92243576,2007,2022
horse_race,coalshare5,industrial,did_coal,-.2763760113118672,.084021069,.0027131634,464,.93472761,2007,2022
horse_race,coalshare5,industrial_matched_base,did_coal,-.23387634227736,.072350606,.0031355268,464,.93244553,2007,2022
horse_race,coalshare5,resource,did_coal,-.3575473871345886,.11609048,.0049794093,416,.91081327,2007,2022
horse_race,coalshare5,resource_matched_base,did_coal,-.3135176581291025,.11389396,.010845256,416,.90679753,2007,2022
horse_race,coalterm_int,baseline,did_coal,-.4261854214009543,.077600867,6.4684159e-06,480,.9237228,2007,2022
horse_race,coalterm_int,combined,did_coal,-.6226599227435416,.13152528,.00007421257,416,.93077797,2007,2022
horse_race,coalterm_int,combined_matched_base,did_coal,-.518575249489767,.11821477,.00018264307,416,.92045873,2007,2022
horse_race,coalterm_int,dated_policies,did_coal,-.4596715276448489,.12299673,.00096966786,416,.92271495,2007,2022
horse_race,coalterm_int,dated_policies_matched_base,did_coal,-.518575249489767,.11821477,.00018264307,416,.92045873,2007,2022
horse_race,coalterm_int,environmental,did_coal,-.3731867794059809,.073508449,.000020490559,480,.9268837,2007,2022
horse_race,coalterm_int,environmental_matched_base,did_coal,-.4261854214009543,.077600867,6.4684159e-06,480,.9237228,2007,2022
horse_race,coalterm_int,finance,did_coal,-.5139945614458556,.098797612,.000014447897,480,.92636478,2007,2022
horse_race,coalterm_int,finance_matched_base,did_coal,-.4261854214009543,.077600867,6.4684159e-06,480,.9237228,2007,2022
horse_race,coalterm_int,industrial,did_coal,-.4513114001148564,.095282309,.000056984612,464,.92874122,2007,2022
horse_race,coalterm_int,industrial_matched_base,did_coal,-.4142918223621088,.07604108,8.1556427e-06,464,.92710406,2007,2022
horse_race,coalterm_int,resource,did_coal,-.5349584364478996,.11268741,.000071728384,416,.92088795,2007,2022
horse_race,coalterm_int,resource_matched_base,did_coal,-.518575249489767,.11821477,.00018264307,416,.92045873,2007,2022
horse_race,energy5_int,baseline,did_coal,-.2894549784361844,.11898923,.021391962,480,.95922452,2007,2022
horse_race,energy5_int,combined,did_coal,-.6047983889366291,.18702777,.0034206859,416,.96579266,2007,2022
horse_race,energy5_int,combined_matched_base,did_coal,-.3906089250000764,.17004453,.030263131,416,.96008253,2007,2022
horse_race,energy5_int,dated_policies,did_coal,-.3429563654517133,.17360662,.059351537,416,.96054792,2007,2022
horse_race,energy5_int,dated_policies_matched_base,did_coal,-.3906089250000764,.17004453,.030263131,416,.96008253,2007,2022
horse_race,energy5_int,environmental,did_coal,-.2263859518524935,.10890333,.046590693,480,.9644798,2007,2022
horse_race,energy5_int,environmental_matched_base,did_coal,-.2894549784361844,.11898923,.021391962,480,.95922452,2007,2022
horse_race,energy5_int,finance,did_coal,-.3943863617109564,.16629784,.024568951,480,.96043754,2007,2022
