outcome,specification,term,b,se,p,N,r2,year_min,year_max
coalshare5,1_baseline,did_coal,-.2495047578598652,.075376555,.0025007611,480,.92243576,2007,2022
coalshare5,2_province_linear_trend,did_coal,.0896917586754585,.068363197,.19981498,480,.96915984,2007,2022
coalshare5,3_treatintensity_x_year,did_coal,.0509261814032183,.075341322,.50443423,480,.93455791,2007,2022
coalshare5,4_baseline_thru2015,did_coal,-.0621893873271322,.066014014,.35394236,270,.95210207,2007,2015
coalshare5,5_province_trend_thru2015,did_coal,-.0753984088074937,.049301367,.1370167,270,.98120975,2007,2015
coalshare5,6_treatintensity_x_year_thru2015,did_coal,-.0557225426331628,.045361608,.22917029,270,.95210612,2007,2015
coalshare5,7_baseline_thru2012,did_coal,-.0230567735174953,.046738476,.62550551,180,.97184533,2007,2012
coalshare5,8_province_trend_thru2012,did_coal,-.0457124209290569,.042137086,.28692466,180,.99020749,2007,2012
coalshare5,9_treatintensity_x_year_thru2012,did_coal,-.0313161436061838,.039793674,.43768802,180,.97186208,2007,2012
coalterm_int,1_baseline,did_coal,-.4261854214009543,.077600867,6.4684159e-06,480,.9237228,2007,2022
coalterm_int,2_province_linear_trend,did_coal,-.0573985377516496,.042972926,.19203931,480,.97413731,2007,2022
coalterm_int,3_treatintensity_x_year,did_coal,-.0845038445195678,.039604302,.041452255,480,.93906564,2007,2022
coalterm_int,4_baseline_thru2015,did_coal,-.3061363876778894,.048298541,6.3217277e-07,270,.95913988,2007,2015
coalterm_int,5_province_trend_thru2015,did_coal,-.016937993402091,.061446209,.78476733,270,.97907066,2007,2015
coalterm_int,6_treatintensity_x_year_thru2015,did_coal,-.0194189360910668,.053691592,.72021651,270,.96579289,2007,2015
coalterm_int,7_baseline_thru2012,did_coal,-.1742621873634973,.040149797,.00015772511,180,.96153194,2007,2012
coalterm_int,8_province_trend_thru2012,did_coal,.018132167404342,.061851528,.77149028,180,.98615247,2007,2012
coalterm_int,9_treatintensity_x_year_thru2012,did_coal,.0040519398154626,.054532629,.94127941,180,.96744877,2007,2012
energy5_int,1_baseline,did_coal,-.2894549784361844,.11898923,.021391962,480,.95922452,2007,2022
energy5_int,2_province_linear_trend,did_coal,-.1225069484724578,.062917784,.061265714,480,.98465395,2007,2022
energy5_int,3_treatintensity_x_year,did_coal,-.1133058212176957,.048052691,.025333853,480,.96053559,2007,2022
energy5_int,4_baseline_thru2015,did_coal,-.3365409861609814,.070356727,.000046309422,270,.97286439,2007,2015
energy5_int,5_province_trend_thru2015,did_coal,.0138770150645192,.073630676,.85182261,270,.98707563,2007,2015
energy5_int,6_treatintensity_x_year_thru2015,did_coal,-.0119464417829754,.068584032,.86292887,270,.97581071,2007,2015
energy5_int,7_baseline_thru2012,did_coal,-.2317225472944662,.060551748,.00063885911,180,.97571987,2007,2012
energy5_int,8_province_trend_thru2012,did_coal,.0321536418763001,.076424494,.67705798,180,.9902463,2007,2012
energy5_int,9_treatintensity_x_year_thru2012,did_coal,-.0108605809216203,.078359298,.89072442,180,.97910124,2007,2012
industrial_so2,1_baseline,did_coal,-72.58871365071349,19.699562,.00093463267,510,.88117659,2007,2023
industrial_so2,2_province_linear_trend,did_coal,28.61578523156389,9.5158157,.0054014814,510,.96661538,2007,2023
industrial_so2,3_treatintensity_x_year,did_coal,15.63037020253178,15.609126,.32493499,510,.90060776,2007,2023
industrial_so2,4_baseline_thru2015,did_coal,-9.673167269751534,8.5596066,.26769686,270,.96933281,2007,2015
industrial_so2,5_province_trend_thru2015,did_coal,8.590750449543767,6.5711203,.20136495,270,.98719054,2007,2015
industrial_so2,6_treatintensity_x_year_thru2015,did_coal,7.873877951308959,7.5501766,.30562308,270,.96982569,2007,2015
industrial_so2,7_baseline_thru2012,did_coal,6.245382889384076,8.047493,.44399381,180,.97363329,2007,2012
industrial_so2,8_province_trend_thru2012,did_coal,4.229044856102575,6.9080648,.54518288,180,.98859072,2007,2012
industrial_so2,9_treatintensity_x_year_thru2012,did_coal,6.19909712733107,7.1489182,.39298517,180,.97363329,2007,2012
industrial_solid_waste,1_baseline,did_coal,-47.2683431982222,20.052076,.025372053,510,.78369045,2007,2023
industrial_solid_waste,2_province_linear_trend,did_coal,29.91298903768431,17.443829,.097047761,510,.86879545,2007,2023
industrial_solid_waste,3_treatintensity_x_year,did_coal,3.240334756008052,20.977036,.87830877,510,.79665083,2007,2023
industrial_solid_waste,4_baseline_thru2015,did_coal,-8.461705863561523,15.262339,.58354402,270,.89606363,2007,2015
industrial_solid_waste,5_province_trend_thru2015,did_coal,9.315111316849711,9.0713701,.31297141,270,.94586605,2007,2015
industrial_solid_waste,6_treatintensity_x_year_thru2015,did_coal,8.388881511522253,8.9497728,.35633051,270,.89687765,2007,2015
industrial_solid_waste,7_baseline_thru2012,did_coal,-18.71239961024412,15.347348,.23257029,180,.90819716,2007,2012
industrial_solid_waste,8_province_trend_thru2012,did_coal,6.728689983901925,9.4426241,.481796,180,.96132982,2007,2012
industrial_solid_waste,9_treatintensity_x_year_thru2012,did_coal,8.881663607601549,8.4520512,.30201522,180,.91416699,2007,2012
nox_total,1_baseline,did_coal,-43.99146104370375,16.89155,.014783787,336,.92226017,2011,2023
nox_total,2_province_linear_trend,did_coal,-6.120898901944673,4.5318489,.18802281,336,.97888839,2011,2023
nox_total,3_treatintensity_x_year,did_coal,-6.017664414346727,6.5134282,.36372936,336,.93374956,2011,2023
nox_total,4_baseline_thru2015,did_coal,-16.86303769979784,5.0065131,.0022883306,140,.99351233,2011,2015
nox_total,5_province_trend_thru2015,did_coal,7.403979311026155,5.6483707,.20096008,140,.99908882,2011,2015
nox_total,6_treatintensity_x_year_thru2015,did_coal,3.718446038836421,5.6979985,.51953995,140,.99461633,2011,2015
nox_total,7_baseline_thru2012,did_coal,-3.43873951045325,1.9517814,.089415856,56,.99965876,2011,2012
nox_total,8_province_trend_thru2012,did_coal,-24.44781724322488,1.4573718e-12,0,56,1,2011,2012
nox_total,9_treatintensity_x_year_thru2012,did_coal,-3.43873951045325,1.9517814,.089415856,56,.99965876,2011,2012
