year,Coal national sum (10k tce approx),Coal share (%),Coal nonmissing provinces,Oil products national sum (10k tce approx),Oil products share (%),Oil products nonmissing provinces,LPG national sum (10k tce approx),LPG share (%),LPG nonmissing provinces,Natural gas national sum (10k tce approx),Natural gas share (%),Natural gas nonmissing provinces,Electricity national sum (10k tce approx),Electricity share (%),Electricity nonmissing provinces
2006,208666.9825652000,68.2108903140,30,50647.6966339000,16.5561625384,30,3783.3913508930,1.2367480915,30,7803.1195351000,2.5507520364,30,35013.2784180000,11.4454470197,30
2007,228160.9263188000,67.9260165229,30,53981.6224440000,16.0709225599,30,4034.2680939730,1.2010459706,30,9507.3058954400,2.8304295033,30,40212.1037573000,11.9715854433,30
2008,239152.2402717000,67.8274424989,30,55448.2516544000,15.7260207828,30,4136.8153187700,1.1732677179,30,11016.7383821900,3.1245251489,30,42835.1593624000,12.1487438516,30
2009,251194.4928375000,67.4793822405,30,58204.5722904000,15.6357272700,30,4253.6341493400,1.1426707705,30,12877.4097633900,3.4593101380,30,45723.5846020000,12.2829095810,30
2010,272443.5200349000,66.4650763957,30,65996.4707857000,16.1004397244,30,4486.0279081700,1.0944073384,30,14844.3820542000,3.6214221104,30,52134.3714808000,12.7186544311,30
2011,306434.2475640000,66.9174244487,30,70866.8698152000,15.4755169974,30,4979.4476067600,1.0873843628,30,16899.1187081500,3.6903365351,30,58749.2489996000,12.8293376560,30
2012,311758.1484890000,65.9073324431,30,74835.8849830000,15.8207045242,30,4938.3956200550,1.0440031269,30,19321.5180053000,4.0846717773,30,62171.0365159000,13.1432881285,30
2013,308730.0995460000,65.2234749301,30,72800.7117945000,15.3801505185,30,4844.5394299300,1.0234755099,30,20878.4192295800,4.4108528945,30,66088.2282249000,13.9620461469,30
2014,308391.1038000000,64.1437755458,30,75102.0329291000,15.6208395245,30,5064.2985477010,1.0533482495,30,23170.4113748600,4.8193273030,30,69053.1818674000,14.3627093773,30
2015,303919.0844331000,62.6992030125,30,79279.7570137000,16.3555954015,30,5519.9486478000,1.1387780453,30,25049.6506534200,5.1678002868,30,70957.1535673000,14.6386232540,30
2016,303535.9162243000,61.7094099182,30,81459.6657819000,16.5608998436,30,5958.3255874300,1.2113385482,30,26377.0704715000,5.3625069297,30,74548.4883353000,15.1558447603,30
2017,310870.4857345000,61.0941729111,30,82977.7485571000,16.3072956448,30,6119.0944804300,1.2025619459,30,29562.6602290000,5.8098351520,30,79308.2044336000,15.5861343462,30
2018,321694.7409080000,60.7497720006,30,81047.2351980000,15.3051959931,30,5739.8878320000,1.0839371390,30,33986.0220000000,6.4180193990,30,87072.7696300000,16.4430754682,30
2019,330197.5538250000,60.4108121152,30,82748.7406560000,15.1391752199,30,5854.6430740000,1.0711276890,30,36863.8760000000,6.7443766953,30,90922.0345000000,16.6345082805,30
2020,331443.8501680000,59.9662833978,30,82276.3026360000,14.8857916003,30,6605.7293330000,1.1951376893,30,38443.3840000000,6.9553466101,30,93947.7464700000,16.9974407024,30
2021,347675.7891010000,59.0594358329,30,86134.7655180000,14.6316505680,30,8125.3705680000,1.3802508450,30,43169.9380000000,7.3332462689,30,103582.0986900000,17.5954164851,30
2022,356417.5567830000,58.8412551918,30,88028.2176720000,14.5326477934,30,9538.7080600000,1.5747528271,30,44635.7310000000,7.3689479894,30,107107.1042000000,17.6823961983,30
