year,thermal capacity national sum (10k kW),total capacity national sum (10k kW),thermal capacity share (%),non-thermal capacity share (%),thermal capacity nonmissing provinces,total capacity nonmissing provinces,thermal generation national sum (billion kWh),total generation national sum (billion kWh),thermal generation share (%),non-thermal generation share (%),thermal generation nonmissing provinces,total generation nonmissing provinces
2006,48382.4000000000,62370.2000000000,77.5729434890,22.4270565110,31,31,2318.8780000000,2865.7260000000,80.9176453017,19.0823546983,31,31
2007,51605.0000000000,71822.0000000000,71.8512433516,28.1487566484,31,31,2700.9990000000,3281.5500000000,82.3086346391,17.6913653609,31,31
2008,60287.0000000000,79272.0000000000,76.0508123928,23.9491876072,31,31,2785.7000000000,3495.7600000000,79.6879648488,20.3120351512,31,31
2009,65109.0000000000,87409.0000000000,74.4877529774,25.5122470226,31,31,2981.4381086000,3714.6510000000,80.2615941201,19.7384058799,31,31
2010,70966.0000000000,96641.0000000000,73.4326010699,26.5673989301,31,31,3325.2216951000,4207.1400000000,79.0375812333,20.9624187667,31,31
2011,76839.0000000000,106251.0000000000,72.3183781800,27.6816218200,31,31,3810.6718621000,4713.0190000000,80.8541587059,19.1458412941,31,31
2012,81969.0000000000,114678.0000000000,71.4775283838,28.5224716162,31,31,3786.9580179000,4987.5530000000,75.9281759592,24.0718240408,31,31
2013,87011.0000000000,125767.0000000000,69.1842852259,30.8157147741,31,31,4197.7760000000,5431.6350769000,77.2838370135,22.7161629865,31,31
2014,93234.0000000000,137887.0000000000,67.6162364835,32.3837635165,31,31,4195.1520000000,5794.4548881000,72.3994246398,27.6005753602,31,31
2015,100555.0000000000,152527.0000000000,65.9260327680,34.0739672320,31,31,4208.5884500000,5814.5742617000,72.3799931101,27.6200068899,31,31
2016,106095.0000000000,165049.0000000000,64.2809105175,35.7190894825,31,31,4380.6900000000,6133.1201700000,71.4267759081,28.5732240919,31,31
2017,110493.0000000000,177709.0000000000,62.1763669820,37.8236330180,31,31,4595.3700000000,6604.5000000000,69.5793776970,30.4206223030,31,31
2018,114411.0000000000,190014.0000000000,60.2118791247,39.7881208753,31,31,4958.2100000000,7166.0000000000,69.1907619313,30.8092380687,31,31
2019,118957.0000000000,201004.0000000000,59.1814093252,40.8185906748,31,31,5140.6000000000,7503.6000000000,68.5084492777,31.4915507223,31,31
2020,124960.0000000000,220541.0000000000,56.6606662707,43.3393337293,31,31,5255.4300000000,7779.0000000000,67.5591978403,32.4408021597,31,31
2021,129739.0000000000,237776.0000000000,54.5635387928,45.4364612072,31,31,5741.6200000000,8534.2472000000,67.2774043855,32.7225956145,31,31
2022,133333.0000000000,256316.0000000000,52.0189921815,47.9810078185,31,31,5822.5600000000,8848.7130000000,65.8012074750,34.1987925250,31,31
2023,139099.4200000000,292225.1300000000,47.6000883292,52.3999116708,31,31,6204.2400000000,9456.4416546200,65.6086107925,34.3913892075,31,31
