year,Coal national sum (10k tce approx),Coal share (%),Coal nonmissing provinces,Oil products national sum (10k tce approx),Oil products share (%),Oil products nonmissing provinces,LPG national sum (10k tce approx),LPG share (%),LPG nonmissing provinces,Natural gas national sum (10k tce approx),Natural gas share (%),Natural gas nonmissing provinces,Electricity national sum (10k tce approx),Electricity share (%),Electricity nonmissing provinces
2006,72826.3151850600,44.8436359121,30,46410.5866020000,28.5778491299,30,3760.5954466930,2.3156296264,30,6260.9845351000,3.8552727847,30,33142.0767580000,20.4076125468,30
2007,75706.0897783000,42.9489293515,30,50718.1329784000,28.7729760777,30,4015.7639225700,2.2781887363,30,7713.3044862400,4.3758457268,30,38116.7367990000,21.6240601078,30
2008,82358.4509254000,43.7460971260,30,52260.7587608000,27.7591941439,30,4112.7294037700,2.1845464300,30,8820.8074218900,4.6853224396,30,40711.9361366000,21.6248398605,30
2009,87337.5170606000,43.7120276946,30,54810.6586138000,27.4324838617,30,4234.6098765300,2.1194028686,30,10016.7247333900,5.0133248997,30,43402.5159927000,21.7227606754,30
2010,88727.5101174000,41.1876481222,30,61122.4348564000,28.3732670499,30,4373.7276929600,2.0303010528,30,11764.1272577000,5.4609526776,30,49434.8186583000,22.9478310976,30
2011,96057.6782551000,40.6103416459,30,66181.8437220000,27.9797235695,30,4747.5639606600,2.0071294448,30,13490.0150598500,5.7031788644,30,56057.9153605000,23.6996264754,30
2012,98798.5986309000,39.7137785118,30,70222.1824556000,28.2270015902,30,4719.3021606920,1.8970038375,30,15857.4975239000,6.3741910629,30,59179.0462161000,23.7880249977,30
2013,88529.3489815000,36.6360868794,30,68739.1291188000,28.4463032359,30,4588.4300676700,1.8988293095,30,16981.5110487000,7.0274561067,30,62806.7905270000,25.9913244685,30
2014,90233.9610901000,35.9563034510,30,71368.6735144000,28.4388898678,30,4669.8137111510,1.8608208797,30,18987.3437055600,7.5660503402,30,65694.7067167000,26.1779354612,30
2015,88514.7853309000,34.6136540410,30,74696.3105623000,29.2099477197,30,4856.6928076190,1.8992068274,30,19873.2132997200,7.7714082147,30,67781.1625133000,26.5057831972,30
2016,86104.4128033000,33.1363848798,30,76941.3474537000,29.6100747847,30,4867.1782301400,1.8730827592,30,20330.1839865000,7.8238591882,30,71605.4189881000,27.5565983882,30
2017,81106.4939797000,30.8698356599,30,78253.4079841000,29.7839263635,30,4995.8812085280,1.9014757551,30,22449.0802278000,8.5443148057,30,75932.1815046000,28.9004474158,30
2018,71445.7717440000,27.3269453587,30,75641.3985120000,28.9317102123,30,4919.1495640000,1.8815015650,30,26114.1510000000,9.9882744639,30,83327.6010600000,31.8715684001,30
2019,70630.5054390000,26.2747123216,30,77727.7830960000,28.9149161195,30,4822.8744760000,1.7941205239,30,28399.7560000000,10.5647752946,30,87234.6043500000,32.4514757404,30
2020,69394.9950150000,25.4866950119,30,77526.9647940000,28.4733229893,30,5628.0811860000,2.0670249873,30,29374.1140000000,10.7882288139,30,90355.1459600000,33.1847281975,30
2021,64697.7725010000,22.6930020177,30,81499.2728100000,28.5861953330,30,6360.7387200000,2.2310545020,30,32517.9680000000,11.4058071076,30,100024.3526200000,35.0839410397,30
2022,61423.6998780000,21.1224008626,30,84460.8034680000,29.0444071518,30,7752.5446040000,2.6659474300,30,33470.6470000000,11.5098964157,30,103691.1601500000,35.6573481400,30
