	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)
VARIABLES	sec_pctg	coal_share_pctg	ln_co2	industrial_so2	industrial_wastewater	industrial_solid_waste	gtfp_level	gml_index
								
did	0.0223	0.0152	0.0114	-14.0777	27,804.7374***	-1.2984	1.1034***	0.1071***
	(0.0307)	(0.0298)	(0.0440)	(9.2024)	(6,987.4398)	(15.3982)	(0.2151)	(0.0133)
ln_gdp	0.2027***	-0.0442	0.1400*	71.4791***	69,623.7896***	49.3657***	3.3382***	0.1498*
	(0.0544)	(0.0738)	(0.0793)	(21.9477)	(18,295.3930)	(12.5702)	(0.5790)	(0.0746)
population	-0.0000	-0.0000	0.0000	-0.0316***	-37.8126***	-0.0017	-0.0004	-0.0000
	(0.0000)	(0.0000)	(0.0000)	(0.0083)	(10.3318)	(0.0039)	(0.0003)	(0.0000)
urbanization_rate	-0.1439	-0.1972	0.3668	-245.0150***	-166083.6876***	-156.7495***	-9.9019***	-0.4415**
	(0.1527)	(0.1924)	(0.2735)	(59.5906)	(59,128.9165)	(43.0251)	(2.1054)	(0.1985)
env_exp_share	-0.3459	-0.6832	-1.4603	130.3637	170,991.7697	-328.0946*	3.7416	1.1963
	(0.3205)	(0.5590)	(1.1152)	(223.9160)	(192,378.4189)	(189.5783)	(7.2714)	(1.0733)
market_index	-0.0083*	-0.0049	-0.0128	-4.4985	-1,614.4666	-5.0070**	0.0193	-0.0036
	(0.0044)	(0.0083)	(0.0128)	(3.2944)	(2,867.6852)	(2.4237)	(0.1108)	(0.0117)
Constant	-1.3447**	1.0243	17.7499***	-337.0929*	-341739.8129**	-299.6766***	-22.6872***	0.0114
	(0.5248)	(0.6881)	(0.6787)	(185.1731)	(151,601.0192)	(99.5475)	(5.0626)	(0.6685)
								
Observations	527	480	527	510	510	510	510	510
R-squared	0.9267	0.9336	0.9925	0.8707	0.9106	0.7730	0.7373	0.2612
Province FE	YES	YES	YES	YES	YES	YES	YES	YES
Year FE	YES	YES	YES	YES	YES	YES	YES	YES
Cluster	province_id	province_id	province_id	province_id	province_id	province_id	province_id	province_id
Robust standard errors in parentheses								
*** p<0.01, ** p<0.05, * p<0.1								
