	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)
VARIABLES	sec_pctg	coal_share_pctg	coal_share_pctg	ln_co2	ln_co2	industrial_so2	industrial_so2	industrial_wastewater	industrial_wastewater	industrial_solid_waste	industrial_solid_waste	gtfp_level	gtfp_level	gml_index	gml_index
															
did	0.0221	0.0253	0.0253	0.0163	0.0163	-25.0995***	-25.0995***	24,158.6190***	24,158.6190***	0.0901	0.0901	1.2138***	1.2138***	0.1308***	0.1308***
	(0.0371)	(0.0313)	(0.0313)	(0.0417)	(0.0417)	(7.8572)	(7.8572)	(6,671.1417)	(6,671.1417)	(14.2626)	(14.2626)	(0.1658)	(0.1658)	(0.0327)	(0.0327)
ln_gdp	0.2046***	-0.0395	-0.0395	0.1423*	0.1423*	67.0822***	67.0822***	71,107.1752***	71,107.1752***	49.6416***	49.6416***	3.4693***	3.4693***	0.1662*	0.1662*
	(0.0553)	(0.0763)	(0.0763)	(0.0789)	(0.0789)	(22.6313)	(22.6313)	(18,271.5911)	(18,271.5911)	(12.9977)	(12.9977)	(0.6335)	(0.6335)	(0.0820)	(0.0820)
population	-0.0000	-0.0000	-0.0000	0.0000	0.0000	-0.0319***	-0.0319***	-37.4112***	-37.4112***	-0.0017	-0.0017	-0.0004	-0.0004	-0.0000	-0.0000
	(0.0000)	(0.0000)	(0.0000)	(0.0000)	(0.0000)	(0.0083)	(0.0083)	(10.2038)	(10.2038)	(0.0038)	(0.0038)	(0.0003)	(0.0003)	(0.0000)	(0.0000)
urbanization_rate	-0.1486	-0.2095	-0.2095	0.3604	0.3604	-232.8117***	-232.8117***	-169400.7083***	-169400.7083***	-157.5910***	-157.5910***	-10.2422***	-10.2422***	-0.4851**	-0.4851**
	(0.1538)	(0.1958)	(0.1958)	(0.2757)	(0.2757)	(62.2845)	(62.2845)	(59,392.0288)	(59,392.0288)	(43.7496)	(43.7496)	(2.2117)	(2.2117)	(0.2134)	(0.2134)
env_exp_share	-0.3479	-0.6606	-0.6606	-1.4498	-1.4498	106.8895	106.8895	160,500.4903	160,500.4903	-324.8793*	-324.8793*	3.8958	3.8958	1.2402	1.2402
	(0.3153)	(0.5539)	(0.5539)	(1.1027)	(1.1027)	(211.7291)	(211.7291)	(193,677.6508)	(193,677.6508)	(186.5194)	(186.5194)	(6.9234)	(6.9234)	(0.9890)	(0.9890)
market_index	-0.0081*	-0.0045	-0.0045	-0.0125	-0.0125	-5.0091	-5.0091	-1,550.2439	-1,550.2439	-4.9647**	-4.9647**	0.0313	0.0313	-0.0019	-0.0019
	(0.0042)	(0.0082)	(0.0082)	(0.0127)	(0.0127)	(2.9896)	(2.9896)	(2,886.5489)	(2,886.5489)	(2.3969)	(2.3969)	(0.1021)	(0.1021)	(0.0102)	(0.0102)
Constant	-1.3626**	0.9793	0.9793	17.7280***	17.7280***	-294.9405	-294.9405	-355853.3766**	-355853.3766**	-302.3319***	-302.3319***	-23.9411***	-23.9411***	-0.1456	-0.1456
	(0.5328)	(0.7118)	(0.7118)	(0.6713)	(0.6713)	(186.8359)	(186.8359)	(151,808.6505)	(151,808.6505)	(103.3366)	(103.3366)	(5.4079)	(5.4079)	(0.7161)	(0.7161)
															
Observations	527	480	480	527	527	510	510	510	510	510	510	510	510	510	510
R-squared	0.9270	0.9338	0.9338	0.9925	0.9925	0.8747	0.8747	0.9108	0.9108	0.7730	0.7730	0.7418	0.7418	0.2640	0.2640
Policy breakpoint	2012	2012	2012	2012	2012	2012	2012	2012	2012	2012	2012	2012	2012	2012	2012
Province FE	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES
Year FE	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES
Cluster	province_id	province_id	province_id	province_id	province_id	province_id	province_id	province_id	province_id	province_id	province_id	province_id	province_id	province_id	province_id
Robust standard errors in parentheses															
*** p<0.01, ** p<0.05, * p<0.1															
