	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)
VARIABLES	coal_share_pctg	ln_co2	ln_co2	gtfp_level	gtfp_level	gml_index	gml_index	industrial_so2	industrial_so2	industrial_wastewater	industrial_wastewater
											
did	0.0585***	0.0578	0.0578	1.2601***	1.2601***	0.1861***	0.1861***	-35.3251***	-35.3251***	22,008.8152***	22,008.8152***
	(0.0205)	(0.0427)	(0.0427)	(0.2172)	(0.2172)	(0.0174)	(0.0174)	(6.2098)	(6.2098)	(7,042.7022)	(7,042.7022)
ddd	-0.0659***	-0.0823***	-0.0823***	-0.0917	-0.0917	-0.1095***	-0.1095***	20.2417***	20.2417***	4,255.5801	4,255.5801
	(0.0125)	(0.0276)	(0.0276)	(0.1766)	(0.1766)	(0.0163)	(0.0163)	(5.0397)	(5.0397)	(4,446.7100)	(4,446.7100)
Constant	1.0063	17.7566***	17.7566***	-23.9053***	-23.9053***	-0.1028	-0.1028	-302.8565	-302.8565	-357517.6210**	-357517.6210**
	(0.7112)	(0.6765)	(0.6765)	(5.4226)	(5.4226)	(0.6988)	(0.6988)	(187.5740)	(187.5740)	(152,605.1876)	(152,605.1876)
											
Observations	480	527	527	510	510	510	510	510	510	510	510
R-squared	0.9344	0.9925	0.9925	0.7418	0.7418	0.2651	0.2651	0.8757	0.8757	0.9108	0.9108
Policy breakpoint	2012	2012	2012	2012	2012	2012	2012	2012	2012	2012	2012
Third dimension	High-efficiency pre-policy GTFP	High-efficiency pre-policy GTFP	High-efficiency pre-policy GTFP	High-efficiency pre-policy GTFP	High-efficiency pre-policy GTFP	High-efficiency pre-policy GTFP	High-efficiency pre-policy GTFP	High-efficiency pre-policy GTFP	High-efficiency pre-policy GTFP	High-efficiency pre-policy GTFP	High-efficiency pre-policy GTFP
Province FE	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES
Year FE	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES
Cluster	province_id	province_id	province_id	province_id	province_id	province_id	province_id	province_id	province_id	province_id	province_id
Robust standard errors in parentheses											
*** p<0.01, ** p<0.05, * p<0.1											
