	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)
VARIABLES	coal_share_pctg	ln_co2	ln_co2	gtfp_level	gtfp_level	gml_index	gml_index	industrial_so2	industrial_so2	industrial_wastewater	industrial_wastewater
											
es_pre4	-0.0080	0.0062	0.0062	-0.3152	-0.3152	0.0040	0.0040	-15.6293	-15.6293	-16,129.9501**	-16,129.9501**
	(0.0282)	(0.0297)	(0.0297)	(0.2775)	(0.2775)	(0.0255)	(0.0255)	(9.4914)	(9.4914)	(7,517.2302)	(7,517.2302)
es_pre3	-0.0169	-0.0125	-0.0125	-0.2006	-0.2006	-0.0238	-0.0238	-14.1973*	-14.1973*	-10,208.6015	-10,208.6015
	(0.0156)	(0.0375)	(0.0375)	(0.1851)	(0.1851)	(0.0920)	(0.0920)	(8.1616)	(8.1616)	(7,383.8858)	(7,383.8858)
es_pre2	-0.0409	-0.0082	-0.0082	-0.1134	-0.1134	-0.0083	-0.0083	-6.3113	-6.3113	2,611.6457	2,611.6457
	(0.0242)	(0.0103)	(0.0103)	(0.0918)	(0.0918)	(0.0513)	(0.0513)	(3.7534)	(3.7534)	(6,356.1015)	(6,356.1015)
es_0	-0.0075	0.0069	0.0069	0.0257	0.0257	0.0012	0.0012	2.3756	2.3756	6,301.0586	6,301.0586
	(0.0109)	(0.0107)	(0.0107)	(0.0488)	(0.0488)	(0.0732)	(0.0732)	(3.8642)	(3.8642)	(7,179.2495)	(7,179.2495)
es_1	0.0064	0.0086	0.0086	0.1599*	0.1599*	-0.0060	-0.0060	2.8185	2.8185	14,811.5223*	14,811.5223*
	(0.0152)	(0.0107)	(0.0107)	(0.0862)	(0.0862)	(0.0818)	(0.0818)	(3.6719)	(3.6719)	(7,402.6002)	(7,402.6002)
es_2	0.0005	-0.0179	-0.0179	0.2567**	0.2567**	-0.0084	-0.0084	-1.1509	-1.1509	20,207.3539**	20,207.3539**
	(0.0173)	(0.0167)	(0.0167)	(0.1163)	(0.1163)	(0.0602)	(0.0602)	(3.6829)	(3.6829)	(9,213.7132)	(9,213.7132)
es_3	0.0030	-0.0381*	-0.0381*	0.3115*	0.3115*	-0.0118	-0.0118	-8.3008	-8.3008	18,611.6574	18,611.6574
	(0.0245)	(0.0213)	(0.0213)	(0.1802)	(0.1802)	(0.0968)	(0.0968)	(5.4367)	(5.4367)	(10,976.4479)	(10,976.4479)
es_4	0.0170	0.0272	0.0272	1.5063***	1.5063***	0.1992***	0.1992***	-54.5264***	-54.5264***	17,643.3383**	17,643.3383**
	(0.0253)	(0.0456)	(0.0456)	(0.2622)	(0.2622)	(0.0289)	(0.0289)	(7.3797)	(7.3797)	(6,972.1057)	(6,972.1057)
Constant	0.9655	17.7279***	17.7279***	-24.8252***	-24.8252***	-0.2458	-0.2458	-264.7435	-264.7435	-366694.0915**	-366694.0915**
	(0.7294)	(0.6613)	(0.6613)	(5.7228)	(5.7228)	(0.7914)	(0.7914)	(185.5940)	(185.5940)	(152,490.1754)	(152,490.1754)
											
Observations	480	527	527	510	510	510	510	510	510	510	510
R-squared	0.9341	0.9925	0.9925	0.7525	0.7525	0.2748	0.2748	0.8948	0.8948	0.9113	0.9113
Policy breakpoint	2012	2012	2012	2012	2012	2012	2012	2012	2012	2012	2012
Base period	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Province FE	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES
Year FE	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES
Cluster	province_id	province_id	province_id	province_id	province_id	province_id	province_id	province_id	province_id	province_id	province_id
Pre-trend joint p-value	.0003042759377307	.3943303800906744	.3943303800906744	.6340912243801031	.6340912243801031	.7232178630573443	.7232178630573443	.3827852404275599	.3827852404275599	.0000754880753796	.0000754880753796
Robust standard errors in parentheses											
*** p<0.01, ** p<0.05, * p<0.1											
