	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)
VARIABLES	coal_share_pctg	ln_co2	ln_co2	gtfp_level	gtfp_level	gml_index	gml_index	industrial_so2	industrial_so2	industrial_wastewater	industrial_wastewater
											
did_sx	-0.0117	-0.0282	-0.0282	1.0828***	1.0828***	0.0639***	0.0639***	-12.6832*	-12.6832*	24,768.9963***	24,768.9963***
	(0.0239)	(0.0221)	(0.0221)	(0.1634)	(0.1634)	(0.0171)	(0.0171)	(6.9860)	(6.9860)	(6,549.8570)	(6,549.8570)
Constant	1.0778	17.8143***	17.8143***	-22.5506***	-22.5506***	0.0973	0.0973	-340.8321*	-340.8321*	-333857.4699**	-333857.4699**
	(0.6957)	(0.7047)	(0.7047)	(5.3948)	(5.3948)	(0.6711)	(0.6711)	(193.4282)	(193.4282)	(152,743.2456)	(152,743.2456)
											
Observations	480	527	527	510	510	510	510	510	510	510	510
R-squared	0.9335	0.9925	0.9925	0.7356	0.7356	0.2594	0.2594	0.8703	0.8703	0.9098	0.9098
Policy breakpoint	2012	2012	2012	2012	2012	2012	2012	2012	2012	2012	2012
Treated province	Shanxi	Shanxi	Shanxi	Shanxi	Shanxi	Shanxi	Shanxi	Shanxi	Shanxi	Shanxi	Shanxi
Province FE	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES
Year FE	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES
Cluster	province_id	province_id	province_id	province_id	province_id	province_id	province_id	province_id	province_id	province_id	province_id
Robust standard errors in parentheses											
*** p<0.01, ** p<0.05, * p<0.1											
