	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)
VARIABLES	credit	bond	investment	insurance	equity	fund	carbon_finance	gf_index
								
did	-0.0011	-0.0011	0.0281	0.0110*	0.0001	0.0000	0.7878	-0.0284*
	(0.0015)	(0.0015)	(0.0384)	(0.0060)	(0.0007)	(0.0005)	(0.8223)	(0.0156)
ln_gdp	-0.0015	0.0014	-0.6185*	-0.0197	0.0001	0.0006	-8.6449***	-0.0433
	(0.0013)	(0.0030)	(0.3296)	(0.0170)	(0.0022)	(0.0015)	(3.0255)	(0.0505)
population	0.0000	-0.0000	0.0001	0.0000***	-0.0000	-0.0000	0.0015**	0.0000
	(0.0000)	(0.0000)	(0.0001)	(0.0000)	(0.0000)	(0.0000)	(0.0007)	(0.0000)
urbanization_rate	-0.0089	-0.0092	0.5100	0.0566	-0.0097	-0.0068	8.1768	-0.1624
	(0.0068)	(0.0170)	(0.5569)	(0.0492)	(0.0106)	(0.0082)	(6.1805)	(0.2547)
env_exp_share	0.0011	0.0153	-0.3183	1.3780***	0.0309*	-0.0012	1.5841	1.5366**
	(0.0211)	(0.0306)	(1.3003)	(0.2640)	(0.0179)	(0.0322)	(15.1318)	(0.6157)
market_index	-0.0003	-0.0000	0.0385*	0.0012	0.0001	-0.0002	0.4456	-0.0060
	(0.0003)	(0.0005)	(0.0209)	(0.0013)	(0.0002)	(0.0003)	(0.2759)	(0.0070)
Constant	0.0615***	0.1125***	5.1299*	0.0050	0.0680***	0.0560***	71.0217***	0.6991
	(0.0121)	(0.0267)	(2.5449)	(0.1434)	(0.0173)	(0.0139)	(22.8264)	(0.4530)
								
Observations	527	527	527	527	527	527	527	527
R-squared	0.8549	0.9444	0.9163	0.9083	0.9043	0.8904	0.8592	0.5225
Province FE	YES	YES	YES	YES	YES	YES	YES	YES
Year FE	YES	YES	YES	YES	YES	YES	YES	YES
Cluster	province_id	province_id	province_id	province_id	province_id	province_id	province_id	province_id
Robust standard errors in parentheses								
*** p<0.01, ** p<0.05, * p<0.1								
