	(1)	(2)	(3)	(4)
VARIABLES	ln_co2_credit	coal_share_pctg_credit	gtfp_level_credit	ln_co2_multi_finance
				
credit	0.0989	-0.9283	32.1440*	0.8226
	(1.8553)	(0.8347)	(17.7926)	(2.7881)
bond				-0.2724
				(2.1641)
fund				-0.1671
				(1.7068)
equity				-1.5014
				(1.5880)
carbon_finance				0.0047
				(0.0059)
ln_gdp	0.1381	-0.0482	3.1507***	0.1806
	(0.0827)	(0.0705)	(0.5122)	(0.1191)
population	0.0000	-0.0000	-0.0004	0.0000
	(0.0000)	(0.0000)	(0.0003)	(0.0000)
urbanization_rate	0.3741	-0.1966	-8.8783***	0.3226
	(0.2645)	(0.1858)	(1.9745)	(0.2935)
env_exp_share	-1.4871	-0.7271	1.3318	-1.4381
	(1.0565)	(0.5470)	(7.1803)	(1.0369)
market_index	-0.0130	-0.0054	-0.0123	-0.0147
	(0.0122)	(0.0085)	(0.1205)	(0.0130)
Constant	17.7630***	1.1038*	-22.4089***	17.5245***
	(0.7546)	(0.6407)	(4.9850)	(0.9704)
				
Observations	527	480	510	527
R-squared	0.9925	0.9337	0.7342	0.9926
Province FE	YES	YES	YES	YES
Year FE	YES	YES	YES	YES
Cluster	province_id	province_id	province_id	province_id
Robust standard errors in parentheses				
*** p<0.01, ** p<0.05, * p<0.1				
