	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	alt_co2_emissions	alt_gml_index	alt_industrial_so2	pilot_ln_co2	pilot_coal_share_pctg	pilot_gtfp_level	placebo_ln_co2	placebo_coal_share_pctg	placebo_gtfp_level
									
did	6.8418e+07**	0.1071***	-14.0777	0.0125	0.0153	1.1053***			
	(3.0227e+07)	(0.0133)	(9.2024)	(0.0393)	(0.0301)	(0.2062)			
green_finance_pilot				0.1024	-0.0078	-0.3019			
				(0.0944)	(0.0201)	(0.2313)			
ln_gdp	-1.0023e+08**	0.1498*	71.4791***	0.1437*	-0.0440	3.3411***	0.1381*	-0.0468	3.1882***
	(4.6872e+07)	(0.0746)	(21.9477)	(0.0834)	(0.0740)	(0.5792)	(0.0811)	(0.0717)	(0.5372)
population	72,314.0650***	-0.0000	-0.0316***	-0.0000	-0.0000	-0.0003	0.0000	-0.0000	-0.0004
	(21,847.1585)	(0.0000)	(0.0083)	(0.0000)	(0.0000)	(0.0003)	(0.0000)	(0.0000)	(0.0003)
urbanization_rate	4.2024e+08***	-0.4415**	-245.0150***	0.2425	-0.1887	-9.5667***	0.3726	-0.1898	-9.4439***
	(1.1739e+08)	(0.1985)	(59.5906)	(0.2979)	(0.1962)	(2.1679)	(0.2679)	(0.1886)	(2.0379)
env_exp_share	-4.3946e+08	1.1963	130.3637	-1.6169	-0.6730	4.1479	-1.4839	-0.7103	2.1011
	(4.4446e+08)	(1.0733)	(223.9160)	(1.1365)	(0.5546)	(6.9383)	(1.0779)	(0.5504)	(7.2085)
market_index	190,149.8479	-0.0036	-4.4985	-0.0178	-0.0044	0.0391	-0.0130	-0.0053	-0.0043
	(6079774.2735)	(0.0117)	(3.2944)	(0.0161)	(0.0081)	(0.1082)	(0.0125)	(0.0085)	(0.1178)
did_placebo							0.0030	0.0100	0.9576***
							(0.0341)	(0.0351)	(0.2481)
Constant	7.3808e+08*	0.0114	-337.0929*	17.9936***	1.0000	-23.5676***	17.7671***	1.0479	-21.2879***
	(3.7510e+08)	(0.6685)	(185.1731)	(0.6853)	(0.6959)	(5.1809)	(0.7009)	(0.6694)	(4.8467)
									
Observations	527	510	510	527	480	510	527	480	510
R-squared	0.9823	0.2612	0.8707	0.9929	0.9337	0.7390	0.9925	0.9335	0.7328
Specification	Alternative DV	Alternative DV	Alternative DV	Add green_finance_pilot	Add green_finance_pilot	Add green_finance_pilot	Placebo 2008	Placebo 2008	Placebo 2008
Province FE	YES	YES	YES	YES	YES	YES	YES	YES	YES
Year FE	YES	YES	YES	YES	YES	YES	YES	YES	YES
Cluster	province_id	province_id	province_id	province_id	province_id	province_id	province_id	province_id	province_id
Robust standard errors in parentheses									
*** p<0.01, ** p<0.05, * p<0.1									
