(1)	(2)	(3)	(5)	(7)	(9)
VARIABLES	coal_share_pctg	ln_co2	gtfp_level	gml_index	industrial_so2
es_pre3	-0.0169	-0.0125	-0.2006	-0.0238	-14.1973*
es_pre2	-0.0409	-0.0082	-0.1134	-0.0083	-6.3113
es_0	-0.0075	0.0069	0.0257	0.0012	2.3756
es_1	0.0064	0.0086	0.1599*	-0.0060	2.8185
es_2	0.0005	-0.0179	0.2567**	-0.0084	-1.1509
es_3	0.0030	-0.0381*	0.3115*	-0.0118	-8.3008
Observations	480	527	510	510	510
R-squared	0.9341	0.9925	0.7525	0.2748	0.8948
Pre-trend joint p-value	.0003042759377307	.3943303800906744	.6340912243801031	.7232178630573443	.3827852404275599
